Species,decimalLongitude,decimalLatitude
Parkinsonia aculeata,-56.745574,-29.615988
Parkinsonia aculeata,-38.210874,-6.770039
Parkinsonia aculeata,-39.164444,-12.498611
Parkinsonia aculeata,-49.247222,-25.455
Parkinsonia aculeata,-39.96,-12.96
Parkinsonia aculeata,-49.247222,-25.455
Parkinsonia aculeata,-57.597806,-19.359417
Parkinsonia aculeata,-38.896924,-6.677974
Parkinsonia aculeata,-40.699444,-9.439444
Parkinsonia aculeata,-36.099906,-5.690397
Parkinsonia aculeata,-37.286143,-5.84542
Parkinsonia aculeata,-38.456393,-6.936142
Parkinsonia aculeata,-38.453353,-6.981249
Parkinsonia aculeata,-38.177253,-6.3286
Parkinsonia aculeata,-37.053143,-6.471088
Parkinsonia aculeata,-38.538308,-6.878599
Parkinsonia aculeata,-38.634998,-6.59333
Parkinsonia aculeata,-38.508808,-11.104365
Parkinsonia aculeata,-38.594756,-6.926249
Parkinsonia aculeata,-40.402821,-10.067323
Parkinsonia aculeata,-40.691661,-9.338358
Parkinsonia aculeata,-39.3022,-6.35826
Parkinsonia aculeata,-35.915833,-7.209722
Parkinsonia aculeata,-38.274343,-6.467683
Parkinsonia aculeata,-38.17537,-6.477048
Parkinsonia aculeata,-38.80177,-6.995771
Parkinsonia aculeata,-38.478424,-6.651807
Parkinsonia aculeata,-38.488473,-6.618601
Parkinsonia aculeata,-38.476718,-6.554003
Parkinsonia aculeata,-56.953307,-29.776304
Parkinsonia aculeata,-38.489846,-7.105368
Parkinsonia aculeata,-41.207817,-9.326022
Parkinsonia aculeata,-56.543611,-30.248611
Parkinsonia aculeata,-56.543611,-30.248611
Parkinsonia aculeata,-56.543611,-30.248611
Parkinsonia aculeata,-56.543611,-30.248611
Parkinsonia aculeata,-35.932598,-7.240523
Parkinsonia aculeata,-51.234494,-30.046959
Parkinsonia aculeata,-36.033333,-8.483333
Parkinsonia aculeata,-37.657083,-8.498851
Parkinsonia aculeata,-49.443016,-17.490179
Parkinsonia aculeata,-39.603107,-10.874895
Parkinsonia aculeata,-37.319622,-5.210943
Parkinsonia aculeata,-39.862333,-9.868388
Parkinsonia aculeata,-37.918506,-9.439417
Parkinsonia aculeata,-37.918506,-9.439417
Parkinsonia aculeata,-43.749503,-19.518268
Parkinsonia aculeata,-36.415941,-7.437404
Parkinsonia aculeata,-40.052282,-11.188437
Parkinsonia aculeata,-40.052282,-11.188437
Parkinsonia aculeata,-41.530212,-8.082588
Parkinsonia aculeata,-39.075578,-7.8188
Parkinsonia aculeata,-39.076753,-7.779125
Parkinsonia aculeata,-39.076753,-7.779125
Parkinsonia aculeata,-36.206957,-7.93444
