scientific_name,decimalLongitude,decimalLatitude
Parotocinclus maculicauda,-48.899167,-27.726389
Parotocinclus maculicauda,-48.924444,-27.752778
Parotocinclus maculicauda,-45.437222,-23.725556
Parotocinclus maculicauda,-42.244778,-22.481083
Parotocinclus maculicauda,-49.033694,-26.661697
Parotocinclus maculicauda,-48.779694,-27.497722
Parotocinclus maculicauda,-48.795,-27.289444
Parotocinclus maculicauda,-48.846439,-27.323714
Parotocinclus maculicauda,-48.707831,-27.207092
Parotocinclus maculicauda,-45.512611,-23.108528
Parotocinclus maculicauda,-45.512611,-23.108528
Parotocinclus maculicauda,-47.6325851,-24.2547923
Parotocinclus maculicauda,-47.618549,-24.2548133
Parotocinclus maculicauda,-47.6448921,-24.2512403
Parotocinclus maculicauda,-47.6486701,-24.2453502
Parotocinclus maculicauda,-49.015833,-28.325317
Parotocinclus maculicauda,-48.092691,-24.813553
Parotocinclus maculicauda,-48.068611,-24.756389
Parotocinclus maculicauda,-40.4125,-19.776944
Parotocinclus maculicauda,-40.420833,-19.783611
Parotocinclus maculicauda,-40.420833,-19.783611
Parotocinclus maculicauda,-40.4125,-19.776944
Parotocinclus maculicauda,-40.414444,-19.777778
Parotocinclus maculicauda,-48.753561,-27.422997
Parotocinclus maculicauda,-44.944722,-23.349444
Parotocinclus maculicauda,-40.556389,-19.951667
Parotocinclus maculicauda,-40.556389,-19.951667
Parotocinclus maculicauda,-48.5640725,-24.6334308
Parotocinclus maculicauda,-48.5974846,-24.6042686
Parotocinclus maculicauda,-48.5903376,-24.6136666
Parotocinclus maculicauda,-48.5903376,-24.6136666
Parotocinclus maculicauda,-48.5886974,-24.5518075
Parotocinclus maculicauda,-48.5791322,-24.5047774
Parotocinclus maculicauda,-40.502931,-20.179458
Parotocinclus maculicauda,-40.502931,-20.179458
Parotocinclus maculicauda,-40.456389,-20.159528
Parotocinclus maculicauda,-40.6075,-19.464167
Parotocinclus maculicauda,-40.496919,-20.171272
Parotocinclus maculicauda,-40.6075,-19.464167
Parotocinclus maculicauda,-40.496919,-20.171272
Parotocinclus maculicauda,-40.456389,-20.159528
Parotocinclus maculicauda,-44.944722,-23.349444
Parotocinclus maculicauda,-40.823889,-20.785833
Parotocinclus maculicauda,-40.456528,-20.158417
Parotocinclus maculicauda,-45.496944,-23.641389
Parotocinclus maculicauda,-40.500989,-20.179192
Parotocinclus maculicauda,-40.500989,-20.179192
Parotocinclus maculicauda,-40.500989,-20.179192
Parotocinclus maculicauda,-40.500989,-20.179192
Parotocinclus maculicauda,-40.500989,-20.179192
Parotocinclus maculicauda,-40.496919,-20.171272
Parotocinclus maculicauda,-40.496919,-20.171272
Parotocinclus maculicauda,-40.502931,-20.179458
Parotocinclus maculicauda,-40.502931,-20.179458
Parotocinclus maculicauda,-40.496919,-20.171272
Parotocinclus maculicauda,-40.496919,-20.171272
Parotocinclus maculicauda,-40.456389,-20.159528
Parotocinclus maculicauda,-49.4675,-25.301111
Parotocinclus maculicauda,-49.4675,-25.301111
Parotocinclus maculicauda,-40.502931,-20.179458
Parotocinclus maculicauda,-40.496919,-20.171272
Parotocinclus maculicauda,-40.496919,-20.171272
Parotocinclus maculicauda,-40.456389,-20.159528
Parotocinclus maculicauda,-49.189444,-27.200556
Parotocinclus maculicauda,-42.657333,-22.479583
Parotocinclus maculicauda,-42.649722,-22.8925
Parotocinclus maculicauda,-41.552222,-21.069444
Parotocinclus maculicauda,-40.457639,-19.916917
Parotocinclus maculicauda,-40.457639,-19.916917
Parotocinclus maculicauda,-40.449944,-19.920972
Parotocinclus maculicauda,-40.448806,-19.924806
Parotocinclus maculicauda,-40.451861,-19.928556
Parotocinclus maculicauda,-43.435692,-22.603522
Parotocinclus maculicauda,-48.404583,-25.194722
Parotocinclus maculicauda,-48.784667,-25.857083
Parotocinclus maculicauda,-48.766306,-25.762972
Parotocinclus maculicauda,-48.507083,-25.198417
Parotocinclus maculicauda,-48.507083,-25.198417
Parotocinclus maculicauda,-48.404583,-25.184472
Parotocinclus maculicauda,-48.784667,-25.857083
Parotocinclus maculicauda,-40.445278,-19.923889
Parotocinclus maculicauda,-40.433056,-19.910556
Parotocinclus maculicauda,-40.575,-19.884556
Parotocinclus maculicauda,-40.575778,-19.888972
Parotocinclus maculicauda,-40.575,-19.884556
Parotocinclus maculicauda,-40.575778,-19.888972
Parotocinclus maculicauda,-47.620833,-24.253889
Parotocinclus maculicauda,-47.620833,-24.253889
Parotocinclus maculicauda,-40.77,-19.91
Parotocinclus maculicauda,-40.765,-19.91417
Parotocinclus maculicauda,-47.858833,-24.180306
Parotocinclus maculicauda,-47.8585,-24.180361
Parotocinclus maculicauda,-48.287278,-24.609639
Parotocinclus maculicauda,-48.591722,-24.580278
Parotocinclus maculicauda,-47.858833,-24.180306
Parotocinclus maculicauda,-47.8585,-24.180361
Parotocinclus maculicauda,-48.287278,-24.609639
Parotocinclus maculicauda,-48.591722,-24.580278
Parotocinclus maculicauda,-48.591722,-24.580278
Parotocinclus maculicauda,-48.591722,-24.580278
Parotocinclus maculicauda,-42.9,-22.52
Parotocinclus maculicauda,-42.89861,-22.51833
Parotocinclus maculicauda,-40.574,-19.888
Parotocinclus maculicauda,-40.575,-19.885
Parotocinclus maculicauda,-41.045556,-19.729722
Parotocinclus maculicauda,-41.045833,-19.647778
Parotocinclus maculicauda,-40.574194,-19.888083
Parotocinclus maculicauda,-40.574194,-19.888083
Parotocinclus maculicauda,-41.422222,-20.613333
Parotocinclus maculicauda,-40.465111,-19.945556
Parotocinclus maculicauda,-40.465111,-19.945556
Parotocinclus maculicauda,-40.49275,-20.258139
Parotocinclus maculicauda,-40.473389,-20.267778
Parotocinclus maculicauda,-40.363667,-20.280556
Parotocinclus maculicauda,-40.483944,-20.274944
Parotocinclus maculicauda,-40.49275,-20.258139
Parotocinclus maculicauda,-40.473389,-20.267778
Parotocinclus maculicauda,-40.363667,-20.280556
Parotocinclus maculicauda,-40.465111,-19.945556
Parotocinclus maculicauda,-41.495,-20.759722
Parotocinclus maculicauda,-40.638444,-19.828583
Parotocinclus maculicauda,-40.131667,-19.842417
Parotocinclus maculicauda,-40.629806,-19.840556
Parotocinclus maculicauda,-40.638444,-19.828583
Parotocinclus maculicauda,-40.131667,-19.842417
Parotocinclus maculicauda,-40.629806,-19.840556
Parotocinclus maculicauda,-49.163694,-26.4465
Parotocinclus maculicauda,-49.182222,-26.471333
Parotocinclus maculicauda,-49.182222,-26.471333
Parotocinclus maculicauda,-49.182222,-26.471333
Parotocinclus maculicauda,-48.917111,-26.965167
Parotocinclus maculicauda,-48.917111,-26.965167
Parotocinclus maculicauda,-49.0645,-27.191694
Parotocinclus maculicauda,-49.0645,-27.191694
Parotocinclus maculicauda,-49.163694,-26.4465
Parotocinclus maculicauda,-49.182222,-26.471333
Parotocinclus maculicauda,-49.182222,-26.471333
Parotocinclus maculicauda,-49.182222,-26.471333
Parotocinclus maculicauda,-48.917111,-26.965167
Parotocinclus maculicauda,-48.917111,-26.965167
Parotocinclus maculicauda,-49.0645,-27.191694
Parotocinclus maculicauda,-49.0645,-27.191694
Parotocinclus maculicauda,-47.695556,-24.110278
Parotocinclus maculicauda,-40.78,-20.644167
Parotocinclus maculicauda,-43.407222,-22.586944
Parotocinclus maculicauda,-43.411111,-22.613889
Parotocinclus maculicauda,-40.546389,-19.968056
Parotocinclus maculicauda,-42.760556,-22.473611
Parotocinclus maculicauda,-40.556111,-19.951944
Parotocinclus maculicauda,-40.556111,-19.950278
Parotocinclus maculicauda,-40.556111,-19.950278
Parotocinclus maculicauda,-40.663194,-19.788
Parotocinclus maculicauda,-40.660889,-19.787833
Parotocinclus maculicauda,-40.652806,-19.783278
Parotocinclus maculicauda,-40.634083,-19.772528
Parotocinclus maculicauda,-40.652806,-19.783278
Parotocinclus maculicauda,-41.544167,-20.809167
Parotocinclus maculicauda,-47.695556,-24.110278
Parotocinclus maculicauda,-47.695556,-24.110278
Parotocinclus maculicauda,-47.695556,-24.110278
Parotocinclus maculicauda,-40.749722,-20.651389000000002
Parotocinclus maculicauda,-49.540278,-27.004722
Parotocinclus maculicauda,-40.451917,-19.835306
Parotocinclus maculicauda,-40.452778,-19.865
Parotocinclus maculicauda,-40.747778,-20.658333
Parotocinclus maculicauda,-50.128889,-25.758056
Parotocinclus maculicauda,-40.924722,-20.855
Parotocinclus maculicauda,-40.918611,-20.709444
