Species,decimalLongitude,decimalLatitude
Passer domesticus,-45.922069,-23.769074
Passer domesticus,-48.994707,-27.180977
Passer domesticus,-48.88518,-27.076638
Passer domesticus,-47.679544,-22.960259
Passer domesticus,-54.578691,-25.554838
Passer domesticus,-42.071789,-18.958169
Passer domesticus,-49.242947,-16.70087
Passer domesticus,-39.467125,-11.395598
Passer domesticus,-41.298925,-21.73786
Passer domesticus,-60.62552,-3.294734
Passer domesticus,-46.993805,-22.941648
Passer domesticus,-37.069225,-6.472897
Passer domesticus,-51.396836,-22.133858
Passer domesticus,-54.711617,-2.416039
Passer domesticus,-41.92374,-18.844135
Passer domesticus,-55.014564,-28.126244
Passer domesticus,-47.871103,-15.757959
Passer domesticus,-52.343982,-26.374948
Passer domesticus,-47.765261,-22.991171
Passer domesticus,-54.576382,-25.544672
Passer domesticus,-40.882175,-12.826851
Passer domesticus,-47.686502,-22.950208
Passer domesticus,-41.214003,-19.286071
Passer domesticus,-41.849772,-18.86301
Passer domesticus,-35.223515,-5.930694
Passer domesticus,-42.538308,-22.304765
Passer domesticus,-39.140429,-14.620259
Passer domesticus,-36.035299,-9.16575
Passer domesticus,-39.855716,-18.723431
Passer domesticus,-47.872401,-15.799471
Passer domesticus,-47.435296,-21.977912
Passer domesticus,-45.350151,-21.973657
Passer domesticus,-49.888596,-29.454989
Passer domesticus,-49.917777,-29.471311
Passer domesticus,-41.466473,-19.171154
Passer domesticus,-47.86201,-15.736307
Passer domesticus,-53.804312,-29.689722
Passer domesticus,-35.621827,-9.546913
Passer domesticus,-35.223515,-5.930694
Passer domesticus,-48.630039,-26.940122
Passer domesticus,-48.630039,-26.940122
Passer domesticus,-41.802662,-18.857436
Passer domesticus,-35.85526,-9.772806
Passer domesticus,-46.106418,-15.907965
Passer domesticus,-36.488295,-8.89143
Passer domesticus,-40.658208,-20.36257
Passer domesticus,-52.830168,-28.456746
Passer domesticus,-52.830212,-28.456743
Passer domesticus,-35.223515,-5.930694
