Species,decimalLongitude,decimalLatitude
Peltophorum dubium,-51.233421,-30.059359
Peltophorum dubium,-47.818699,-14.177413
Peltophorum dubium,-45.621998,-23.031078
Peltophorum dubium,-41.679681,-13.616099
Peltophorum dubium,-51.200301,-30.026175
Peltophorum dubium,-47.808413,-15.79737
Peltophorum dubium,-43.591617,-22.924637
Peltophorum dubium,-43.611175,-22.93203
Peltophorum dubium,-43.613768,-22.93375
Peltophorum dubium,-46.635356,-23.05693
Peltophorum dubium,-43.225303,-22.972947
Peltophorum dubium,-43.543061,-23.043898
Peltophorum dubium,-53.700504,-29.708357
Peltophorum dubium,-47.879444,-15.948333
Peltophorum dubium,-41.22,-13.499722
Peltophorum dubium,-45.581153,-23.032826
Peltophorum dubium,-43.590922,-22.929978
Peltophorum dubium,-43.631827,-22.941009
Peltophorum dubium,-43.2,-16.02
Peltophorum dubium,-41.94,-13.68
Peltophorum dubium,-40.981944,-16.399722
Peltophorum dubium,-43.2,-16.02
Peltophorum dubium,-43.299444,-22.397222
Peltophorum dubium,-57.615671,-19.215782
Peltophorum dubium,-57.607386,-19.207503
Peltophorum dubium,-42.189773,-21.414627
Peltophorum dubium,-40.171461,-14.367055
Peltophorum dubium,-46.65645,-23.589188
Peltophorum dubium,-46.595224,-23.610751
Peltophorum dubium,-52.405942,-28.265431
Peltophorum dubium,-53.851338,-27.23267
Peltophorum dubium,-54.650928,-20.520555
Peltophorum dubium,-57.669989,-19.206744
Peltophorum dubium,-57.507668,-19.207529
Peltophorum dubium,-47.067588,-22.914502
Peltophorum dubium,-40.351944,-10.650278
Peltophorum dubium,-40.351944,-10.650278
Peltophorum dubium,-56.695,-15.614028
Peltophorum dubium,-44.963619,-20.183766
Peltophorum dubium,-63.93878,-8.835559
Peltophorum dubium,-43.446778,-22.901267
Peltophorum dubium,-57.7375,-21.630833
Peltophorum dubium,-51.157321,-30.023384
Peltophorum dubium,-45.427847,-22.440158
Peltophorum dubium,-51.112126,-30.026977
Peltophorum dubium,-57.934444,-22.088333
Peltophorum dubium,-47.880528,-15.767053
Peltophorum dubium,-54.564133,-25.513511
Peltophorum dubium,-51.066487,-29.993975
Peltophorum dubium,-49.331707,-20.821795
Peltophorum dubium,-44.506642,-22.40435
Peltophorum dubium,-54.554628,-28.540487
Peltophorum dubium,-54.689032,-30.963805
Peltophorum dubium,-53.280556,-26.640556
Peltophorum dubium,-53.280556,-26.640556
Peltophorum dubium,-53.280556,-26.640555
Peltophorum dubium,-53.280556,-26.640555
Peltophorum dubium,-54.688483,-30.96365
Peltophorum dubium,-51.313861,-30.114535
Peltophorum dubium,-46.729929,-23.583427
Peltophorum dubium,-53.528133,-25.789978
Peltophorum dubium,-41.25028,-19.279272
Peltophorum dubium,-41.31,-21.619167
Peltophorum dubium,-40.9775,-16.388611
Peltophorum dubium,-42.103611,-21.660278
Peltophorum dubium,-36.642806,-9.957075
Peltophorum dubium,-36.641369,-9.957025
Peltophorum dubium,-36.641369,-9.957025
Peltophorum dubium,-36.638278,-9.956669
Peltophorum dubium,-52.558543,-27.232371
Peltophorum dubium,-52.492965,-26.585272
Peltophorum dubium,-43.223889,-22.968611
