scientific_name,decimalLongitude,decimalLatitude
Persicaria capitata,-46.190637,-23.527603
Persicaria capitata,-47.885053,-22.01679
Persicaria capitata,-47.165796,-22.50096
Persicaria capitata,-42.965761,-22.45213
Persicaria capitata,-42.965759,-22.452151
Persicaria capitata,-42.965761,-22.45215
Persicaria capitata,-43.931156,-20.104609
Persicaria capitata,-43.488057,-20.097521
Persicaria capitata,-42.533611,-22.327222
Persicaria capitata,-43.675602,-19.822726
Persicaria capitata,-46.476182,-23.557835
Persicaria capitata,-49.343139,-25.453862
Persicaria capitata,-49.346698,-25.439194
Persicaria capitata,-46.50126,-23.637697
Persicaria capitata,-46.666789,-23.506523
Persicaria capitata,-46.544106,-23.56674
Persicaria capitata,-46.547684,-23.564436
Persicaria capitata,-46.678985,-23.679202
Persicaria capitata,-49.34656,-25.439032
Persicaria capitata,-49.217199,-25.467423
Persicaria capitata,-46.593195,-23.605084
Persicaria capitata,-49.31985,-25.465017
Persicaria capitata,-44.011344,-19.858595
Persicaria capitata,-49.269783,-25.446352
Persicaria capitata,-49.269791,-25.446153
Persicaria capitata,-49.258144,-25.401389000000002
Persicaria capitata,-49.337625,-25.481026
Persicaria capitata,-40.595347,-19.93429
Persicaria capitata,-46.728087,-23.446983
Persicaria capitata,-46.728087,-23.446983
Persicaria capitata,-40.598232,-19.935912
Persicaria capitata,-46.44414,-23.635477
Persicaria capitata,-46.493085,-23.687669
Persicaria capitata,-49.340774,-25.395238
Persicaria capitata,-43.929142,-19.950596
Persicaria capitata,-49.181343,-25.375879
Persicaria capitata,-46.678985,-23.679202
Persicaria capitata,-49.354451,-25.445783
Persicaria capitata,-40.598025,-19.935589
Persicaria capitata,-46.593225,-23.605173
Persicaria capitata,-46.640705,-23.664452
Persicaria capitata,-43.960084,-20.214434
Persicaria capitata,-42.965705,-22.452217
Persicaria capitata,-49.224266,-25.406029
Persicaria capitata,-44.60539,-22.016682
Persicaria capitata,-43.380025,-21.770834
Persicaria capitata,-45.594391,-22.740846
Persicaria capitata,-43.960094,-20.214573
Persicaria capitata,-43.960374,-20.214482
Persicaria capitata,-42.586945,-22.353577
Persicaria capitata,-43.162086,-22.435352
Persicaria capitata,-46.635819,-23.564708
Persicaria capitata,-46.597266,-23.557411
Persicaria capitata,-49.297622,-25.472179
Persicaria capitata,-49.350916,-25.438943
Persicaria capitata,-49.570427,-25.471676
Persicaria capitata,-49.254555,-25.376714
Persicaria capitata,-43.161114,-22.437902
Persicaria capitata,-43.161942,-22.437366
Persicaria capitata,-46.399073,-23.57939
Persicaria capitata,-49.267106,-25.425309
Persicaria capitata,-43.172583,-22.503103
Persicaria capitata,-49.267517,-25.447278
Persicaria capitata,-49.308665,-25.4828
Persicaria capitata,-46.762765,-23.574115
Persicaria capitata,-46.594436,-23.461061
Persicaria capitata,-46.575463,-23.535244
Persicaria capitata,-46.69589,-23.773286
Persicaria capitata,-49.243652,-25.38843
Persicaria capitata,-46.734072,-23.465912
Persicaria capitata,-46.472433,-23.548483
Persicaria capitata,-46.725709,-23.491871
Persicaria capitata,-49.149765,-25.253872
Persicaria capitata,-46.685654,-23.564359
Persicaria capitata,-46.685654,-23.564359
Persicaria capitata,-46.622995,-23.63872
Persicaria capitata,-46.622995,-23.63872
Persicaria capitata,-49.251413,-25.4282
Persicaria capitata,-49.265198,-25.426876
Persicaria capitata,-49.508492,-28.488499
Persicaria capitata,-45.546464,-22.708434
Persicaria capitata,-45.31251,-23.21537
Persicaria capitata,-44.59247,-22.31727
Persicaria capitata,-46.641048,-23.057273
Persicaria capitata,-43.989195,-19.87541
Persicaria capitata,-46.535119,-21.796617
Persicaria capitata,-44.787807,-22.348637
Persicaria capitata,-43.6775,-19.8225
Persicaria capitata,-49.460278,-28.512222
Persicaria capitata,-49.508026,-28.488407
Persicaria capitata,-49.174543,-25.500972
Persicaria capitata,-46.639097,-23.571228
Persicaria capitata,-46.627462,-23.569937
Persicaria capitata,-46.627197,-23.569753
Persicaria capitata,-42.58484,-22.351568
Persicaria capitata,-53.681026,-29.228602
Persicaria capitata,-49.077778,-26.906389
Persicaria capitata,-46.639097,-23.571228
Persicaria capitata,-49.095483,-26.916907
Persicaria capitata,-46.646416,-23.584328
Persicaria capitata,-46.646704,-23.584189
Persicaria capitata,-49.545588,-25.437766
Persicaria capitata,-49.243822,-25.492706
Persicaria capitata,-49.246063,-25.403089
Persicaria capitata,-49.236817,-25.50309
Persicaria capitata,-49.277686,-25.53788
Persicaria capitata,-43.161601,-22.437105
Persicaria capitata,-49.270329,-25.531042
Persicaria capitata,-46.649609,-23.584488
Persicaria capitata,-49.349161,-25.421892
Persicaria capitata,-49.545764,-25.437899
Persicaria capitata,-46.695442,-23.551474
Persicaria capitata,-49.175397,-25.361477
Persicaria capitata,-49.175177,-25.35967
Persicaria capitata,-51.5213,-29.286944
Persicaria capitata,-46.942542,-23.567568
Persicaria capitata,-50.133523,-29.054067
Persicaria capitata,-46.300987,-23.779323
Persicaria capitata,-51.578322,-23.597837
Persicaria capitata,-51.21051,-30.084368
Persicaria capitata,-41.729965,-20.4674
Persicaria capitata,-42.584705,-22.349413
Persicaria capitata,-42.584926,-22.351575
Persicaria capitata,-46.697481,-23.648472
Persicaria capitata,-42.586753,-22.346245
Persicaria capitata,-46.643892,-23.500033
Persicaria capitata,-46.633758,-23.498139
Persicaria capitata,-46.630156,-23.502691
Persicaria capitata,-45.607635,-22.782798
Persicaria capitata,-42.593323,-22.328819
Persicaria capitata,-42.593323,-22.328819
Persicaria capitata,-42.593323,-22.328819
Persicaria capitata,-43.518975,-20.376211
Persicaria capitata,-49.122995,-25.518859
Persicaria capitata,-45.576148,-22.704472
Persicaria capitata,-46.646335,-23.584379
Persicaria capitata,-46.524749,-21.365562
Persicaria capitata,-48.849389,-27.282428
Persicaria capitata,-42.565186,-22.356531
Persicaria capitata,-43.497642,-20.387208
Persicaria capitata,-49.280035,-25.415152
Persicaria capitata,-49.268305,-25.41584
Persicaria capitata,-49.289264,-25.383786
Persicaria capitata,-49.251544,-25.376135
Persicaria capitata,-49.274238,-25.388088
Persicaria capitata,-49.201037,-25.42128
Persicaria capitata,-46.6378,-23.457158
Persicaria capitata,-46.636936,-23.458073
Persicaria capitata,-49.241512,-25.464754
Persicaria capitata,-46.312956,-18.998496
Persicaria capitata,-49.249306,-25.393183
Persicaria capitata,-49.2992,-25.466612
Persicaria capitata,-49.548771,-28.396463
Persicaria capitata,-42.770326,-22.453452
Persicaria capitata,-48.448078,-22.891742
Persicaria capitata,-46.642178,-23.63723
Persicaria capitata,-49.275356,-25.429922
Persicaria capitata,-45.558443,-22.731984
Persicaria capitata,-43.503805,-20.385882
Persicaria capitata,-43.596854,-18.246793
Persicaria capitata,-43.600321,-18.244952
Persicaria capitata,-46.136409,-23.480656
Persicaria capitata,-44.578113,-22.326997
Persicaria capitata,-49.223629,-25.435614
Persicaria capitata,-50.976622,-25.215863
Persicaria capitata,-46.860769,-23.186479
Persicaria capitata,-49.512498,-25.367202
Persicaria capitata,-50.878995,-29.36891
Persicaria capitata,-50.878912,-29.369055
Persicaria capitata,-46.712708,-23.570822
Persicaria capitata,-51.579607,-23.596707
Persicaria capitata,-43.505135,-20.387687
Persicaria capitata,-46.656645,-23.555582
Persicaria capitata,-42.009885,-21.95686
Persicaria capitata,-42.58416,-22.350867
Persicaria capitata,-42.585596,-22.352117
Persicaria capitata,-46.537867,-22.951202
Persicaria capitata,-49.297908,-25.472048
Persicaria capitata,-49.251575,-25.376138
Persicaria capitata,-49.350752,-25.440355
Persicaria capitata,-49.350893,-25.440432
Persicaria capitata,-42.585603,-22.346747
Persicaria capitata,-43.969826,-19.917984
Persicaria capitata,-45.529338,-22.755658
Persicaria capitata,-44.609988,-22.325958
Persicaria capitata,-48.047178,-23.598465
Persicaria capitata,-50.870422,-29.414942
Persicaria capitata,-46.646697,-23.560208
Persicaria capitata,-48.278704,-18.935905
Persicaria capitata,-49.215465,-25.370668
Persicaria capitata,-45.620546,-22.711906
Persicaria capitata,-43.813694,-20.250013
Persicaria capitata,-43.373276,-21.743043
Persicaria capitata,-46.558365,-23.622103
Persicaria capitata,-46.620873,-23.616948
Persicaria capitata,-51.56048,-29.074319
Persicaria capitata,-46.722222,-23.479444
Persicaria capitata,-49.189513,-25.461549
Persicaria capitata,-45.340746,-21.982341
Persicaria capitata,-50.837353,-29.352638
Persicaria capitata,-45.340746,-21.982341
Persicaria capitata,-50.976825,-29.948871
Persicaria capitata,-44.863925,-22.29414
Persicaria capitata,-51.280556,-29.218889
Persicaria capitata,-46.530656,-23.66934
Persicaria capitata,-45.434776,-23.703312
Persicaria capitata,-49.269891,-25.546541
Persicaria capitata,-46.700944,-23.653337
Persicaria capitata,-46.698197,-23.549503
Persicaria capitata,-46.831162,-23.595869
Persicaria capitata,-45.6075,-22.755
Persicaria capitata,-46.571389,-23.128611
Persicaria capitata,-43.239873,-22.427562000000002
Persicaria capitata,-46.758527,-21.960392
Persicaria capitata,-49.253933,-25.524028
Persicaria capitata,-46.707205,-23.532558
Persicaria capitata,-46.877162,-23.357607
Persicaria capitata,-49.637735,-28.832037
Persicaria capitata,-46.843182,-23.600069
Persicaria capitata,-51.58908,-29.114175
Persicaria capitata,-46.554358,-21.793743
Persicaria capitata,-49.31028,-25.452183
Persicaria capitata,-46.652547,-23.646815
Persicaria capitata,-46.411103,-23.492129
Persicaria capitata,-44.965425,-22.583283
Persicaria capitata,-49.03093,-22.336597
Persicaria capitata,-51.283109,-29.327133
Persicaria capitata,-46.525,-23.661944
Persicaria capitata,-43.199773,-22.522944
Persicaria capitata,-46.295233,-23.311944
Persicaria capitata,-52.443791,-29.707333
Persicaria capitata,-52.443794,-29.707347
