scientific_name,decimalLongitude,decimalLatitude
Phalloceros caudimaculatus,-46.731006,-23.566718
Phalloceros caudimaculatus,-46.619808,-23.639239
Phalloceros caudimaculatus,-50.563864,-28.850964
Phalloceros caudimaculatus,-49.229818,-25.390339
Phalloceros caudimaculatus,-48.627428,-27.084283
Phalloceros caudimaculatus,-52.194606,-27.986042
Phalloceros caudimaculatus,-44.952611,-23.347333
Phalloceros caudimaculatus,-45.746389,-23.734444
Phalloceros caudimaculatus,-45.753333,-23.752778
Phalloceros caudimaculatus,-52.103333,-29.320556
Phalloceros caudimaculatus,-56.810589,-29.469822
Phalloceros caudimaculatus,-50.653333,-22.331389
Phalloceros caudimaculatus,-50.137472,-30.015
Phalloceros caudimaculatus,-44.852672,-23.351139
Phalloceros caudimaculatus,-51.163339,-23.59768
Phalloceros caudimaculatus,-48.683551,-28.241904
Phalloceros caudimaculatus,-49.889951,-29.514085
Phalloceros caudimaculatus,-51.371944,-29.986944
Phalloceros caudimaculatus,-53.891364,-27.16169
Phalloceros caudimaculatus,-51.106789,-23.631864
Phalloceros caudimaculatus,-51.117114,-23.688997
Phalloceros caudimaculatus,-51.099994,-23.637642
Phalloceros caudimaculatus,-51.176501,-23.622915
Phalloceros caudimaculatus,-50.631476,-24.30583
Phalloceros caudimaculatus,-48.591114,-24.581017
Phalloceros caudimaculatus,-52.273736,-27.634908
Phalloceros caudimaculatus,-48.67031,-24.560375
Phalloceros caudimaculatus,-50.601891,-24.33739
Phalloceros caudimaculatus,-41.385278,-21.89
Phalloceros caudimaculatus,-41.423611,-21.9125
Phalloceros caudimaculatus,-41.684722,-22.221111
Phalloceros caudimaculatus,-41.675,-22.179167
Phalloceros caudimaculatus,-41.700278,-22.234444
Phalloceros caudimaculatus,-41.676944,-22.188056
Phalloceros caudimaculatus,-41.622778,-22.088333
Phalloceros caudimaculatus,-41.718333,-22.263056
Phalloceros caudimaculatus,-41.704444,-22.241944
Phalloceros caudimaculatus,-41.697222,-22.231944
Phalloceros caudimaculatus,-41.675833,-22.198333
Phalloceros caudimaculatus,-50.601891,-24.33739
Phalloceros caudimaculatus,-50.631476,-24.30583
Phalloceros caudimaculatus,-47.449722,-20.755556
Phalloceros caudimaculatus,-47.443611,-20.746667
Phalloceros caudimaculatus,-47.358611,-20.721944
Phalloceros caudimaculatus,-47.429722,-20.733611
Phalloceros caudimaculatus,-47.35,-20.737222
Phalloceros caudimaculatus,-47.35,-20.737222
Phalloceros caudimaculatus,-47.358611,-20.721944
Phalloceros caudimaculatus,-47.433333,-20.731389
Phalloceros caudimaculatus,-50.601891,-24.33739
Phalloceros caudimaculatus,-46.93056,-24.21754
Phalloceros caudimaculatus,-56.297667,-28.896861
Phalloceros caudimaculatus,-53.035,-27.083333
Phalloceros caudimaculatus,-52.250633,-32.038377
Phalloceros caudimaculatus,-51.752778,-27.613333
Phalloceros caudimaculatus,-50.543333,-29.160833
Phalloceros caudimaculatus,-50.625556,-29.093056
Phalloceros caudimaculatus,-42.368025,-18.935583
Phalloceros caudimaculatus,-46.208361,-23.799222
Phalloceros caudimaculatus,-46.206389,-23.797166
Phalloceros caudimaculatus,-46.19016,-23.73878
Phalloceros caudimaculatus,-46.18127,-23.73486
