Species,decimalLongitude,decimalLatitude
Pheidole megacephala,-47.880712,-22.029604
Pheidole megacephala,-43.451376,-23.015741
Pheidole megacephala,-47.547601,-22.405317
Pheidole megacephala,-47.547601,-22.405317
Pheidole megacephala,-42.87783,-20.75602
Pheidole megacephala,-42.87783,-20.75602
Pheidole megacephala,-42.87783,-20.75602
Pheidole megacephala,-42.87783,-20.75602
Pheidole megacephala,-52.989,-26.8483
Pheidole megacephala,-46.3152,-23.8727
Pheidole megacephala,-46.0427,-23.5777
Pheidole megacephala,-45.832,-23.569
Pheidole megacephala,-44.142351,-23.157858
Pheidole megacephala,-44.142351,-23.157858
Pheidole megacephala,-59.983333,-3.066667
Pheidole megacephala,-60.025276,-3.113333
