scientific_name,decimalLongitude,decimalLatitude
Phoenix roebelenii,-43.999246,-19.887795
Phoenix roebelenii,-46.408782,-23.676998
Phoenix roebelenii,-47.929722,-15.779722
Phoenix roebelenii,-47.929722,-15.779722
Phoenix roebelenii,-47.929722,-15.779722
Phoenix roebelenii,-51.930333,-23.427556
Phoenix roebelenii,-54.570556,-25.502778
Phoenix roebelenii,-54.570556,-25.502778
Phoenix roebelenii,-48.833333,-23.016667
Phoenix roebelenii,-46.682607,-22.69004
Phoenix roebelenii,-36.230833,-10.117361
Phoenix roebelenii,-52.410833,-28.262222
Phoenix roebelenii,-52.410833,-28.262222
Phoenix roebelenii,-52.410833,-28.262222
Phoenix roebelenii,-49.370278,-28.678333
Phoenix roebelenii,-49.370278,-28.678333
Phoenix roebelenii,-47.85,-21.166667
Phoenix roebelenii,-47.85,-21.166667
Phoenix roebelenii,-52.327556,-24.103639
Phoenix roebelenii,-52.3275,-24.103611
Phoenix roebelenii,-52.3275,-24.103611
Phoenix roebelenii,-52.327556,-24.103639
Phoenix roebelenii,-43.915972,-19.891611
Phoenix roebelenii,-43.966667,-19.866667
Phoenix roebelenii,-46.6577974,-23.586877
Phoenix roebelenii,-40.6,-19.936111
