scientific_name,decimalLongitude,decimalLatitude
Phyllodytes luteolus,-39.859975,-18.676561
Phyllodytes luteolus,-40.499984,-20.673893
Phyllodytes luteolus,-39.021649,-14.903797
Phyllodytes luteolus,-39.859904,-18.676373
Phyllodytes luteolus,-39.859904,-18.676353
Phyllodytes luteolus,-40.070442,-19.151336
Phyllodytes luteolus,-40.325403,-20.409236
Phyllodytes luteolus,-39.017784,-14.930965
Phyllodytes luteolus,-40.070808,-19.15138
Phyllodytes luteolus,-40.070808,-19.15138
Phyllodytes luteolus,-39.0918,-16.487977
Phyllodytes luteolus,-39.014897,-14.932372
Phyllodytes luteolus,-40.553325,-19.806442
Phyllodytes luteolus,-40.553325,-19.806442
Phyllodytes luteolus,-40.553325,-19.806442
Phyllodytes luteolus,-39.017645,-14.928214
Phyllodytes luteolus,-40.812778,-18.768889
Phyllodytes luteolus,-40.824444,-18.768889
Phyllodytes luteolus,-40.499431,-19.901611
Phyllodytes luteolus,-40.499431,-19.901611
Phyllodytes luteolus,-40.499431,-19.901611
Phyllodytes luteolus,-39.886541,-19.668684
Phyllodytes luteolus,-39.88825,-19.66225
Phyllodytes luteolus,-40.471369,-19.916786
Phyllodytes luteolus,-40.471369,-19.916786
Phyllodytes luteolus,-40.540486,-19.965267
Phyllodytes luteolus,-40.540486,-19.965267
Phyllodytes luteolus,-39.173249,-14.798136
Phyllodytes luteolus,-40.143611,-19.969194
Phyllodytes luteolus,-40.335111,-19.818889
Phyllodytes luteolus,-40.335111,-19.818889
Phyllodytes luteolus,-40.06252,-19.137433
Phyllodytes luteolus,-40.325403,-20.408673
Phyllodytes luteolus,-40.411111,-20.566111
Phyllodytes luteolus,-40.411111,-20.566111
Phyllodytes luteolus,-40.411111,-20.566111
Phyllodytes luteolus,-40.411111,-20.566111
Phyllodytes luteolus,-40.411111,-20.566111
Phyllodytes luteolus,-40.411111,-20.566111
Phyllodytes luteolus,-40.411111,-20.566111
Phyllodytes luteolus,-40.411111,-20.566111
Phyllodytes luteolus,-40.411111,-20.566111
Phyllodytes luteolus,-40.411111,-20.566111
Phyllodytes luteolus,-40.411111,-20.566111
Phyllodytes luteolus,-40.411111,-20.566111
