Species,decimalLongitude,decimalLatitude
Phyllostachys aurea,-48.260003,-18.880365
Phyllostachys aurea,-46.570107,-23.66057
Phyllostachys aurea,-43.010947,-22.823665
Phyllostachys aurea,-46.441383,-23.552172
Phyllostachys aurea,-51.109592,-30.009609
Phyllostachys aurea,-48.053048,-23.600663
Phyllostachys aurea,-46.678137,-23.560471
Phyllostachys aurea,-47.21785,-22.892957
Phyllostachys aurea,-47.051822,-22.6315
Phyllostachys aurea,-49.284563,-25.380438
Phyllostachys aurea,-46.735963,-23.581707
Phyllostachys aurea,-51.186311,-29.191171
Phyllostachys aurea,-46.618056,-23.481944
Phyllostachys aurea,-52.047778,-24.406667
Phyllostachys aurea,-52.047778,-24.406667
Phyllostachys aurea,-54.476944,-25.624167
Phyllostachys aurea,-54.476944,-25.624167
Phyllostachys aurea,-52.047667,-24.406583
Phyllostachys aurea,-54.476833,-25.624222
Phyllostachys aurea,-48.637778,-27.001389
Phyllostachys aurea,-48.540833,-27.681944
Phyllostachys aurea,-54.559167,-23.597222
Phyllostachys aurea,-46.624611,-23.647778
Phyllostachys aurea,-51.016667,-30.07
Phyllostachys aurea,-46.935778,-23.230278
Phyllostachys aurea,-59.138056,-16.032222
Phyllostachys aurea,-35.851111,-9.455278
Phyllostachys aurea,-36.425828,-9.806472
Phyllostachys aurea,-43.366667,-19.883333
Phyllostachys aurea,-43.366667,-19.883333
Phyllostachys aurea,-46.7435002,-23.9857789
Phyllostachys aurea,-44.566667,-22.25
Phyllostachys aurea,-44.566667,-22.25
Phyllostachys aurea,-48.17,-15.52
Phyllostachys aurea,-45.17,-22.61
Phyllostachys aurea,-45.17,-22.6
Phyllostachys aurea,-45.1667,-22.6
Phyllostachys aurea,-45.166667,-22.6
Phyllostachys aurea,-45.16666,-22.6
Phyllostachys aurea,-47.907778,-15.806667
Phyllostachys aurea,-47.907778,-15.804167
Phyllostachys aurea,-47.929722,-15.779722
Phyllostachys aurea,-47.950556,-16.396667
Phyllostachys aurea,-48.67,-27.645833
Phyllostachys aurea,-48.9175,-27.098055
Phyllostachys aurea,-44.935373,-21.967376
Phyllostachys aurea,-44.935373,-21.967376
Phyllostachys aurea,-47.905833,-15.811389
Phyllostachys aurea,-47.929722,-15.779722
Phyllostachys aurea,-47.929722,-15.779722
Phyllostachys aurea,-48.911111,-27.098055
Phyllostachys aurea,-46.38,-23.36
Phyllostachys aurea,-46.38,-23.36
Phyllostachys aurea,-46.38,-23.36
Phyllostachys aurea,-46.38,-23.36
Phyllostachys aurea,-46.6333,-23.6
Phyllostachys aurea,-46.6333,-23.6
Phyllostachys aurea,-46.633333,-23.6
Phyllostachys aurea,-46.63333,-23.6
Phyllostachys aurea,-47.0608,-22.9056
Phyllostachys aurea,-47.0608,-22.9056
Phyllostachys aurea,-48.67,-27.645833
Phyllostachys aurea,-48.911111,-27.098056
