scientific_name,decimalLongitude,decimalLatitude
Physalis angulata,-38.607003,-3.942155
Physalis angulata,-53.05916,-23.786658
Physalis angulata,-54.138644,-29.736914
Physalis angulata,-38.640832,-3.824894
Physalis angulata,-48.935569,-21.910531
Physalis angulata,-51.183193,-27.577855
Physalis angulata,-35.198481,-8.037345
Physalis angulata,-39.282074,-6.353891
Physalis angulata,-41.29901,-21.737846
Physalis angulata,-35.289378,-6.420201
Physalis angulata,-41.299113,-21.73771
Physalis angulata,-36.439457,-7.672498
Physalis angulata,-35.223515,-5.930694
Physalis angulata,-44.004407,-19.851106
Physalis angulata,-45.286389,-2.211111
Physalis angulata,-45.668042,-22.306981
Physalis angulata,-58.438927,-3.126724
Physalis angulata,-59.946001,-3.02465
Physalis angulata,-48.816803,-27.267788
Physalis angulata,-42.0425,-12.221111
Physalis angulata,-49.588177,-20.738075
Physalis angulata,-39.397613,-6.459445
Physalis angulata,-39.396767,-6.457103
Physalis angulata,-42.299722,-12.78
Physalis angulata,-46.111167,-1.682389
Physalis angulata,-41.286347,-21.764386
Physalis angulata,-40.433953,-2.811417
Physalis angulata,-40.715556,-3.819722
Physalis angulata,-41.287828,-21.761114
Physalis angulata,-39.583333,-13.016667
Physalis angulata,-48.661422,-26.908688
Physalis angulata,-40.341617,-3.684033
Physalis angulata,-56.114094,-15.576363
Physalis angulata,-51.120135,-0.017345
Physalis angulata,-67.500123,-8.788344
Physalis angulata,-48.700656,-26.887792
Physalis angulata,-48.988838,-27.088583
Physalis angulata,-40.724607,-20.84133
Physalis angulata,-41.28401,-21.832819
Physalis angulata,-43.023381,-22.571112
Physalis angulata,-48.300575,-1.196132
Physalis angulata,-54.079387,-31.300278
Physalis angulata,-49.540531,-14.963804
Physalis angulata,-39.800918,-8.458486
Physalis angulata,-57.615,-18.993333
Physalis angulata,-39.3083,-6.361156
Physalis angulata,-39.316269,-6.437624
Physalis angulata,-48.300613,-1.196042
Physalis angulata,-35.5,-9.272639
Physalis angulata,-53.09007,-23.470373
Physalis angulata,-47.523889,-6.498333
Physalis angulata,-53.83589,-30.126555
Physalis angulata,-40.691602,-3.227114
Physalis angulata,-40.33849,-20.363861
Physalis angulata,-38.529697,-3.75769
Physalis angulata,-48.418528,-1.527734
Physalis angulata,-38.854917,-4.095444
Physalis angulata,-55.145833,-19.906667
Physalis angulata,-43.322318,-22.729968
Physalis angulata,-71.205833,-8.053889
Physalis angulata,-48.200739,-15.579899
Physalis angulata,-38.491862,-7.127049
Physalis angulata,-42.713511,-5.303944
Physalis angulata,-40.691615,-3.227167
Physalis angulata,-53.460095,-24.947886
Physalis angulata,-42.023052,-22.589832
Physalis angulata,-43.309753,-22.599557
Physalis angulata,-54.517551,-27.890407
Physalis angulata,-48.364722,-10.401111
Physalis angulata,-48.364722,-10.401111
Physalis angulata,-43.38245,-22.83238
Physalis angulata,-59.976788,-3.056137
Physalis angulata,-35.774137,-9.557663
Physalis angulata,-36.915698,-5.629646
Physalis angulata,-46.797567,-12.811945
Physalis angulata,-47.479642,-5.56615
Physalis angulata,-52.152778,-29.258056
Physalis angulata,-43.454031,-4.393819
Physalis angulata,-67.842367,-3.06118
Physalis angulata,-41.298997,-21.737904
Physalis angulata,-39.173889,-14.799444
Physalis angulata,-52.007049,-27.392534
Physalis angulata,-51.184916,-28.058969
Physalis angulata,-43.551624,-22.880671
Physalis angulata,-50.903347,-15.888003
Physalis angulata,-37.966676,-4.933702
Physalis angulata,-52.104444,-27.290833
Physalis angulata,-48.816389,-27.2725
Physalis angulata,-35.079569,-8.703369
Physalis angulata,-53.673614,-28.725855
Physalis angulata,-52.104444,-27.290833
Physalis angulata,-48.816389,-27.2725
Physalis angulata,-52.104444,-27.290833
Physalis angulata,-36.349444,-9.796111
Physalis angulata,-36.360525,-9.796197
Physalis angulata,-36.349444,-9.796111
Physalis angulata,-39.321341,-6.361691
Physalis angulata,-35.161594,-5.950816
Physalis angulata,-67.501533,-8.789477
Physalis angulata,-36.661472,-9.754867
Physalis angulata,-36.661388,-9.755
Physalis angulata,-43.344062,-22.961632
Physalis angulata,-36.322054,-5.108389
Physalis angulata,-43.072761,-22.185406
Physalis angulata,-67.851753,-10.057077
Physalis angulata,-51.9975,-29.406667
Physalis angulata,-49.462179,-16.340987
Physalis angulata,-45.050723,-22.703063
Physalis angulata,-60.193611,-3.289722
Physalis angulata,-51.709783,-23.352618
Physalis angulata,-55.3675,-3.779444
Physalis angulata,-48.92085,-16.304682
Physalis angulata,-51.097222,-29.376389
Physalis angulata,-44.78,-3.453611
Physalis angulata,-48.363196,-21.22766
Physalis angulata,-53.685013,-28.694521
Physalis angulata,-45.139444,-10.454167
Physalis angulata,-41.361389,-19.227222
Physalis angulata,-37.384444,-7.253056
Physalis angulata,-37.255833,-6.581389
Physalis angulata,-37.255833,-6.581389
Physalis angulata,-37.991111,-4.571111
Physalis angulata,-37.6275,-8.617222
Physalis angulata,-37.20654,-8.067078
Physalis angulata,-37.6275,-8.067222
Physalis angulata,-56.442222,-20.442222
Physalis angulata,-37.6125,-8.447222
Physalis angulata,-37.210833,-8.067222
Physalis angulata,-38.215,-8.680833
Physalis angulata,-35.790556,-5.984722
Physalis angulata,-67.358638,-8.647328
Physalis angulata,-68.952885,-9.129462
Physalis angulata,-37.310833,-7.875556
Physalis angulata,-48.254833,-2.682083
Physalis angulata,-37.454444,-7.737778
Physalis angulata,-49.869722,-6.311667
Physalis angulata,-40.424222,-9.357166
Physalis angulata,-42.981111,-6.717222
Physalis angulata,-51.374722,-29.505556
Physalis angulata,-51.374722,-29.505556
Physalis angulata,-50.822778,-28.898055
Physalis angulata,-37.177778000000004,-8.480093
Physalis angulata,-51.374722,-29.505556
Physalis angulata,-49.224722,-25.398889
Physalis angulata,-49.224722,-25.398889
Physalis angulata,-39.430353,-4.165108
Physalis angulata,-39.430353,-4.165108
Physalis angulata,-38.570833,-3.791111
Physalis angulata,-39.4,-15.55
Physalis angulata,-39.4,-15.55
Physalis angulata,-37.171389,-8.275278
Physalis angulata,-37.171661,-8.275333
Physalis angulata,-48.843611,-1.756389
Physalis angulata,-42.081389,-18.966111
Physalis angulata,-42.081389,-18.966111
Physalis angulata,-42.081389,-18.966111
Physalis angulata,-51.309722,-1.868889
Physalis angulata,-53.0325,-26.071944
Physalis angulata,-40.868,-5.146278
Physalis angulata,-49.366944,-26.937222
Physalis angulata,-49.4375,-27.076389
Physalis angulata,-50.489167,-26.100833
Physalis angulata,-39.303139,-3.800833
Physalis angulata,-39.303139,-3.800833
Physalis angulata,-37.422661,-10.672864
Physalis angulata,-49.366944,-26.937222
Physalis angulata,-49.4375,-27.076389
Physalis angulata,-50.489167,-26.100833
Physalis angulata,-40.401389,-3.897778
Physalis angulata,-40.585611,-4.476
Physalis angulata,-39.679444,-9.336667
Physalis angulata,-42.801944,-5.089167
Physalis angulata,-38.682972,-4.274583
Physalis angulata,-49.376111,-7.925833
Physalis angulata,-37.781944,-9.641944
Physalis angulata,-37.674993,-8.134666
Physalis angulata,-38.235833,-12.819722
Physalis angulata,-37.021389,-10.583333
Physalis angulata,-37.021389,-10.583333
Physalis angulata,-50.108056,-6.393611
Physalis angulata,-40.978056,-12.463056
Physalis angulata,-40.978056,-12.463056
Physalis angulata,-40.978056,-12.463056
Physalis angulata,-40.978056,-12.463056
Physalis angulata,-41.011533,-12.452044
Physalis angulata,-41.011533,-12.452044
Physalis angulata,-40.978056,-12.463056
Physalis angulata,-40.406944,-3.632222
Physalis angulata,-34.920833,-7.920833
Physalis angulata,-43.5,-20.33
Physalis angulata,-36.754244,-9.910039
Physalis angulata,-40.306111,-3.616944
Physalis angulata,-40.306111,-3.616944
Physalis angulata,-49.295833,-26.3575
Physalis angulata,-44.037678,-19.428258
Physalis angulata,-39.04,-12.244167
Physalis angulata,-56.611389,-21.391389
Physalis angulata,-55.819167,-9.482778
Physalis angulata,-37.678889,-5.575278
Physalis angulata,-37.678889,-5.575278
Physalis angulata,-39.126389,-12.991389
Physalis angulata,-37.678889,-5.675278
Physalis angulata,-37.989444,-4.5675
Physalis angulata,-37.678889,-5.575278
Physalis angulata,-39.126444,-12.991278
Physalis angulata,-37.075278,-10.461667
Physalis angulata,-37.131389,-10.771667
Physalis angulata,-46.6715,-22.6945
Physalis angulata,-36.945564,-6.698188
Physalis angulata,-47.85,-21.216667
Physalis angulata,-45.25,-5.55
Physalis angulata,-45.25,-5.55
Physalis angulata,-47.418333,-23.452222
Physalis angulata,-35.826389,-9.465833
Physalis angulata,-36.384392,-9.782925
Physalis angulata,-39.331,-13.770028
Physalis angulata,-39.19516,-13.46121
Physalis angulata,-41.012222,-12.463333
Physalis angulata,-41.016111,-12.437222
Physalis angulata,-41.00441,-12.27483
Physalis angulata,-41.00584,-12.26141
Physalis angulata,-56.915833,-19.815556
Physalis angulata,-52.596389,-29.8175
Physalis angulata,-48.504167,-27.602222
Physalis angulata,-47.555833,-2.134444
Physalis angulata,-39.035556,-14.500278
Physalis angulata,-41.810556,-13.579444
Physalis angulata,-46.53575,-23.411111
Physalis angulata,-46.535833,-23.411111
Physalis angulata,-37.296111,-11.313889
Physalis angulata,-40.085278,-5.444722
Physalis angulata,-37.29625,-11.313889
Physalis angulata,-51.865,-29.252222
Physalis angulata,-40.1297,-14.4119
Physalis angulata,-40.129722,-14.411944
Physalis angulata,-40.129583,-14.412056
Physalis angulata,-40.07465,-14.24434
Physalis angulata,-51.956667,-3.333889
Physalis angulata,-40.317777,-10.521944
Physalis angulata,-51.956666,-3.333889
Physalis angulata,-51.956667,-3.333889
Physalis angulata,-55.6075,-11.861667
Physalis angulata,-41.480556,-13.477222
Physalis angulata,-41.480556,-13.477222
Physalis angulata,-56.813056,-9.336944
Physalis angulata,-48.558333,-11.015833
Physalis angulata,-49.371111,-26.924444
Physalis angulata,-49.371111,-26.924444
Physalis angulata,-49.371111,-26.924444
Physalis angulata,-49.371006,-26.924408
Physalis angulata,-56.072222,-9.904722
Physalis angulata,-40.116611,-10.395388
Physalis angulata,-53.683333,-29.566667
Physalis angulata,-53.683333,-29.566667
Physalis angulata,-53.683333,-29.566667
Physalis angulata,-53.683333,-29.566667
Physalis angulata,-36.427222,-9.255
Physalis angulata,-40.948889,-11.638333
