scientific_name,decimalLongitude,decimalLatitude
Physella acuta,-49.275233,-26.84179
Physella acuta,-38.470431,-3.831864
Physella acuta,-35.223515,-5.930694
Physella acuta,-38.529558,-3.757762
Physella acuta,-38.529558,-3.757762
Physella acuta,-38.529558,-3.757762
Physella acuta,-43.249698,-22.74385
Physella acuta,-45.365354,-23.822279
Physella acuta,-43.682164,-15.367334
Physella acuta,-44.191262,-15.175185
Physella acuta,-38.08333,-4.36667
Physella acuta,-35.9,-9.71667
Physella acuta,-43.35011,-22.86833
Physella acuta,-43.27807,-11.56072
