scientific_name,decimalLongitude,decimalLatitude
Pimelodus fur,-46.844722,-17.977778
Pimelodus fur,-44.429948,-18.770344
Pimelodus fur,-45.979726,-20.339171
Pimelodus fur,-47.292107,-16.215543
Pimelodus fur,-47.292107,-16.215543
Pimelodus fur,-43.987036,-20.499222
Pimelodus fur,-43.488472,-22.246944
Pimelodus fur,-43.665,-15.323
Pimelodus fur,-43.66,-15.32
Pimelodus fur,-43.207222,-21.3
Pimelodus fur,-44.18,-17.9925
Pimelodus fur,-44.18,-17.9925
Pimelodus fur,-43.996944,-18.685278
Pimelodus fur,-44.18,-17.9925
Pimelodus fur,-44.935278,-19.224444
Pimelodus fur,-44.169,-17.984
Pimelodus fur,-44.17,-17.98
Pimelodus fur,-45.311889,-23.223861
Pimelodus fur,-43.828333,-22.465556
Pimelodus fur,-43.048611,-22.118889
Pimelodus fur,-43.087778,-22.088472
Pimelodus fur,-44.591667,-18.358611
Pimelodus fur,-44.591667,-18.358611
Pimelodus fur,-43.141389,-22.017778
Pimelodus fur,-42.69575,-21.884028
Pimelodus fur,-43.048611,-22.118889
Pimelodus fur,-43.828333,-22.465556
Pimelodus fur,-43.731667,-22.425278
Pimelodus fur,-43.988333,-18.684444
Pimelodus fur,-47.233056,-16.209722
Pimelodus fur,-43.828333,-22.465556
Pimelodus fur,-45.017222,-21.126111
Pimelodus fur,-44.383333,-17.263889
Pimelodus fur,-48.50417,-27.60833
Pimelodus fur,-43.444991,-13.284186
Pimelodus fur,-44.180263,-18.526157
Pimelodus fur,-44.370802,-15.55218
Pimelodus fur,-44.401669,-15.565556
Pimelodus fur,-44.198612,-18.482222
Pimelodus fur,-42.55,-21.833333
Pimelodus fur,-42.8,-21.9
Pimelodus fur,-43.166667,-22.133333
Pimelodus fur,-42.116667,-21.7
Pimelodus fur,-42.8,-21.233333
Pimelodus fur,-45.150002,-18.633333
Pimelodus fur,-42.6,-21.85
Pimelodus fur,-42.116667,-21.7
Pimelodus fur,-42.766667,-21.4
Pimelodus fur,-42.883333,-21.95
Pimelodus fur,-42.766667,-21.4
Pimelodus fur,-44.95,-17.433333
Pimelodus fur,-44.446667,-22.468889
Pimelodus fur,-54.75,-18.5
Pimelodus fur,-45.283333,-18.5
Pimelodus fur,-54.316667,-24.166667
Pimelodus fur,-45.283333,-18.5
Pimelodus fur,-47.383333,-21.916667
Pimelodus fur,-47.373207,-21.927366
Pimelodus fur,-47.373207,-21.927366
Pimelodus fur,-45.733333,-23.366667
Pimelodus fur,-51.116667,-20.25
Pimelodus fur,-45.895154,-23.393548
Pimelodus fur,-45.895154,-23.393548
Pimelodus fur,-52.666667,-26.45
Pimelodus fur,-44.958674,-17.367768
Pimelodus fur,-40.515149,-9.406149
Pimelodus fur,-56.502222,-20.199167
Pimelodus fur,-56.6,-29.133333
Pimelodus fur,-44.966667,-17.333333
Pimelodus fur,-44.966667,-17.333333
Pimelodus fur,-47.416667,-22
Pimelodus fur,-43.88333,-19.63333
Pimelodus fur,-44.03,-19.28
Pimelodus fur,-44.03,-19.28
Pimelodus fur,-44.83,-17.23
Pimelodus fur,-44.83,-17.23
Pimelodus fur,-45.2,-17.633333
Pimelodus fur,-44.95,-17.433333
Pimelodus fur,-44.95,-17.433333
Pimelodus fur,-44.95,-17.433333
Pimelodus fur,-45.733333,-18.4
Pimelodus fur,-45.866667,-18.683333
Pimelodus fur,-46.016667,-18.683333
Pimelodus fur,-46.033333,-18.983333
Pimelodus fur,-45.866667,-18.683333
Pimelodus fur,-56.583333,-20.25
Pimelodus fur,-44.169,-17.984
Pimelodus fur,-44.17,-17.98
Pimelodus fur,-57.63498,-18.995405
Pimelodus fur,-44,-20
Pimelodus fur,-52.983605,-17.458597
