scientific_name,decimalLongitude,decimalLatitude
Pimelodus maculatus,-41.613172,-19.440769
Pimelodus maculatus,-53.290556,-22.723056
Pimelodus maculatus,-54.549444,-25.446944
Pimelodus maculatus,-44.259037,-15.419517
Pimelodus maculatus,-45.964204,-21.775419
Pimelodus maculatus,-45.964265,-21.775399
Pimelodus maculatus,-45.964179,-21.775528
Pimelodus maculatus,-51.241918,-30.037606
Pimelodus maculatus,-51.24192,-30.03775
Pimelodus maculatus,-51.241886,-30.038357
Pimelodus maculatus,-51.241874,-30.038664
Pimelodus maculatus,-51.241867,-30.038768
Pimelodus maculatus,-45.964258,-21.775321
Pimelodus maculatus,-45.964266,-21.775348
Pimelodus maculatus,-45.964299,-21.775289
Pimelodus maculatus,-44.354379,-15.490555
Pimelodus maculatus,-44.354269,-15.490523
Pimelodus maculatus,-44.354189,-15.490428
Pimelodus maculatus,-51.236608,-29.930199000000002
Pimelodus maculatus,-46.965303,-22.876892
Pimelodus maculatus,-45.467191,-17.165619
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-47.367361,-21.92675
Pimelodus maculatus,-49.9306689,-22.9141315
Pimelodus maculatus,-45.278031,-23.249803
Pimelodus maculatus,-54.549444,-25.446944
Pimelodus maculatus,-54.549444,-25.446944
Pimelodus maculatus,-53.014222,-22.522778
Pimelodus maculatus,-53.014222,-22.522778
Pimelodus maculatus,-47.5304851,-21.7976044
Pimelodus maculatus,-47.3678593,-21.9270812
Pimelodus maculatus,-47.7981443,-22.6713224
Pimelodus maculatus,-56.655556,-29.424722
Pimelodus maculatus,-51.785,-27.527
Pimelodus maculatus,-51.785,-27.527
Pimelodus maculatus,-51.580694,-22.690194
Pimelodus maculatus,-47.654167,-22.716667
Pimelodus maculatus,-46.158052,-20.705352
Pimelodus maculatus,-55.337,-27.963
Pimelodus maculatus,-55.337,-27.963
Pimelodus maculatus,-55.337,-27.963
Pimelodus maculatus,-55.337,-27.963
Pimelodus maculatus,-55.337,-27.963
Pimelodus maculatus,-55.337,-27.963
Pimelodus maculatus,-56.754165,-29.410556
Pimelodus maculatus,-40.539722,-19.045556
Pimelodus maculatus,-41.066667,-19.483333
Pimelodus maculatus,-41.066667,-19.483333
Pimelodus maculatus,-41.066667,-19.483333
Pimelodus maculatus,-40.539722,-19.045556
Pimelodus maculatus,-40.534167,-19.064444
Pimelodus maculatus,-47.428333,-20.731944
Pimelodus maculatus,-45.512611,-23.108528
Pimelodus maculatus,-56.776111,-29.414444
Pimelodus maculatus,-51.393913,-30.686229
Pimelodus maculatus,-45.509,-23.563
Pimelodus maculatus,-55.429167,-28.080278
Pimelodus maculatus,-50.601891,-24.33739
Pimelodus maculatus,-50.631476,-24.30583
Pimelodus maculatus,-45.881556,-23.37075
Pimelodus maculatus,-45.881556,-23.37075
Pimelodus maculatus,-55.038816,-28.134763
Pimelodus maculatus,-51.689442,-21.053608
Pimelodus maculatus,-40.539722,-19.045556
Pimelodus maculatus,-55.923611,-27.167778
Pimelodus maculatus,-50.601891,-24.33739
Pimelodus maculatus,-45.509,-23.563
Pimelodus maculatus,-46.307222,-23.142778
Pimelodus maculatus,-53.256667,-22.764167
Pimelodus maculatus,-47.252581,-22.717286
Pimelodus maculatus,-45.509,-23.563
Pimelodus maculatus,-57.018056,-19.576667
Pimelodus maculatus,-43.438333,-13.487222
Pimelodus maculatus,-50.9645,-23.225389
Pimelodus maculatus,-50.9645,-23.225389
Pimelodus maculatus,-50.9645,-23.225389
Pimelodus maculatus,-50.9645,-23.225389
Pimelodus maculatus,-50.9645,-23.225389
Pimelodus maculatus,-56.563278,-29.116444
Pimelodus maculatus,-56.563278,-29.116444
Pimelodus maculatus,-50.9645,-23.225389
Pimelodus maculatus,-55.069722,-27.855278
Pimelodus maculatus,-47.301111,-21.968056
Pimelodus maculatus,-48.170833,-21.173333
Pimelodus maculatus,-47.316389,-21.949444
Pimelodus maculatus,-47.301111,-21.968056
Pimelodus maculatus,-47.316389,-21.949444
Pimelodus maculatus,-47.316389,-21.949444
Pimelodus maculatus,-47.316389,-21.949444
Pimelodus maculatus,-57.017778,-19.576389
Pimelodus maculatus,-40.06942,-19.4064
Pimelodus maculatus,-40.06942,-19.4064
Pimelodus maculatus,-40.914722,-19.502003
Pimelodus maculatus,-55.0667,-28.141514
Pimelodus maculatus,-53.374764,-27.088842
Pimelodus maculatus,-47.4272797,-20.0169699
Pimelodus maculatus,-48.2433001,-20.0439461
Pimelodus maculatus,-42.608611,-21.933611
Pimelodus maculatus,-54.475353,-25.631531
Pimelodus maculatus,-54.475353,-25.631531
Pimelodus maculatus,-53.892778,-28.301667
Pimelodus maculatus,-54.563814,-25.588331
Pimelodus maculatus,-54.563814,-25.588331
Pimelodus maculatus,-45.981833,-20.356444
Pimelodus maculatus,-65.303333,-9.508333
Pimelodus maculatus,-64.87944,-9.39139
Pimelodus maculatus,-51.075833,-23.385
Pimelodus maculatus,-51.075833,-23.385
Pimelodus maculatus,-57.018056,-19.576667
Pimelodus maculatus,-49.619056,-24.102111
Pimelodus maculatus,-49.619056,-24.102111
Pimelodus maculatus,-47.821389,-21.611944
Pimelodus maculatus,-48.17,-21.168333
Pimelodus maculatus,-48.17,-21.168333
Pimelodus maculatus,-53.217778,-22.724167
Pimelodus maculatus,-46.341094,-20.670928
Pimelodus maculatus,-46.341094,-20.670928
Pimelodus maculatus,-45.068333,-16.663889
Pimelodus maculatus,-55.066925,-28.143467
Pimelodus maculatus,-55.066925,-28.143467
Pimelodus maculatus,-55.066925,-28.143467
Pimelodus maculatus,-45.981111,-20.338889000000002
Pimelodus maculatus,-50.273889,-18.685
Pimelodus maculatus,-53.300833,-27.049167
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.370833,-19.846389
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.26,-22.93
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-50.262,-22.935
Pimelodus maculatus,-51.689442,-21.053608
Pimelodus maculatus,-51.689442,-21.053608
Pimelodus maculatus,-42.159,-19.081
Pimelodus maculatus,-42.361,-18.951
Pimelodus maculatus,-49.619056,-24.102111
Pimelodus maculatus,-49.619056,-24.102111
