Species,decimalLongitude,decimalLatitude
Pinus elliottii,-48.647767,-26.985212
Pinus elliottii,-46.488495,-23.431358
Pinus elliottii,-48.853333,-26.284167
Pinus elliottii,-43.861111,-20.444167
Pinus elliottii,-46.624722,-23.641667
Pinus elliottii,-49.279652,-25.298501
Pinus elliottii,-49.23766,-25.447303
Pinus elliottii,-48.637222,-23.057778
Pinus elliottii,-47.866389,-15.952222
Pinus elliottii,-57.24,-14.04
Pinus elliottii,-38.041667,-12.263056
Pinus elliottii,-48.954444,-26.039167
Pinus elliottii,-48.954444,-26.039167
Pinus elliottii,-53.055,-25.431111
Pinus elliottii,-53.055,-25.431111
Pinus elliottii,-50.296389,-30.332889
Pinus elliottii,-43.966111,-19.871944
Pinus elliottii,-49.077778,-26.925556
Pinus elliottii,-49.077778,-26.925556
Pinus elliottii,-49.079167,-26.905556
Pinus elliottii,-49.079167,-26.905556
Pinus elliottii,-49.079167,-26.905556
Pinus elliottii,-49.079167,-26.905556
Pinus elliottii,-49.079167,-26.905556
Pinus elliottii,-49.079167,-26.905556
Pinus elliottii,-50.4853,-29.4756
Pinus elliottii,-38.365833,-12.5775
Pinus elliottii,-38.365833,-12.5775
Pinus elliottii,-38.365833,-12.5775
Pinus elliottii,-54.8689,-29.1833
Pinus elliottii,-38.483333,-12.5
Pinus elliottii,-38.483333,-12.5
Pinus elliottii,-49.071944,-26.921389
Pinus elliottii,-49.071944,-26.921389
Pinus elliottii,-51.118389,-30.046583
Pinus elliottii,-49.007222,-28.467222
Pinus elliottii,-49.007222,-28.467222
Pinus elliottii,-51.237222,-30.019139
Pinus elliottii,-55.198889,-28.044722
Pinus elliottii,-52.027778,-27.234444
Pinus elliottii,-49.007222,-28.464444
Pinus elliottii,-49.007222,-28.464444
Pinus elliottii,-47.830222,-15.863028
Pinus elliottii,-49.2523,-25.4139
Pinus elliottii,-47.0608,-22.9056
Pinus elliottii,-48.4631767,-23.3450846
