Species,decimalLongitude,decimalLatitude
Pinus taeda,-51.163333,-29.130278
Pinus taeda,-51.105833,-29.351111
Pinus taeda,-49.2388,-25.4493
Pinus taeda,-49.75,-26.05
Pinus taeda,-49.357861,-25.449111
Pinus taeda,-49.122167,-25.380528
Pinus taeda,-49.699861,-25.776222
Pinus taeda,-49.412222,-27.178889
Pinus taeda,-49.769444,-26.549444
Pinus taeda,-50.036667,-27.091389
Pinus taeda,-52.398611,-28.227222
Pinus taeda,-50.036667,-27.091389
Pinus taeda,-49.769444,-26.549444
Pinus taeda,-49.412222,-27.178889
Pinus taeda,-50.036667,-27.091389
Pinus taeda,-49.412222,-27.178889
Pinus taeda,-50.036667,-27.091389
Pinus taeda,-50.036667,-27.091389
Pinus taeda,-49.119861,-25.380194
Pinus taeda,-49.1324,-25.3896
Pinus taeda,-49.1324,-25.3896
Pinus taeda,-49.1324,-25.3896
Pinus taeda,-49.055278,-26.925
Pinus taeda,-49.055278,-26.925
Pinus taeda,-49.2523,-25.4139
