scientific_name,decimalLongitude,decimalLatitude
Pittosporum undulatum,-52.409192,-31.385929
Pittosporum undulatum,-49.289822,-25.398878
Pittosporum undulatum,-46.639243,-23.056792
Pittosporum undulatum,-46.472018,-23.577544
Pittosporum undulatum,-49.011709,-25.382209
Pittosporum undulatum,-46.636007,-23.458856
Pittosporum undulatum,-49.261648,-25.362723
Pittosporum undulatum,-49.259327,-25.361627
Pittosporum undulatum,-46.638778,-23.456291
Pittosporum undulatum,-46.252251,-23.755392
Pittosporum undulatum,-49.302424,-25.425629
Pittosporum undulatum,-52.541378,-31.767662
Pittosporum undulatum,-52.624015,-31.594791
Pittosporum undulatum,-52.345225,-31.77928
Pittosporum undulatum,-45.590949,-22.76231
Pittosporum undulatum,-52.340067,-31.780605
Pittosporum undulatum,-52.781156,-27.089525
Pittosporum undulatum,-49.248756,-25.407055
Pittosporum undulatum,-49.011847,-25.382326
Pittosporum undulatum,-49.011495,-25.382257
Pittosporum undulatum,-51.580028,-29.031194
Pittosporum undulatum,-46.233137,-23.666591
Pittosporum undulatum,-46.304172,-23.774284
Pittosporum undulatum,-46.547875,-23.770435
Pittosporum undulatum,-46.723042,-23.59928
Pittosporum undulatum,-52.503881,-31.61268
Pittosporum undulatum,-46.759792,-23.749258
Pittosporum undulatum,-49.358735,-28.688587
Pittosporum undulatum,-43.488389,-20.098701
Pittosporum undulatum,-49.232170000000004,-25.448108
Pittosporum undulatum,-46.629819,-23.456003
Pittosporum undulatum,-49.25978,-25.36192
Pittosporum undulatum,-46.664018,-23.588696
Pittosporum undulatum,-49.265725,-25.383355
Pittosporum undulatum,-49.016259,-25.458189
Pittosporum undulatum,-49.016656,-25.457588
Pittosporum undulatum,-52.421623,-31.801336
Pittosporum undulatum,-46.624111,-23.652172
Pittosporum undulatum,-50.277914,-29.886172
Pittosporum undulatum,-46.66409,-23.588571
Pittosporum undulatum,-49.275263,-25.404745
Pittosporum undulatum,-53.714755,-29.720888
Pittosporum undulatum,-46.380873,-23.401978
Pittosporum undulatum,-49.251808,-25.37658
Pittosporum undulatum,-49.014238,-25.381369
Pittosporum undulatum,-49.233842,-25.447363
Pittosporum undulatum,-49.232108,-25.44673
Pittosporum undulatum,-49.379752,-25.478147
Pittosporum undulatum,-46.95,-23.25
Pittosporum undulatum,-49.198498,-25.766988
Pittosporum undulatum,-49.260883,-25.362947
Pittosporum undulatum,-49.260986,-25.363121
Pittosporum undulatum,-52.581377,-31.593667
Pittosporum undulatum,-52.581197,-31.593396
Pittosporum undulatum,-46.765936,-23.457474
Pittosporum undulatum,-49.369738,-25.566431
Pittosporum undulatum,-46.894496,-23.768289
Pittosporum undulatum,-52.635532,-31.645333
Pittosporum undulatum,-49.232263,-25.446725
Pittosporum undulatum,-49.252408,-25.41534
Pittosporum undulatum,-46.882077,-23.505887
Pittosporum undulatum,-50.032347,-26.573262
Pittosporum undulatum,-49.145187,-25.386732
Pittosporum undulatum,-49.267258,-25.368256
Pittosporum undulatum,-51.955014,-29.580562
Pittosporum undulatum,-49.253445,-25.503652
Pittosporum undulatum,-51.94769,-30.585121
