scientific_name,decimalLongitude,decimalLatitude
Platydoras armatulus,-63.192778,-0.476111
Platydoras armatulus,-61.54235,-0.789057
Platydoras armatulus,-57.018333,-19.577222
Platydoras armatulus,-57.018333,-19.577222
Platydoras armatulus,-57.018333,-19.577222
Platydoras armatulus,-57.018333,-19.577222
Platydoras armatulus,-57.018333,-19.577222
Platydoras armatulus,-57.018333,-19.577222
Platydoras armatulus,-57.038056,-19.576389
Platydoras armatulus,-53.014222,-22.522778
Platydoras armatulus,-53.566111,-22.830556
Platydoras armatulus,-55.106581,-17.671397
Platydoras armatulus,-57.018056,-19.576667
Platydoras armatulus,-46.756111,-6.230611
Platydoras armatulus,-50.568056,-13.053056
Platydoras armatulus,-50.568056,-13.053056
Platydoras armatulus,-49.584444,-6.138611
Platydoras armatulus,-50.805278,-4.320833
Platydoras armatulus,-50.796389,-5.480833
Platydoras armatulus,-55.005361,-16.393722
Platydoras armatulus,-57.03167,-19.68389
Platydoras armatulus,-57.03167,-19.68389
Platydoras armatulus,-55.106581,-17.671397
Platydoras armatulus,-70.77947,-4.17657
Platydoras armatulus,-70.84589,-4.25267
Platydoras armatulus,-70.27118,-4.29871
Platydoras armatulus,-61.67106,0.60105
Platydoras armatulus,-54.603333,-25.449722
Platydoras armatulus,-57.018056,-19.576667
Platydoras armatulus,-57.018056,-19.576667
Platydoras armatulus,-57.018056,-19.576667
Platydoras armatulus,-57.018056,-19.576667
Platydoras armatulus,-57.018056,-19.576667
Platydoras armatulus,-57.018056,-19.576667
Platydoras armatulus,-57.018056,-19.576667
Platydoras armatulus,-57.018056,-19.576667
Platydoras armatulus,-55.039806,-2.186083
Platydoras armatulus,-55.039806,-2.186083
Platydoras armatulus,-63.068889,-9.939167
Platydoras armatulus,-54.920556,-1.608333
Platydoras armatulus,-54.920556,-1.608333
Platydoras armatulus,-54.366389,-1.610278
Platydoras armatulus,-67.10202,-0.12025
Platydoras armatulus,-52.266111,-3.505
Platydoras armatulus,-51.837778,-3.596111
Platydoras armatulus,-52.095833,-3.271389
Platydoras armatulus,-51.837722,-3.596222
Platydoras armatulus,-51.8325,-3.598889
Platydoras armatulus,-52.345833,-3.607778
Platydoras armatulus,-51.832611,-3.598833
Platydoras armatulus,-60.669167,-6.998889
Platydoras armatulus,-51.859,-2.980972
Platydoras armatulus,-52.186111,-3.342222
Platydoras armatulus,-51.858889,-2.980833
Platydoras armatulus,-52.734417,-3.8423060000000002
Platydoras armatulus,-52.345806,-3.605583
Platydoras armatulus,-52.18225,-3.347611
Platydoras armatulus,-56.6675,-4.733611
Platydoras armatulus,-62.059167,-8.930139
Platydoras armatulus,-61.659861,-9.009528
Platydoras armatulus,-61.916033,-9.002556
Platydoras armatulus,-61.947947,-9.392722
Platydoras armatulus,-59.955278,-15.005194
Platydoras armatulus,-51.979444,-2.859444
Platydoras armatulus,-52.378589,-3.651261
Platydoras armatulus,-51.94,-2.888333
