Species,decimalLongitude,decimalLatitude
Poecilia reticulata,-43.494465,-18.416073
Poecilia reticulata,-47.87671,-21.986448
Poecilia reticulata,-38.610059,-3.935789
Poecilia reticulata,-43.049704,-22.557509
Poecilia reticulata,-47.145432,-22.938138
Poecilia reticulata,-42.94934,-22.619702
Poecilia reticulata,-43.06972,-22.651718
Poecilia reticulata,-43.08525,-22.661777
Poecilia reticulata,-43.03921,-22.62991
Poecilia reticulata,-43.0541,-22.642
Poecilia reticulata,-43.129517,-22.672238
Poecilia reticulata,-43.151488,-22.673601
Poecilia reticulata,-44.499427,-14.154431
Poecilia reticulata,-38.62201,-3.905593
Poecilia reticulata,-43.164048,-22.677975
Poecilia reticulata,-43.168059,-22.679783
Poecilia reticulata,-43.173635,-22.680804
Poecilia reticulata,-44.039325,-19.940013
Poecilia reticulata,-35.113317,-7.387546
Poecilia reticulata,-46.995459,-24.24092
Poecilia reticulata,-46.995399,-24.240915
Poecilia reticulata,-38.484968,-3.749647
Poecilia reticulata,-48.777781,-26.330825
Poecilia reticulata,-48.779389,-26.328864
Poecilia reticulata,-48.782558,-26.327109
Poecilia reticulata,-40.993528,-20.776972
Poecilia reticulata,-51.202717,-23.315182
Poecilia reticulata,-34.913313,-7.854739
Poecilia reticulata,-47.867943,-15.800529
Poecilia reticulata,-48.777781,-26.330825
Poecilia reticulata,-48.779389,-26.328864
Poecilia reticulata,-48.782558,-26.327109
Poecilia reticulata,-40.544167,-20.092111
Poecilia reticulata,-40.550639,-20.090694
Poecilia reticulata,-40.350424,-20.456816
Poecilia reticulata,-49.968488,-25.171732
Poecilia reticulata,-45.427594,-22.444228
Poecilia reticulata,-49.423406,-24.610258
Poecilia reticulata,-49.420478,-24.610981
Poecilia reticulata,-41.769434,-2.927113
Poecilia reticulata,-48.777781,-26.330825
Poecilia reticulata,-48.779389,-26.328864
Poecilia reticulata,-50.42555,-21.700213
Poecilia reticulata,-46.463287,-23.569206
Poecilia reticulata,-48.135889,-15.777295
Poecilia reticulata,-48.135891,-15.777301
Poecilia reticulata,-48.135898,-15.777291
Poecilia reticulata,-48.135355,-15.776437
Poecilia reticulata,-48.777781,-26.330825
Poecilia reticulata,-48.779389,-26.328864
Poecilia reticulata,-41.091667,-20.737778
Poecilia reticulata,-41.093889,-20.754722
Poecilia reticulata,-41.109167,-20.765556
Poecilia reticulata,-41.118333,-20.786944
Poecilia reticulata,-41.014167,-20.766389
Poecilia reticulata,-41.015556,-20.745
Poecilia reticulata,-40.767778,-19.699167
Poecilia reticulata,-36.361343,-7.426767
Poecilia reticulata,-48.777781,-26.330825
Poecilia reticulata,-48.779389,-26.328864
Poecilia reticulata,-40.336377,-20.364465
Poecilia reticulata,-40.336377,-20.364465
Poecilia reticulata,-40.336377,-20.364465
Poecilia reticulata,-40.337321,-20.364455
Poecilia reticulata,-40.336377,-20.364465
Poecilia reticulata,-40.336377,-20.364465
Poecilia reticulata,-40.336377,-20.364465
Poecilia reticulata,-40.337299,-20.364203
Poecilia reticulata,-54.961371,-2.514158
Poecilia reticulata,-41.017556,-20.870361
Poecilia reticulata,-43.225038,-22.968299
Poecilia reticulata,-43.504667,-23.017958
Poecilia reticulata,-41.472778,-20.466944
Poecilia reticulata,-41.513944,-20.365472
Poecilia reticulata,-41.517417,-20.522222
Poecilia reticulata,-41.485278,-20.490278
Poecilia reticulata,-47.935296,-19.763237
Poecilia reticulata,-41.017556,-20.870361
Poecilia reticulata,-46.993212,-24.243225
Poecilia reticulata,-41.513833,-20.404389
Poecilia reticulata,-41.513389,-20.38725
Poecilia reticulata,-41.513389,-20.38725
Poecilia reticulata,-45.399105,-23.868599
Poecilia reticulata,-44.639153,-23.244258
Poecilia reticulata,-46.994324,-24.241809
Poecilia reticulata,-51.458072,-23.370486
Poecilia reticulata,-51.458072,-23.370486
Poecilia reticulata,-51.458072,-23.370486
Poecilia reticulata,-51.458072,-23.370486
Poecilia reticulata,-51.458658,-23.365436
Poecilia reticulata,-51.458658,-23.365436
Poecilia reticulata,-51.458658,-23.365436
Poecilia reticulata,-51.458658,-23.365436
Poecilia reticulata,-51.452575,-23.347042
Poecilia reticulata,-51.452575,-23.347042
Poecilia reticulata,-51.452575,-23.347042
Poecilia reticulata,-51.452575,-23.347042
Poecilia reticulata,-51.434903,-23.330067
Poecilia reticulata,-51.434903,-23.330067
Poecilia reticulata,-51.434903,-23.330067
Poecilia reticulata,-51.434903,-23.330067
Poecilia reticulata,-51.429222,-23.325761
Poecilia reticulata,-51.429222,-23.325761
Poecilia reticulata,-51.429222,-23.325761
Poecilia reticulata,-51.429222,-23.325761
Poecilia reticulata,-51.424383,-23.486136
Poecilia reticulata,-51.424383,-23.486136
Poecilia reticulata,-51.424383,-23.486136
Poecilia reticulata,-51.424383,-23.486136
Poecilia reticulata,-43.929722,-20.058056
Poecilia reticulata,-53.948233,-25.125892
Poecilia reticulata,-51.458072,-23.370486
Poecilia reticulata,-51.458072,-23.370486
Poecilia reticulata,-51.458072,-23.370486
Poecilia reticulata,-51.420378,-23.313589
Poecilia reticulata,-51.420378,-23.313589
Poecilia reticulata,-51.420378,-23.313589
Poecilia reticulata,-51.429222,-23.325761
Poecilia reticulata,-51.429222,-23.325761
Poecilia reticulata,-51.429222,-23.325761
Poecilia reticulata,-51.434903,-23.330067
Poecilia reticulata,-51.434903,-23.330067
Poecilia reticulata,-51.434903,-23.330067
Poecilia reticulata,-51.439281,-23.336383
Poecilia reticulata,-51.439281,-23.336383
Poecilia reticulata,-51.439281,-23.336383
Poecilia reticulata,-51.444858,-23.343011
Poecilia reticulata,-51.444858,-23.343011
Poecilia reticulata,-51.444858,-23.343011
Poecilia reticulata,-51.452575,-23.347042
Poecilia reticulata,-51.452575,-23.347042
Poecilia reticulata,-51.452575,-23.347042
Poecilia reticulata,-51.458658,-23.365436
Poecilia reticulata,-51.458658,-23.365436
Poecilia reticulata,-51.458658,-23.365436
Poecilia reticulata,-51.4184,-23.3083
Poecilia reticulata,-51.4184,-23.3083
Poecilia reticulata,-51.4184,-23.3083
Poecilia reticulata,-51.424383,-23.319469
Poecilia reticulata,-51.424383,-23.319469
Poecilia reticulata,-51.424383,-23.319469
Poecilia reticulata,-52.013611,-23.459167
Poecilia reticulata,-50.172848,-21.695189
Poecilia reticulata,-43.469807,-23.00914
Poecilia reticulata,-49.027715,-21.082967
Poecilia reticulata,-49.022856,-21.089322
Poecilia reticulata,-47.470613,-23.373592
Poecilia reticulata,-38.471118,-3.831221
Poecilia reticulata,-46.739619,-23.373089
Poecilia reticulata,-48.45131,-27.463514
Poecilia reticulata,-48.49345,-21.268458
Poecilia reticulata,-49.891282,-22.253046
Poecilia reticulata,-51.17565,-23.634697
Poecilia reticulata,-52.01,-23.35
Poecilia reticulata,-51.096197,-23.651797
Poecilia reticulata,-41.7125,-20.4075
Poecilia reticulata,-41.7125,-20.4075
Poecilia reticulata,-41.7125,-20.4075
Poecilia reticulata,-41.7125,-20.4075
Poecilia reticulata,-41.728778,-20.348111
Poecilia reticulata,-41.728778,-20.348111
Poecilia reticulata,-41.707722,-20.468472
Poecilia reticulata,-41.707722,-20.468472
Poecilia reticulata,-41.707722,-20.468472
Poecilia reticulata,-51.426067,-22.316931
Poecilia reticulata,-51.446944,-23.282778
Poecilia reticulata,-51.438611,-23.272778
Poecilia reticulata,-51.438611,-23.272778
Poecilia reticulata,-51.431667,-23.277222
Poecilia reticulata,-51.431667,-23.277222
Poecilia reticulata,-51.268056,-23.275278
Poecilia reticulata,-43.705565,-22.7241
Poecilia reticulata,-51.295556,-23.896389
Poecilia reticulata,-51.290556,-23.894444
Poecilia reticulata,-51.268056,-23.275278
Poecilia reticulata,-51.438611,-23.272778
Poecilia reticulata,-47.3678593,-21.9270812
Poecilia reticulata,-47.8380146,-22.6713923
Poecilia reticulata,-41.13644,-20.200846
Poecilia reticulata,-46.792769,-23.586932
Poecilia reticulata,-40.968889,-20.751111
Poecilia reticulata,-50.775742,-23.462367
Poecilia reticulata,-50.78215,-23.486897
Poecilia reticulata,-50.751372,-23.510806
Poecilia reticulata,-50.718839,-23.545458
Poecilia reticulata,-54.92,-25.748889
Poecilia reticulata,-50.777711,-23.538206
Poecilia reticulata,-50.840511,-23.576944
Poecilia reticulata,-42.707222,-18.897778
Poecilia reticulata,-51.631611,-22.660278
Poecilia reticulata,-52.367778,-23.885833
Poecilia reticulata,-40.598889,-19.935278
Poecilia reticulata,-50.128056,-15.918889
Poecilia reticulata,-50.304167,-16.155833
Poecilia reticulata,-41.485278,-20.490278
Poecilia reticulata,-41.472778,-20.466944
Poecilia reticulata,-41.489167,-20.456667
Poecilia reticulata,-51.099994,-23.637642
Poecilia reticulata,-51.096197,-23.651797
Poecilia reticulata,-47.4555,-13.720167
Poecilia reticulata,-41.237069,-15.513061
Poecilia reticulata,-45.877222,-23.226389
Poecilia reticulata,-45.876111,-23.246667
Poecilia reticulata,-43.435692,-22.603522
Poecilia reticulata,-41.236667,-15.513056
Poecilia reticulata,-41.236667,-15.513056
Poecilia reticulata,-41.236667,-15.513056
Poecilia reticulata,-41.236667,-15.513056
Poecilia reticulata,-38.305833,-9.1525
Poecilia reticulata,-38.305833,-9.1525
Poecilia reticulata,-38.305833,-9.1525
Poecilia reticulata,-38.305833,-9.1525
Poecilia reticulata,-41.899722,-16.725833
Poecilia reticulata,-41.899722,-16.725833
Poecilia reticulata,-41.899722,-16.725833
Poecilia reticulata,-41.899722,-16.725833
Poecilia reticulata,-43.55,-17.433333
Poecilia reticulata,-43.55,-17.433333
Poecilia reticulata,-43.55,-17.433333
Poecilia reticulata,-43.55,-17.433333
Poecilia reticulata,-41.491944,-20.456667
Poecilia reticulata,-41.491944,-20.456667
Poecilia reticulata,-41.5175,-20.522222
Poecilia reticulata,-42.555883,-16.207244
Poecilia reticulata,-42.886389,-19.215833
Poecilia reticulata,-47.20079,-21.318234
Poecilia reticulata,-50.601891,-24.33739
Poecilia reticulata,-40.613056,-19.623611
Poecilia reticulata,-53.853333,-24.293333
Poecilia reticulata,-53.475,-24.984167
Poecilia reticulata,-40.968889,-20.751111
Poecilia reticulata,-40.959722,-18.876111
