scientific_name,decimalLongitude,decimalLatitude
Pogonopoma wertheimeri,-40.565278,-19.054167
Pogonopoma wertheimeri,-40.567222,-19.056944
Pogonopoma wertheimeri,-40.539722,-19.045556
Pogonopoma wertheimeri,-40.283036,-18.707733
Pogonopoma wertheimeri,-40.283036,-18.7069
Pogonopoma wertheimeri,-42.227778,-19.155556
Pogonopoma wertheimeri,-42.993611,-18.993611
Pogonopoma wertheimeri,-42.215278,-18.985
Pogonopoma wertheimeri,-42.125,-19.023
Pogonopoma wertheimeri,-42,-19
Pogonopoma wertheimeri,-42,-19
Pogonopoma wertheimeri,-42,-19
Pogonopoma wertheimeri,-40.3975,-18.008056
Pogonopoma wertheimeri,-42.227778,-19.155556
Pogonopoma wertheimeri,-42.158889,-19.080556
Pogonopoma wertheimeri,-42.176389,-19.113889
Pogonopoma wertheimeri,-42.230556,-19.155833
Pogonopoma wertheimeri,-42.225833,-18.993611
Pogonopoma wertheimeri,-40.5825,-19.050556
Pogonopoma wertheimeri,-40.329167,-18.108889
Pogonopoma wertheimeri,-41.534722,-17.869722
Pogonopoma wertheimeri,-47.842778,-18.604722
Pogonopoma wertheimeri,-42.225833,-18.993889
Pogonopoma wertheimeri,-42.115278000000004,-19.008056
Pogonopoma wertheimeri,-40.824167,-18.721389
Pogonopoma wertheimeri,-39.893333,-18.097778
Pogonopoma wertheimeri,-40.016667,-19.4
Pogonopoma wertheimeri,-39.833333,-18.733333
Pogonopoma wertheimeri,-41.670591,-17.681487
Pogonopoma wertheimeri,-40.249514,-18.385542
Pogonopoma wertheimeri,-40.24139,-18.309999
Pogonopoma wertheimeri,-39.550833,-18.086667
Pogonopoma wertheimeri,-40.37,-17.85
Pogonopoma wertheimeri,-40.92,-17.68
Pogonopoma wertheimeri,-40.92,-17.68
Pogonopoma wertheimeri,-40.92,-17.68
Pogonopoma wertheimeri,-40.93,-17.69
Pogonopoma wertheimeri,-40.22,-17.9
Pogonopoma wertheimeri,-40.22,-17.9
Pogonopoma wertheimeri,-40.216667,-17.9
Pogonopoma wertheimeri,-42.7,-18.116667
Pogonopoma wertheimeri,-40.883335,-17.683332
Pogonopoma wertheimeri,-40.23,-17.91
Pogonopoma wertheimeri,-40.7111,-17.7311
Pogonopoma wertheimeri,-40.7111,-17.7311
Pogonopoma wertheimeri,-40.7111,-17.7311
Pogonopoma wertheimeri,-40.7111,-17.7311
Pogonopoma wertheimeri,-40.7111,-17.7311
