scientific_name,decimalLongitude,decimalLatitude
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-45.396667,-23.6275
Polydora cornuta,-43.064617,-22.766783
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.405833,-23.623056
Polydora cornuta,-45.396667,-23.6275
