scientific_name,decimalLongitude,decimalLatitude
Pontoscolex corethrurus,-42.114543,-19.96198
Pontoscolex corethrurus,-41.636078,-21.809012
Pontoscolex corethrurus,-35.223515,-5.930694
Pontoscolex corethrurus,-38.484968,-3.749647
Pontoscolex corethrurus,-38.634106,-3.985645
Pontoscolex corethrurus,-60.74,-2.96
Pontoscolex corethrurus,-60.74,-2.96
Pontoscolex corethrurus,-49.443574,-26.613059
Pontoscolex corethrurus,-43.417776,-22.58486
Pontoscolex corethrurus,-48.700656,-26.887792
Pontoscolex corethrurus,-39.749642,-18.737658
Pontoscolex corethrurus,-49.159145,-25.314919
Pontoscolex corethrurus,-49.157818,-25.32001
Pontoscolex corethrurus,-49.1593,-25.321276
Pontoscolex corethrurus,-49.159145,-25.314919
Pontoscolex corethrurus,-49.15957,-25.322762
Pontoscolex corethrurus,-49.157818,-25.32001
Pontoscolex corethrurus,-49.1593,-25.321276
Pontoscolex corethrurus,-47.852556,-15.671117
Pontoscolex corethrurus,-38.716667,-3.9
Pontoscolex corethrurus,-43.363333,-4.861944
Pontoscolex corethrurus,-43.425278,-4.887222
Pontoscolex corethrurus,-43.363889,-4.8625
Pontoscolex corethrurus,-43.425556,-4.891111
Pontoscolex corethrurus,-43.420278,-4.890833
Pontoscolex corethrurus,-43.425278,-4.887222
Pontoscolex corethrurus,-43.342222,-4.821667
Pontoscolex corethrurus,-43.342222,-4.820833
Pontoscolex corethrurus,-43.340833,-4.821111
Pontoscolex corethrurus,-43.343056,-4.818611
Pontoscolex corethrurus,-43.472222,-4.904167
Pontoscolex corethrurus,-43.425833,-4.891111
Pontoscolex corethrurus,-43.470833,-4.899722
Pontoscolex corethrurus,-51.21379,-23.89199
Pontoscolex corethrurus,-51.20898,-23.89658
Pontoscolex corethrurus,-51.21379,-23.89199
Pontoscolex corethrurus,-51.39393,-23.97425
Pontoscolex corethrurus,-52.147106,-29.755827
Pontoscolex corethrurus,-47.852645,-15.670666
Pontoscolex corethrurus,-51.21379,-23.89199
Pontoscolex corethrurus,-51.20898,-23.89658
Pontoscolex corethrurus,-51.21379,-23.89199
Pontoscolex corethrurus,-52.144966,-29.757671
Pontoscolex corethrurus,-44.153167,-2.853972
Pontoscolex corethrurus,-44.153167,-2.853972
Pontoscolex corethrurus,-44.153167,-2.853972
Pontoscolex corethrurus,-44.153167,-2.853972
Pontoscolex corethrurus,-44.153167,-2.853972
Pontoscolex corethrurus,-46.765706,-3.686322
Pontoscolex corethrurus,-46.765706,-3.686322
Pontoscolex corethrurus,-46.765706,-3.686322
Pontoscolex corethrurus,-46.765706,-3.686322
Pontoscolex corethrurus,-46.765706,-3.686322
Pontoscolex corethrurus,-46.906058,-4.0428
Pontoscolex corethrurus,-46.906058,-4.0428
Pontoscolex corethrurus,-46.906058,-4.0428
Pontoscolex corethrurus,-46.906058,-4.0428
Pontoscolex corethrurus,-46.906058,-4.0428
Pontoscolex corethrurus,-44.208611,-4.587222
Pontoscolex corethrurus,-44.208611,-4.587222
Pontoscolex corethrurus,-44.208611,-4.587222
Pontoscolex corethrurus,-44.208611,-4.587222
Pontoscolex corethrurus,-48.94106,-23.58784
Pontoscolex corethrurus,-49.082466,-23.564096
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.269,-3.23
Pontoscolex corethrurus,-60.269,-3.23
Pontoscolex corethrurus,-60.269,-3.23
Pontoscolex corethrurus,-60.269,-3.23
Pontoscolex corethrurus,-54.918,-2.687
Pontoscolex corethrurus,-60.269,-3.23
Pontoscolex corethrurus,-60.269,-3.23
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-60.275,-3.225
Pontoscolex corethrurus,-60.275,-3.225
Pontoscolex corethrurus,-60.275,-3.225
Pontoscolex corethrurus,-60.275,-3.225
Pontoscolex corethrurus,-60.275,-3.225
Pontoscolex corethrurus,-60.275,-3.225
Pontoscolex corethrurus,-60.275,-3.225
Pontoscolex corethrurus,-60.275,-3.225
Pontoscolex corethrurus,-60.275,-3.225
Pontoscolex corethrurus,-60.275,-3.225
Pontoscolex corethrurus,-60.229,-3.253
Pontoscolex corethrurus,-49.07,-26.92
Pontoscolex corethrurus,-49.07,-26.92
Pontoscolex corethrurus,-49.07,-26.92
Pontoscolex corethrurus,-49.07,-26.92
Pontoscolex corethrurus,-49.07,-26.92
Pontoscolex corethrurus,-49.07,-26.92
Pontoscolex corethrurus,-51.237965,-23.16645
Pontoscolex corethrurus,-51.455746,-23.31774
Pontoscolex corethrurus,-51.46045,-23.31898
Pontoscolex corethrurus,-49.15787,-25.31295
Pontoscolex corethrurus,-49.15787,-25.31295
Pontoscolex corethrurus,-49.15787,-25.31295
Pontoscolex corethrurus,-49.15787,-25.31295
Pontoscolex corethrurus,-49.15787,-25.31295
Pontoscolex corethrurus,-49.04417,-26.76017
Pontoscolex corethrurus,-44.825508,-2.118108
Pontoscolex corethrurus,-44.825508,-2.118108
Pontoscolex corethrurus,-44.846669,-2.1158
Pontoscolex corethrurus,-47.3676,-1.186219
Pontoscolex corethrurus,-47.3676,-1.186219
Pontoscolex corethrurus,-47.370589,-1.181039
Pontoscolex corethrurus,-51.15753,-29.79408
Pontoscolex corethrurus,-51.15753,-29.79408
Pontoscolex corethrurus,-51.15753,-29.79408
Pontoscolex corethrurus,-51.15753,-29.79408
Pontoscolex corethrurus,-51.15753,-29.79408
Pontoscolex corethrurus,-46.277889,-1.587758
Pontoscolex corethrurus,-50.84948,-29.68505
Pontoscolex corethrurus,-50.84948,-29.68505
Pontoscolex corethrurus,-50.84948,-29.68505
Pontoscolex corethrurus,-50.84948,-29.68505
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-39.09733,-15.25636
Pontoscolex corethrurus,-48.528169,-2.803678
Pontoscolex corethrurus,-48.796608,-2.169731
Pontoscolex corethrurus,-48.79365,-2.1782
Pontoscolex corethrurus,-48.773333,-2.298611
Pontoscolex corethrurus,-46.7709,-3.681919
Pontoscolex corethrurus,-46.762789,-3.685539
Pontoscolex corethrurus,-47.425558,-2.983078
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-48.8554,-26.21997
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.24811,-28.3805
Pontoscolex corethrurus,-49.237869,-4.844969
Pontoscolex corethrurus,-49.23445,-4.854758
Pontoscolex corethrurus,-51.454931,-1.736933
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-51.45529,-1.73769
Pontoscolex corethrurus,-48.164444,-2.394167
Pontoscolex corethrurus,-48.164444,-2.394167
Pontoscolex corethrurus,-48.164444,-2.394167
Pontoscolex corethrurus,-44.36667,-22.8
Pontoscolex corethrurus,-49.13769,-23.85036
Pontoscolex corethrurus,-49.13769,-23.85036
Pontoscolex corethrurus,-49.13769,-23.85036
Pontoscolex corethrurus,-49.13769,-23.85036
Pontoscolex corethrurus,-49.13769,-23.85036
