scientific_name,decimalLongitude,decimalLatitude
Potamotrygon motoro,-58.202796,-2.831555
Potamotrygon motoro,-57.077732,-9.210516
Potamotrygon motoro,-59.145305,-2.211787
Potamotrygon motoro,-44.868333,-3.4625
Potamotrygon motoro,-44.868333,-3.4625
Potamotrygon motoro,-44.868333,-3.4625
Potamotrygon motoro,-44.868333,-3.4625
Potamotrygon motoro,-44.868333,-3.4625
Potamotrygon motoro,-47.757664,-3.181411
Potamotrygon motoro,-47.766167,-3.276778
Potamotrygon motoro,-54.361667,-24.8275
Potamotrygon motoro,-59.928333,-3.156111
Potamotrygon motoro,-50.563889,-13.232222
Potamotrygon motoro,-50.563889,-13.232222
Potamotrygon motoro,-60.206472,-3.360542
Potamotrygon motoro,-70.77947,-4.17657
Potamotrygon motoro,-50.888611,1.229167
Potamotrygon motoro,-52.158289,-22.593475
Potamotrygon motoro,-52.158289,-22.593475
Potamotrygon motoro,-54.910583,-2.359556
Potamotrygon motoro,-54.893306,-2.430667
Potamotrygon motoro,-54.893306,-2.430667
Potamotrygon motoro,-54.076583,-2.237667
Potamotrygon motoro,-55.076389,-2.2375
Potamotrygon motoro,-55.076667,-2.237778
Potamotrygon motoro,-59.915413,-3.163636
Potamotrygon motoro,-45.253417,-5.502917
Potamotrygon motoro,-45.253417,-5.502917
Potamotrygon motoro,-59.073056,-3.430556
Potamotrygon motoro,-57.018056,-19.576667
Potamotrygon motoro,-57.018056,-19.576667
Potamotrygon motoro,-55.039806,-2.186083
Potamotrygon motoro,-64.591667,-12.208611
Potamotrygon motoro,-52.215889,-1.775083
Potamotrygon motoro,-52.220278,-1.790278
Potamotrygon motoro,-52.215833,-1.775
Potamotrygon motoro,-52.215833,-1.775
Potamotrygon motoro,-54.925278,-3.5075
Potamotrygon motoro,-51.963233,-2.52545
Potamotrygon motoro,-51.963333,-2.525556
Potamotrygon motoro,-61.650833,1.390833
Potamotrygon motoro,-64.911667,-0.588889
Potamotrygon motoro,-48.96,-1
Potamotrygon motoro,-48.96,-1
Potamotrygon motoro,-66.952111,-2.923556
Potamotrygon motoro,-66.929972,-2.849472
Potamotrygon motoro,-66.929972,-2.849472
Potamotrygon motoro,-66.93,-2.85
Potamotrygon motoro,-66.93,-2.85
Potamotrygon motoro,-66.93,-2.85
Potamotrygon motoro,-66.93,-2.85
Potamotrygon motoro,-66.93,-2.85
Potamotrygon motoro,-65.443611,-9.691944
Potamotrygon motoro,-62.937416,-0.9584
Potamotrygon motoro,-62.937416,-0.9584
Potamotrygon motoro,-62.937416,-0.9584
Potamotrygon motoro,-62.937416,-0.9584
Potamotrygon motoro,-62.937416,-0.9584
Potamotrygon motoro,-62.937416,-0.9584
Potamotrygon motoro,-62.937416,-0.9584
Potamotrygon motoro,-63.0168,-0.6635
Potamotrygon motoro,-62.9272,-0.7336
Potamotrygon motoro,-62.93,-0.73
Potamotrygon motoro,-63.02,-0.66
Potamotrygon motoro,-63.02,-0.66
Potamotrygon motoro,-62.93,-0.73
Potamotrygon motoro,-63.02,-0.66
Potamotrygon motoro,-62.93,-0.73
Potamotrygon motoro,-63.02,-0.66
Potamotrygon motoro,-63.02,-0.66
Potamotrygon motoro,-63.02,-0.66
Potamotrygon motoro,-62.93,-0.73
Potamotrygon motoro,-63.02,-0.66
Potamotrygon motoro,-55.98792,-9.24655
Potamotrygon motoro,-51.706389,-7.181389
Potamotrygon motoro,-62.101667,-1.029444
Potamotrygon motoro,-62.186667,-6.186111
Potamotrygon motoro,-58.173889,-2.175278
Potamotrygon motoro,-58.173889,-2.175278
Potamotrygon motoro,-58.173889,-2.175278
Potamotrygon motoro,-50.719444,-13.403056
Potamotrygon motoro,-68.028333,0.2125
Potamotrygon motoro,-68.178333,0.091667
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.49527,-20.249607
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.49527,-20.249607
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-56.4953,-20.2171
Potamotrygon motoro,-54.583622,-25.591881
Potamotrygon motoro,-54.583622,-25.591881
Potamotrygon motoro,-51.829029,-21.443678
Potamotrygon motoro,-69.273889,-3.689167
Potamotrygon motoro,-60.226044,-3.367683
Potamotrygon motoro,-60.226044,-3.367683
Potamotrygon motoro,-60.226044,-3.367683
Potamotrygon motoro,-60.226044,-3.367683
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-54.54,-25.42
Potamotrygon motoro,-52.191667,-15.020278
Potamotrygon motoro,-61.8517,-1.383411
Potamotrygon motoro,-61.8517,-1.383411
Potamotrygon motoro,-61.8517,-1.383411
