scientific_name,decimalLongitude,decimalLatitude
Prochilodus costatus,-40.198889,-17.896389
Prochilodus costatus,-40.9175,-19.501111
Prochilodus costatus,-40.608889,-19.464167
Prochilodus costatus,-43.789722,-20.730556
Prochilodus costatus,-43.438333,-13.487222
Prochilodus costatus,-44.286833,-17.320472
Prochilodus costatus,-44.286833,-17.320472
Prochilodus costatus,-44.611667,-13.1925
Prochilodus costatus,-42.9125,-14.114167
Prochilodus costatus,-43.986836,-20.5071
Prochilodus costatus,-44.636667,-15.671667
Prochilodus costatus,-44.636667,-15.671667
Prochilodus costatus,-44.18,-17.9925
Prochilodus costatus,-46.105833,-15.916944
Prochilodus costatus,-46.105833,-15.916944
Prochilodus costatus,-45.715556,-18.345
Prochilodus costatus,-45.1,-16.466667
Prochilodus costatus,-44.728056,-17.437222
Prochilodus costatus,-44.785556,-17.289444
Prochilodus costatus,-44.728056,-17.437222
Prochilodus costatus,-45.69,-16.15
Prochilodus costatus,-44.64,-15.67
Prochilodus costatus,-39.666477,-10.98455
Prochilodus costatus,-44.17,-17.98
Prochilodus costatus,-44.17,-17.98
Prochilodus costatus,-45.69,-16.15
Prochilodus costatus,-45.6525,-20.2
Prochilodus costatus,-46.968887,-17.944166
Prochilodus costatus,-47.084167,-17.921944
Prochilodus costatus,-44.591667,-18.358611
Prochilodus costatus,-44.270833,-18.095278
Prochilodus costatus,-43.122222,-11.084444
Prochilodus costatus,-43.988333,-18.684444
Prochilodus costatus,-47.233056,-16.209722
Prochilodus costatus,-45.253132,-18.198451
Prochilodus costatus,-45.233333,-18.196389
Prochilodus costatus,-43.700218,-16.641627
Prochilodus costatus,-44.528333,-14.239444
Prochilodus costatus,-44.370802,-15.55218
Prochilodus costatus,-43.357777,-13.520278
Prochilodus costatus,-44.528332,-14.239445
Prochilodus costatus,-43.4475,-13.256111
Prochilodus costatus,-44.766667,-20.233333
Prochilodus costatus,-46.833333,-20.5
Prochilodus costatus,-50.133333,-19.966667
Prochilodus costatus,-44.95,-17.433333
Prochilodus costatus,-45.25,-18.216667
Prochilodus costatus,-45.533333,-20.033333
Prochilodus costatus,-45.283333,-18.5
Prochilodus costatus,-43.183333,-11.25
Prochilodus costatus,-45.283333,-18.5
Prochilodus costatus,-45.283333,-18.5
Prochilodus costatus,-45.283333,-18.5
Prochilodus costatus,-44.958674,-17.367768
Prochilodus costatus,-44.954963,-17.336154
Prochilodus costatus,-40.515149,-9.406149
Prochilodus costatus,-44.966667,-17.333333
Prochilodus costatus,-47.663566,-22.725502
Prochilodus costatus,-49.950601,-21.22858
Prochilodus costatus,-44.954791,-17.336154
Prochilodus costatus,-44.03,-19.28
Prochilodus costatus,-44.03,-19.28
Prochilodus costatus,-45.283333,-18.5
Prochilodus costatus,-45.283333,-18.5
Prochilodus costatus,-43.263611,-15.214722
Prochilodus costatus,-44.528333,-14.239444
Prochilodus costatus,-44.303611,-13.587778
Prochilodus costatus,-44.066111,-15.099722
Prochilodus costatus,-44.066111,-15.099722
Prochilodus costatus,-44.142778,-15.067222
Prochilodus costatus,-44.293611,-13.561389
Prochilodus costatus,-38.008056,-9.51
Prochilodus costatus,-44.954791,-17.336154
