Species,decimalLongitude,decimalLatitude
Prosopis juliflora,-40.702778,-13.402222
Prosopis juliflora,-39,-12
Prosopis juliflora,-41.76,-14.58
Prosopis juliflora,-38.453353,-6.981249
Prosopis juliflora,-38.639157,-6.853348
Prosopis juliflora,-38.597514,-6.800171
Prosopis juliflora,-40.04164,-13.5222
Prosopis juliflora,-38.550093,-6.906959
Prosopis juliflora,-38.590668,-6.9115
Prosopis juliflora,-39.06,-8.82
Prosopis juliflora,-39.599722,-9.36
Prosopis juliflora,-38.16,-9.9
Prosopis juliflora,-37.98,-10.08
Prosopis juliflora,-38.16,-10.62
Prosopis juliflora,-38.76067,-6.934086
Prosopis juliflora,-38.471908,-6.6881640000000004
Prosopis juliflora,-38.488952,-6.61976
Prosopis juliflora,-38.476718,-6.554003
Prosopis juliflora,-38.884413,-6.763082
Prosopis juliflora,-38.737957,-6.852426
Prosopis juliflora,-36.305833,-6.450556
Prosopis juliflora,-35.241111,-7.486111
Prosopis juliflora,-35.241111,-7.486111
Prosopis juliflora,-36.353516,-7.413033
Prosopis juliflora,-39.395833,-7.278333
Prosopis juliflora,-40.489863,-9.395747
Prosopis juliflora,-37.410106,-8.113081
Prosopis juliflora,-35.203611,-5.8725
Prosopis juliflora,-35.203611,-5.8725
Prosopis juliflora,-37.487114,-10.188733
Prosopis juliflora,-36.288333,-5.090278
Prosopis juliflora,-36.288333,-5.090278
Prosopis juliflora,-39.315764,-8.538121
Prosopis juliflora,-40.220278,-13.875833
Prosopis juliflora,-37.215669,-11.103358
Prosopis juliflora,-39.168333,-9.594722
Prosopis juliflora,-39.168333,-9.594722
Prosopis juliflora,-39.168333,-9.594722
Prosopis juliflora,-36.7396,-9.6701
Prosopis juliflora,-36.7396,-9.6701
Prosopis juliflora,-40.5075,-5.224167
Prosopis juliflora,-35.999999,-7.020008
Prosopis juliflora,-40.854333,-5.378583
Prosopis juliflora,-36.179996,-6.479963
Prosopis juliflora,-39.040833,-9.878333
Prosopis juliflora,-38.948611,-4.949167
Prosopis juliflora,-39.092222,-4.963333
Prosopis juliflora,-43.74,-13.679722
Prosopis juliflora,-37.270267,-9.044369
Prosopis juliflora,-43.74,-13.679722
Prosopis juliflora,-39.533333,-4.963333
Prosopis juliflora,-38.948611,-4.949167
Prosopis juliflora,-37.489467,-10.199839
Prosopis juliflora,-37.061944,-7.570278
Prosopis juliflora,-37.183333,-4.923333
Prosopis juliflora,-37.183333,-4.923333
Prosopis juliflora,-37.500022,-9.600006
Prosopis juliflora,-40.4025,-6.023333
Prosopis juliflora,-40.673333,-6.042778
Prosopis juliflora,-37.048056,-10.869444
Prosopis juliflora,-41.516389,-9.888333
Prosopis juliflora,-40.274444,-15.254444
Prosopis juliflora,-40.274444,-15.254444
Prosopis juliflora,-36.842778,-7.277222
Prosopis juliflora,-41.083333,-9.888888
Prosopis juliflora,-36.514722,-6.263056
Prosopis juliflora,-36.514722,-6.263056
Prosopis juliflora,-34.863056,-7.115
Prosopis juliflora,-40.0825,-5.236111
Prosopis juliflora,-40.140006,-5.399981
Prosopis juliflora,-40.14,-5.4
Prosopis juliflora,-40.139986,-5.759994
Prosopis juliflora,-40.14,-5.76
Prosopis juliflora,-37.556667,-5.7925
Prosopis juliflora,-37.694722,-8.686944
Prosopis juliflora,-37.556667,-5.7925
Prosopis juliflora,-37.694722,-8.503611
Prosopis juliflora,-37.556667,-5.7925
Prosopis juliflora,-37.694778,-8.503611
Prosopis juliflora,-37.694722,-8.503611
Prosopis juliflora,-35.64,-6.299722
Prosopis juliflora,-35.64,-6.299722
Prosopis juliflora,-38.938333,-8.946389
Prosopis juliflora,-38.938333,-8.296389
Prosopis juliflora,-39.015222,-8.223528
Prosopis juliflora,-39.015,-8.223333
Prosopis juliflora,-35.64,-6.299722
Prosopis juliflora,-37.375278,-8.079444
Prosopis juliflora,-38.419167,-8.327222
