scientific_name,decimalLongitude,decimalLatitude
Prosopis pallida,-37.306086,-5.863172
Prosopis pallida,-36.441233,-7.411458
Prosopis pallida,-40.424167,-9.357222
Prosopis pallida,-40.424222,-9.357166
Prosopis pallida,-38.955,-11.334722
Prosopis pallida,-35.900833,-7.454444
Prosopis pallida,-36.517778,-6.25
Prosopis pallida,-36.517778,-6.25
Prosopis pallida,-40.6175,-9.486111
Prosopis pallida,-40.6175,-9.485972
Prosopis pallida,-36.085278,-5.088611
Prosopis pallida,-36.085278,-5.088611
Prosopis pallida,-40.514444,-9.576389
Prosopis pallida,-40.514483,-9.576444
Prosopis pallida,-36.720278,-6.840278
Prosopis pallida,-36.720278,-6.840278
Prosopis pallida,-36.359722,-5.580278
Prosopis pallida,-36.359722,-5.580278
Prosopis pallida,-39.015278,-8.006944
Prosopis pallida,-39.015278,-8.223611
Prosopis pallida,-41.706111,-9.881389
Prosopis pallida,-41.706194000000004,-9.881444
Prosopis pallida,-37.485833,-8.623611
Prosopis pallida,-37.362222,-8.406944
Prosopis pallida,-37.695556,-8.419167
Prosopis pallida,-37.485777,-8.623694
Prosopis pallida,-37.362333,-8.407027
Prosopis pallida,-37.695444,-8.419083
Prosopis pallida,-39.175306,-8.044639
Prosopis pallida,-39.006056,-7.704111
Prosopis pallida,-39.052222,-8.083333
Prosopis pallida,-39.052358,-8.083288
Prosopis pallida,-37.249167,-8.581389
Prosopis pallida,-37.24913,-8.581275
Prosopis pallida,-40.9375,-8.476667
Prosopis pallida,-37.429167,-8.121389
Prosopis pallida,-40.937388,-8.476805
Prosopis pallida,-37.42925,-8.121333
Prosopis pallida,-41.503611,-9.947778
Prosopis pallida,-39.908889,-8.086667
Prosopis pallida,-39.611667,-7.733056
Prosopis pallida,-39.908888,-8.08675
Prosopis pallida,-39.611611,-7.733111
Prosopis pallida,-39.850278,-8.267778
Prosopis pallida,-39.354722,-8.278889
Prosopis pallida,-38.372778,-8.626389
Prosopis pallida,-38.588333,-7.106111
Prosopis pallida,-39.850194,-8.267638
Prosopis pallida,-39.354805,-8.278777
Prosopis pallida,-38.372666,-8.626361
Prosopis pallida,-38.588222,-7.10625
Prosopis pallida,-39.354806,-8.278778
Prosopis pallida,-39.600833,-8.561667
Prosopis pallida,-39.673305,-8.4055
Prosopis pallida,-39.600833,-8.561583
Prosopis pallida,-38.547778,-7.613333
Prosopis pallida,-37.066667,-8.0325
Prosopis pallida,-38.547861,-7.613416
Prosopis pallida,-37.066713,-8.032469
Prosopis pallida,-39.615278000000004,-7.571667
Prosopis pallida,-40.045,-8.043333
Prosopis pallida,-40.081667,-7.880833
Prosopis pallida,-40.045138,-8.043333
Prosopis pallida,-39.615388,-7.57175
Prosopis pallida,-40.081638,-7.880888
Prosopis pallida,-38.6875,-8.791667
Prosopis pallida,-38.181111,-8.669444
Prosopis pallida,-38.390556,-8.798333
Prosopis pallida,-38.374444,-8.788611
Prosopis pallida,-38.327222,-8.723333
Prosopis pallida,-38.282778,-8.699722
Prosopis pallida,-38.195556,-8.673056
Prosopis pallida,-37.333889,-8.058333
Prosopis pallida,-37.304167,-8.039167
Prosopis pallida,-37.443333,-8.123611
Prosopis pallida,-37.438889,-8.125556
Prosopis pallida,-37.403611,-8.109444
Prosopis pallida,-37.495,-8.145
Prosopis pallida,-38.687472,-8.791555
Prosopis pallida,-38.181027,-8.669333
Prosopis pallida,-38.390666,-8.798444
Prosopis pallida,-38.374361,-8.788583
Prosopis pallida,-38.327305,-8.723194
Prosopis pallida,-38.282861,-8.699777
Prosopis pallida,-38.195586,-8.673055
Prosopis pallida,-37.333777,-8.058472
Prosopis pallida,-37.304222,-8.039111
Prosopis pallida,-37.443333,-8.123641
Prosopis pallida,-37.438777,-8.125666
Prosopis pallida,-37.403583,-8.109333
Prosopis pallida,-37.495027,-8.145055
Prosopis pallida,-38.921389,-7.653889
Prosopis pallida,-38.921444,-7.653805
Prosopis pallida,-40.469444,-9.405833
Prosopis pallida,-40.500556,-9.403611
Prosopis pallida,-40.469527,-9.405897
Prosopis pallida,-40.500486,-9.403594
Prosopis pallida,-43.49,-9.220556
Prosopis pallida,-43.490027,-9.2205
Prosopis pallida,-41.917778,-9.472222
Prosopis pallida,-40.548611,-9.330833
Prosopis pallida,-40.548733,-9.330797
Prosopis pallida,-38.231111,-8.914444
Prosopis pallida,-38.231138,-8.914472
Prosopis pallida,-38.231111,-8.9025
Prosopis pallida,-40.933333,-8.482222
Prosopis pallida,-40.933333,-8.482333
Prosopis pallida,-40.591111,-9.691667
Prosopis pallida,-39.6,-13.016667
Prosopis pallida,-40.266667,-9.283333
Prosopis pallida,-38.083333,-11.933333
Prosopis pallida,-39.733333,-10.65
Prosopis pallida,-40.6,-12.65
Prosopis pallida,-40.140556,-11.116944
Prosopis pallida,-40.083333,-13.85
Prosopis pallida,-38.491734,-7.11958
Prosopis pallida,-41.912778,-9.9
Prosopis pallida,-41.912778,-9.483333
Prosopis pallida,-36.823333,-7.888889
Prosopis pallida,-38.228056,-6.759444
Prosopis pallida,-38.228056,-6.759444
Prosopis pallida,-38.971667,-7.925833
Prosopis pallida,-38.974167,-7.932778
Prosopis pallida,-38.9715845,-7.9293367
Prosopis pallida,-34.863056,-7.115
