scientific_name,decimalLongitude,decimalLatitude
Pseudoplatystoma corruscans,-56.161748,-19.581649
Pseudoplatystoma corruscans,-54.130329,-21.735882
Pseudoplatystoma corruscans,-54.141375,-17.200052
Pseudoplatystoma corruscans,-54.255278,-24.076111
Pseudoplatystoma corruscans,-52.194833,-21.850278
Pseudoplatystoma corruscans,-51.711906,-21.084075
Pseudoplatystoma corruscans,-54.896389,-27.700278
Pseudoplatystoma corruscans,-56.655556,-29.424722
Pseudoplatystoma corruscans,-56.593833,-17.329822
Pseudoplatystoma corruscans,-53.891364,-27.16169
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-43.488167,-22.853028
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-55.429167,-28.080278
Pseudoplatystoma corruscans,-43.428333,-13.448889
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-55.069722,-27.855278
Pseudoplatystoma corruscans,-47.3148,-20.1212
Pseudoplatystoma corruscans,-57.035833,-19.605833
Pseudoplatystoma corruscans,-57.017778,-19.576389
Pseudoplatystoma corruscans,-56.1478,-19.576375
Pseudoplatystoma corruscans,-53.856667,-23.338889000000002
Pseudoplatystoma corruscans,-53.646389,-23.282778
Pseudoplatystoma corruscans,-52.158889,-22.606944
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-53.88,-23.364444
Pseudoplatystoma corruscans,-53.644722,-22.894722
Pseudoplatystoma corruscans,-52.146106,-21.037217
Pseudoplatystoma corruscans,-52.120333,-21.020222
Pseudoplatystoma corruscans,-53.575,-22.85
Pseudoplatystoma corruscans,-50.36,-23.07
Pseudoplatystoma corruscans,-50.36,-23.07
Pseudoplatystoma corruscans,-50.36,-23.07
Pseudoplatystoma corruscans,-50.36,-23.07
Pseudoplatystoma corruscans,-50.36,-23.07
Pseudoplatystoma corruscans,-50.362,-23.071
Pseudoplatystoma corruscans,-50.362,-23.071
Pseudoplatystoma corruscans,-50.362,-23.071
Pseudoplatystoma corruscans,-50.362,-23.071
Pseudoplatystoma corruscans,-50.362,-23.071
Pseudoplatystoma corruscans,-53.5525,-22.825833
Pseudoplatystoma corruscans,-53.5525,-22.825833
Pseudoplatystoma corruscans,-53.541389,-22.799167
Pseudoplatystoma corruscans,-53.5525,-22.825833
Pseudoplatystoma corruscans,-53.541389,-22.799167
Pseudoplatystoma corruscans,-54.59545,-25.590467
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-54.59545,-25.590467
Pseudoplatystoma corruscans,-57.018056,-19.576667
Pseudoplatystoma corruscans,-53.231389,-22.679722
Pseudoplatystoma corruscans,-53.489444,-22.781667
Pseudoplatystoma corruscans,-53.576944,-22.81
Pseudoplatystoma corruscans,-51.689442,-21.053608
Pseudoplatystoma corruscans,-50.44775,-23.031639
Pseudoplatystoma corruscans,-51.689442,-21.053608
Pseudoplatystoma corruscans,-50.44775,-23.031639
Pseudoplatystoma corruscans,-52.481667,-21.689089
Pseudoplatystoma corruscans,-52.481667,-21.689089
Pseudoplatystoma corruscans,-53.600278,-22.856389
Pseudoplatystoma corruscans,-53.990333,-25.5881
Pseudoplatystoma corruscans,-53.990333,-25.5881
Pseudoplatystoma corruscans,-53.216667,-22.683333
Pseudoplatystoma corruscans,-54.5356,-25.4198
Pseudoplatystoma corruscans,-54.5356,-25.4198
Pseudoplatystoma corruscans,-54.54,-25.42
Pseudoplatystoma corruscans,-54.54,-25.42
Pseudoplatystoma corruscans,-44.636667,-15.671667
Pseudoplatystoma corruscans,-53.316667,-22.716667
Pseudoplatystoma corruscans,-56.172722,-16.476583
Pseudoplatystoma corruscans,-40.501111,-9.41
Pseudoplatystoma corruscans,-54.334167,-24.836944
Pseudoplatystoma corruscans,-57.040778,-19.512417
Pseudoplatystoma corruscans,-57.040778,-19.512417
Pseudoplatystoma corruscans,-53.349445,-22.79139
Pseudoplatystoma corruscans,-53.35,-22.79
Pseudoplatystoma corruscans,-53.541389,-22.799167
Pseudoplatystoma corruscans,-44.637,-15.672
Pseudoplatystoma corruscans,-44.637,-15.672
Pseudoplatystoma corruscans,-44.637,-15.672
Pseudoplatystoma corruscans,-44.637,-15.672
Pseudoplatystoma corruscans,-44.64,-15.67
Pseudoplatystoma corruscans,-44.64,-15.67
Pseudoplatystoma corruscans,-44.64,-15.67
Pseudoplatystoma corruscans,-44.64,-15.67
Pseudoplatystoma corruscans,-53.03,-25.542222
Pseudoplatystoma corruscans,-54.240556,-24.383333
Pseudoplatystoma corruscans,-53.533333,-22.8
Pseudoplatystoma corruscans,-55.9,-16.33
Pseudoplatystoma corruscans,-55.9,-16.33
Pseudoplatystoma corruscans,-53.413889,-15.581667
Pseudoplatystoma corruscans,-55.9,-16.33
Pseudoplatystoma corruscans,-57.25,-19.166667
