scientific_name,decimalLongitude,decimalLatitude
Pseudoplatystoma fasciatum,-47.756111,-7.230611
Pseudoplatystoma fasciatum,-51.058889,-4.213889
Pseudoplatystoma fasciatum,-50.513611,-6.955
Pseudoplatystoma fasciatum,-60.635333,2.844139
Pseudoplatystoma fasciatum,-61.005972,1.966083
Pseudoplatystoma fasciatum,-54.745833,-2.403861
Pseudoplatystoma fasciatum,-52.391944,-3.5625
Pseudoplatystoma fasciatum,-52.0125,-2.880833
Pseudoplatystoma fasciatum,-64.772222,-0.423889
Pseudoplatystoma fasciatum,-63.287778,-5.822778
Pseudoplatystoma fasciatum,-47.102222,-5.309167
Pseudoplatystoma fasciatum,-51.706389,-7.181389
Pseudoplatystoma fasciatum,-52.643333,-0.594167
Pseudoplatystoma fasciatum,-49.261389,-5.351389
Pseudoplatystoma fasciatum,-49.229722,-5.533611
Pseudoplatystoma fasciatum,-61.892778,-4.256944
Pseudoplatystoma fasciatum,-52.526389,-0.616667
Pseudoplatystoma fasciatum,-52.515,-0.661667
Pseudoplatystoma fasciatum,-52.648611,-0.593889
Pseudoplatystoma fasciatum,-53.094444,-13.514722
Pseudoplatystoma fasciatum,-67.805833,-5.940556
Pseudoplatystoma fasciatum,-53.25,-13.816667
Pseudoplatystoma fasciatum,-69.135278,0.163611
Pseudoplatystoma fasciatum,-64.05,-3.786944
Pseudoplatystoma fasciatum,-50.775278,-14.336389
Pseudoplatystoma fasciatum,-61.555557,-11.437778
Pseudoplatystoma fasciatum,-53.093579,-13.5181028
Pseudoplatystoma fasciatum,-53.4227645,-13.0383693
Pseudoplatystoma fasciatum,-53.076004,-13.500212
Pseudoplatystoma fasciatum,-54.341944,-2.355
Pseudoplatystoma fasciatum,-58.709444,-3.308611
Pseudoplatystoma fasciatum,-56.253611,-14.696111
Pseudoplatystoma fasciatum,-53.413889,-15.581667
Pseudoplatystoma fasciatum,-57.376667,-16.51
Pseudoplatystoma fasciatum,-69.936881,-4.231957
Pseudoplatystoma fasciatum,-53.413889,-15.581667
Pseudoplatystoma fasciatum,-49.45,-3.7
Pseudoplatystoma fasciatum,-55.619167,-14.831667
Pseudoplatystoma fasciatum,-48.752778,-14.015556
Pseudoplatystoma fasciatum,-55.6394,-20.0819
Pseudoplatystoma fasciatum,-51.85,-15.716667
Pseudoplatystoma fasciatum,-58.234167,-9.88
Pseudoplatystoma fasciatum,-58.948889,-3.281667
Pseudoplatystoma fasciatum,-58.773056,-3.308611
Pseudoplatystoma fasciatum,-58.766666,-3.3
Pseudoplatystoma fasciatum,-57.011667,-19.576944
Pseudoplatystoma fasciatum,-61.243994,1.533803
Pseudoplatystoma fasciatum,-55.983334,-4.266667
Pseudoplatystoma fasciatum,-47.05,-14.433333
Pseudoplatystoma fasciatum,-42.8,-5.083333
Pseudoplatystoma fasciatum,-61,1.933333
Pseudoplatystoma fasciatum,-57.4,-11.533333
