scientific_name,decimalLongitude,decimalLatitude
Pseudoplatystoma reticulatum,-56.709709,-17.287934
Pseudoplatystoma reticulatum,-56.595475,-17.204405
Pseudoplatystoma reticulatum,-57.47678,-1.67511
Pseudoplatystoma reticulatum,-55.285833,-20.433417
Pseudoplatystoma reticulatum,-54.54,-25.42
Pseudoplatystoma reticulatum,-54.54,-25.42
Pseudoplatystoma reticulatum,-56.153001,-19.581052
Pseudoplatystoma reticulatum,-54.216667,-24.666667
Pseudoplatystoma reticulatum,-53.033333,-25.55
Pseudoplatystoma reticulatum,-57.729721,-16.144167
Pseudoplatystoma reticulatum,-55.9,-16.33
Pseudoplatystoma reticulatum,-56.253611,-14.696111
Pseudoplatystoma reticulatum,-55.9,-16.33
Pseudoplatystoma reticulatum,-56.166667,-21.166667
Pseudoplatystoma reticulatum,-54.616665,-20.466667
Pseudoplatystoma reticulatum,-57.746177,-16.734712
Pseudoplatystoma reticulatum,-48.370278,-17.483889
Pseudoplatystoma reticulatum,-48.370278,-17.483889
Pseudoplatystoma reticulatum,-59.916668,3.133333
Pseudoplatystoma reticulatum,-57.48,-1.68
Pseudoplatystoma reticulatum,-68.53,0.142222
