scientific_name,decimalLongitude,decimalLatitude
Pseudopolydora antennata,-45.3750897,-23.6268813
Pseudopolydora antennata,-45.3750897,-23.6268813
Pseudopolydora antennata,-45.3750897,-23.6268813
Pseudopolydora antennata,-45.3750897,-23.6268813
Pseudopolydora antennata,-45.3750897,-23.6268813
Pseudopolydora antennata,-45.3750897,-23.6262803
Pseudopolydora antennata,-45.3750897,-23.6262803
Pseudopolydora antennata,-45.3750897,-23.6262803
Pseudopolydora antennata,-45.3756917,-23.6268813
Pseudopolydora antennata,-45.3850917,-23.6182813
Pseudopolydora antennata,-45.3850917,-23.6182813
Pseudopolydora antennata,-45.3750897,-23.6268813
Pseudopolydora antennata,-45.3750897,-23.6268813
Pseudopolydora antennata,-45.3750897,-23.6268813
Pseudopolydora antennata,-45.3750897,-23.6268813
Pseudopolydora antennata,-45.3756917,-23.6262803
Pseudopolydora antennata,-45.3756917,-23.6262803
Pseudopolydora antennata,-45.3809907,-23.6293823
Pseudopolydora antennata,-44.9328858,-23.3573806
Pseudopolydora antennata,-44.9328858,-23.3573806
Pseudopolydora antennata,-44.9328858,-23.3573806
Pseudopolydora antennata,-44.8661853,-23.3576828
