Species,decimalLongitude,decimalLatitude
Psidium guajava,-51.720105,-17.894876
Psidium guajava,-40.264016,-20.259325
Psidium guajava,-43.621369,-20.26872
Psidium guajava,-54.447122,-25.681981
Psidium guajava,-53.28358,-29.459485
Psidium guajava,-47.859901,-23.296973
Psidium guajava,-43.558889,-20.38
Psidium guajava,-52.666142,-18.401685
Psidium guajava,-47.879926,-15.778636
Psidium guajava,-43.640419,-22.978078
Psidium guajava,-40.355023,-20.349458
Psidium guajava,-48.257171,-18.881737
Psidium guajava,-48.926145,-26.264186
Psidium guajava,-53.180133,-27.56228
Psidium guajava,-47.881949,-21.986776
Psidium guajava,-52.753424,-25.144498
Psidium guajava,-47.861669,-15.768289
Psidium guajava,-51.052097,-30.047776
Psidium guajava,-46.812924,-23.144311
Psidium guajava,-46.679701,-23.553378
Psidium guajava,-43.161872,-22.437239
Psidium guajava,-49.429688,-24.597427
Psidium guajava,-49.085813,-26.892423
Psidium guajava,-35.102548,-8.68121
Psidium guajava,-44.572488,-14.070753
Psidium guajava,-40.304578,-20.279225
Psidium guajava,-44.004359,-19.824988
Psidium guajava,-52.165601,-30.165435
Psidium guajava,-48.843078,-26.359345
Psidium guajava,-48.048944,-15.897364
Psidium guajava,-46.667326,-23.469768
Psidium guajava,-42.846256,-22.486006
Psidium guajava,-44.011375,-19.859198
Psidium guajava,-52.462367,-31.449731
Psidium guajava,-49.345824,-25.436494
Psidium guajava,-44.004501,-19.825137
Psidium guajava,-46.658333,-23.522142
Psidium guajava,-43.973651,-19.872805
Psidium guajava,-49.024508,-5.364771
Psidium guajava,-49.021471,-27.103092
Psidium guajava,-46.658435,-23.585959
Psidium guajava,-44.00527,-19.996994
Psidium guajava,-46.729075,-23.574589
Psidium guajava,-35.260785,-7.851564
Psidium guajava,-48.630817,-26.97333
Psidium guajava,-44.525788,-22.438564
Psidium guajava,-49.283423,-25.397013
Psidium guajava,-47.861667,-15.768311
Psidium guajava,-43.61788,-22.935113
Psidium guajava,-47.861673,-15.768321
Psidium guajava,-49.278921,-26.794102
Psidium guajava,-34.94967,-8.048435
Psidium guajava,-48.495498,-22.865166
Psidium guajava,-47.716658,-23.820771
Psidium guajava,-45.070211,-23.431344
Psidium guajava,-46.69627,-23.549425
Psidium guajava,-49.287121,-25.418381
Psidium guajava,-39.066448,-14.528433
Psidium guajava,-64.771445,-7.258087
Psidium guajava,-64.760995,-7.284353
Psidium guajava,-60.643548,-3.276751
Psidium guajava,-60.614695,-3.301754
Psidium guajava,-53.647672,-25.777507
Psidium guajava,-47.834316,-15.63436
Psidium guajava,-60.551175,-3.279408
Psidium guajava,-43.63753,-22.986821
Psidium guajava,-58.433585,-3.127245
Psidium guajava,-60.621534,-3.290051
Psidium guajava,-58.435217,-3.128027
Psidium guajava,-57.708809,-3.39446
Psidium guajava,-66.934596,-4.862527
Psidium guajava,-49.467734,-26.75719
Psidium guajava,-46.40699,-23.932618
Psidium guajava,-38.988333,-12.226389
Psidium guajava,-39.165224,-12.755938
Psidium guajava,-43.226242,-21.684512
Psidium guajava,-46.944604,-23.111653
Psidium guajava,-49.291629,-25.439294
Psidium guajava,-49.696942,-25.782453
Psidium guajava,-45.453003,-22.416232
Psidium guajava,-52.526499,-27.554339
Psidium guajava,-43.488345,-23.023779
Psidium guajava,-49.100614,-5.339226
Psidium guajava,-35.111078,-7.407326
Psidium guajava,-46.563384,-23.677659
Psidium guajava,-47.8096,-15.798389
Psidium guajava,-52.550488,-26.619862
Psidium guajava,-48.162786,-8.958064
Psidium guajava,-40.784756,-18.888223
Psidium guajava,-44.821389,-2.695833
Psidium guajava,-38.478912,-3.852587
Psidium guajava,-44.583203,-5.053636
Psidium guajava,-47.612609,-22.75694
Psidium guajava,-35.111185,-7.407436
Psidium guajava,-54.606091,-25.463755
Psidium guajava,-46.749747,-23.440413
Psidium guajava,-48.92385,-26.913345
Psidium guajava,-47.859791,-15.766434
Psidium guajava,-51.210606,-30.03609
Psidium guajava,-48.565694,-25.585776
Psidium guajava,-49.229633,-26.856342
Psidium guajava,-49.22845,-25.392267
Psidium guajava,-48.911336,-27.069929
Psidium guajava,-48.954493,-26.918762
Psidium guajava,-46.635469,-23.703535
Psidium guajava,-46.483834,-23.550872
Psidium guajava,-48.916763,-26.964863
Psidium guajava,-46.684278,-23.550995
Psidium guajava,-48.92082,-27.084617
Psidium guajava,-47.923477,-15.886154
Psidium guajava,-47.066811,-23.416656
Psidium guajava,-46.654919,-23.590126
Psidium guajava,-47.861707,-15.768318
Psidium guajava,-46.158333,-5.822778
Psidium guajava,-46.158333,-5.822778
Psidium guajava,-47.073964,-22.80859
Psidium guajava,-46.609173,-23.580812
Psidium guajava,-46.694031,-23.772805
Psidium guajava,-46.443975,-23.629598
Psidium guajava,-51.853889,-23.868611
Psidium guajava,-40.970278,-21.171667
Psidium guajava,-37.104167,-7.775278
Psidium guajava,-37.104167,-7.775278
Psidium guajava,-51.854028,-23.868611
Psidium guajava,-40.970278,-21.171667
Psidium guajava,-49.285366,-25.482845
Psidium guajava,-46.160102,-23.607601
Psidium guajava,-46.159831,-23.607697
Psidium guajava,-40.943542,-9.200328
Psidium guajava,-42.015347,-22.045404
Psidium guajava,-60.711655,2.8462
Psidium guajava,-47.137424,-22.951277
Psidium guajava,-49.662317,-27.215917
Psidium guajava,-57.069032,-29.777113
Psidium guajava,-38.396026,-12.953873
Psidium guajava,-49.288719,-25.390566
Psidium guajava,-43.941475,-19.970046
Psidium guajava,-48.12737,-21.760268
Psidium guajava,-48.12746,-21.760215
Psidium guajava,-38.149167,-12.075278
Psidium guajava,-38.971667,-12.238333
Psidium guajava,-52.33904,-31.781088
Psidium guajava,-46.633664,-23.62946
Psidium guajava,-51.05797,-30.094318
Psidium guajava,-52.988025,-18.298188
Psidium guajava,-43.237305,-22.841645
Psidium guajava,-46.349461,-23.96554
Psidium guajava,-38.453353,-6.981249
Psidium guajava,-37.123275,-10.937819
Psidium guajava,-47.869852,-15.749903
Psidium guajava,-43.16145,-22.437036
Psidium guajava,-48.644862,-26.966872
Psidium guajava,-49.745583,-27.203958
Psidium guajava,-48.916034,-27.131909
Psidium guajava,-59.98752,-3.097194
Psidium guajava,-49.611783,-27.266062
Psidium guajava,-48.916528,-27.106508
Psidium guajava,-48.916823,-27.107035
Psidium guajava,-48.916595,-27.106543
Psidium guajava,-48.923482,-27.124044
Psidium guajava,-43.16312,-22.439888
Psidium guajava,-53.647442,-25.77752
Psidium guajava,-46.513701,-23.743972
Psidium guajava,-38.983889,-12.237222
Psidium guajava,-44.358979,-22.730849
Psidium guajava,-44.359088,-22.730845
Psidium guajava,-47.858119,-21.162756
Psidium guajava,-47.939244,-15.849422
Psidium guajava,-47.074111,-22.939637
Psidium guajava,-54.857575,-18.919599
Psidium guajava,-49.585725,-28.853613
Psidium guajava,-54.571802,-25.454519
Psidium guajava,-46.663247,-20.146305
Psidium guajava,-53.667894,-29.718555
Psidium guajava,-48.928064,-16.322619
Psidium guajava,-54.572243,-25.454019
Psidium guajava,-49.465676,-28.532667
Psidium guajava,-46.8978,-23.173485
Psidium guajava,-38.985234,-12.259914
Psidium guajava,-44.753897,-23.223423
Psidium guajava,-47.053764,-22.745787
Psidium guajava,-43.935495,-19.932121
Psidium guajava,-54.618676,-20.501578
Psidium guajava,-43.415202,-22.592526
Psidium guajava,-49.55001,-28.64372
Psidium guajava,-46.401336,-23.933336
Psidium guajava,-48.865833,-27.023844
Psidium guajava,-43.926761,-19.931289
Psidium guajava,-43.946513,-19.859113
Psidium guajava,-48.86642,-27.022267
Psidium guajava,-40.303997,-20.18803
Psidium guajava,-36.756667,-10.287222
Psidium guajava,-40.702778,-13.402222
Psidium guajava,-47.874444,-15.751389
Psidium guajava,-35.260807,-7.851356
Psidium guajava,-44.358825,-22.730225
Psidium guajava,-44.358825,-22.730225
Psidium guajava,-52.503591,-18.847226
Psidium guajava,-44.816391,-22.344106
Psidium guajava,-44.171218,-19.68999
Psidium guajava,-47.4562,-23.557175
Psidium guajava,-45.246408,-22.855364
Psidium guajava,-41.02713,-20.394232
Psidium guajava,-46.59082,-23.574697
Psidium guajava,-38.400126,-12.947636
Psidium guajava,-44.083271,-20.134529
Psidium guajava,-44.047893,-22.656203
Psidium guajava,-48.957383,-15.85147
Psidium guajava,-50.131217,-25.053854
Psidium guajava,-48.557389,-20.529088
Psidium guajava,-46.609556,-23.580903
Psidium guajava,-43.641792,-22.978175
Psidium guajava,-47.85,-21.166667
Psidium guajava,-47.901573,-15.741728
Psidium guajava,-46.348961,-23.963989
Psidium guajava,-54.442662,-25.683037
Psidium guajava,-49.303333,-28.853333
Psidium guajava,-49.303333,-28.853333
Psidium guajava,-39.315528,-7.243694
Psidium guajava,-44.136479,-19.856708
Psidium guajava,-42.746587,-5.189937
Psidium guajava,-42.84589,-22.486069
Psidium guajava,-51.066198,-30.082353
Psidium guajava,-34.912281,-8.065885
Psidium guajava,-43.511337,-22.744663
Psidium guajava,-42.824193,-22.92302
Psidium guajava,-56.052093,-15.589963
Psidium guajava,-43.367521000000004,-22.807839
Psidium guajava,-40.324898,-20.323602
Psidium guajava,-48.76742,-15.847704
Psidium guajava,-47.399751,-24.187785
Psidium guajava,-46.567415,-23.405021
Psidium guajava,-46.659234,-23.586842
Psidium guajava,-53.034722,-24.079444
Psidium guajava,-53.034722,-24.079583
Psidium guajava,-48.490555,-27.694167
Psidium guajava,-49.186688,-25.442383
Psidium guajava,-46.694263,-23.199255
Psidium guajava,-47.878707,-21.982208
Psidium guajava,-48.414876,-24.265808
Psidium guajava,-48.633172,-28.029253
Psidium guajava,-46.785953,-24.168833
Psidium guajava,-45.758747,-22.68598
Psidium guajava,13,-13.008333
Psidium guajava,-53.043333,-24.086389
Psidium guajava,-36.84,-6.12
Psidium guajava,-53.043472,-24.086528
Psidium guajava,-42.890833,-22.954722
Psidium guajava,-54.281487,-15.554114
Psidium guajava,-47.802708,-15.736758
Psidium guajava,-43.472076,-23.017576
Psidium guajava,-49.322796,-25.449862
Psidium guajava,-46.109728,-15.924422
Psidium guajava,-47.861693,-15.768304
Psidium guajava,-50.771408,-29.51748
Psidium guajava,-49.283544,-25.396986
Psidium guajava,-52.266251,-31.764716
Psidium guajava,-49.283413,-25.397019
Psidium guajava,-49.231772,-25.447913
Psidium guajava,-49.278732,-26.794365
Psidium guajava,-46.636188,-23.458568
Psidium guajava,-49.283549,-25.396494
Psidium guajava,-48.63699,-26.855356
Psidium guajava,-40.658208,-20.36257
Psidium guajava,-49.210832,-26.763857
Psidium guajava,-43.553251,-19.290495
Psidium guajava,-47.37,-21.93
Psidium guajava,-43.131961,-22.420379
Psidium guajava,-47.838703,-21.119214
Psidium guajava,-47.879382,-15.771802
Psidium guajava,-43.799984,-21.544793
Psidium guajava,-49.101763,-25.355137
Psidium guajava,-49.339465,-25.572353
Psidium guajava,-43.217747,-22.975357
Psidium guajava,-42.342449,-22.871674
Psidium guajava,-47.801428,-15.814938
Psidium guajava,-48.768045,-15.8476
Psidium guajava,-53.528252,-25.773082
Psidium guajava,-47.861671,-15.768323
Psidium guajava,-41.893611,-22.372222
Psidium guajava,-41.539167,-21.778611
Psidium guajava,-38.476837,-6.816111
Psidium guajava,-44.067908,-19.948905
Psidium guajava,-41.655035,-21.136878
Psidium guajava,-47.977367,-15.876487
Psidium guajava,-46.528424,-23.674239
Psidium guajava,-56.37895,-16.513372
Psidium guajava,-35.153499,-7.037029
Psidium guajava,-36.642667,-9.956714
Psidium guajava,-51.138953,-30.0156
Psidium guajava,-51.674453,-23.23749
Psidium guajava,-47.837324,-23.590185
Psidium guajava,-48.258385,-1.09181
Psidium guajava,-43.541382,-22.884275
Psidium guajava,-47.861671,-15.768303
Psidium guajava,-46.543949,-23.672347
Psidium guajava,-42.858056,-6.2575
Psidium guajava,-40.469441,-9.457516
Psidium guajava,-43.217278,-22.513097
Psidium guajava,-40.072222,-19.468056
Psidium guajava,-47.867801,-15.752932
Psidium guajava,-47.86167,-15.768314
Psidium guajava,-47.861687,-15.768306
Psidium guajava,-52.364167,-24.049167
Psidium guajava,-52.36425,-24.049167
Psidium guajava,-44.452587,-22.46517
Psidium guajava,-51.138649,-30.071888
Psidium guajava,-42.887436,-20.720093
Psidium guajava,-46.889744,-23.168533
Psidium guajava,-47.978058,-15.909571
Psidium guajava,-52.56005,-27.231608
Psidium guajava,-47.939366,-22.850515
Psidium guajava,-46.838697,-23.595121
Psidium guajava,-43.797484,-20.082501
Psidium guajava,-48.517222,-27.5975
Psidium guajava,-44.757405,-21.035862
Psidium guajava,-43.222528,-22.978915
Psidium guajava,-43.222199,-22.97877
Psidium guajava,-46.921958,-22.433589
Psidium guajava,-46.529773,-23.656757
Psidium guajava,-53.682701,-29.229352
Psidium guajava,-51.917632,-23.410416
Psidium guajava,-47.856576,-15.672542
Psidium guajava,-53.484572,-25.727398
Psidium guajava,-60.693789,2.833336
Psidium guajava,-49.250758,-25.378588
Psidium guajava,-49.251667,-25.375195
Psidium guajava,-48.884624,-27.067444
Psidium guajava,-48.640509,-26.881967
Psidium guajava,-49.222637,-26.90097
Psidium guajava,-49.022585,-27.169668
Psidium guajava,-49.022564,-27.169624
Psidium guajava,-49.190254,-25.562089
Psidium guajava,-49.212016,-26.761918
Psidium guajava,-49.23177,-25.447838
Psidium guajava,-49.013989,-25.385512
Psidium guajava,-45.452819,-22.967788
Psidium guajava,-43.049631,-22.557387
Psidium guajava,-45.022393,-21.791388
Psidium guajava,-47.08775,-22.81845
Psidium guajava,-38.43145,-12.904003
Psidium guajava,-48.97757,-25.387475
Psidium guajava,-48.9776,-25.387475
Psidium guajava,-48.977642,-25.387463
Psidium guajava,-47.087792,-22.818218
Psidium guajava,-53.655321,-29.733185
Psidium guajava,-47.861646,-15.768321
Psidium guajava,-40.34033,-20.369887
Psidium guajava,-42.356389,-22.865278
Psidium guajava,-40.302395,-20.279222
Psidium guajava,-40.302512,-20.279165
Psidium guajava,-48.051017,-23.600361
Psidium guajava,-50.929284,-30.119013
Psidium guajava,-50.929253,-30.119116000000002
Psidium guajava,-46.613471,-23.482131
Psidium guajava,-48.585329,-22.720487
Psidium guajava,-46.599557,-23.65814
Psidium guajava,-51.221597,-30.059122
Psidium guajava,-48.271275,-18.935459
Psidium guajava,-42.107862,-21.622844
Psidium guajava,-43.660091,-18.448296
Psidium guajava,-46.03811,-23.598081
Psidium guajava,-43.078489,-22.852923
Psidium guajava,-46.507115,-23.456319
