scientific_name,decimalLongitude,decimalLatitude
Pteris vittata,-47.885053,-22.01679
Pteris vittata,-48.131088,-21.771734
Pteris vittata,-46.728198,-23.568823
Pteris vittata,-46.639887,-23.617166
Pteris vittata,-46.645172,-23.583717
Pteris vittata,-49.279652,-25.298501
Pteris vittata,-43.238055,-22.915833
Pteris vittata,-40.725073,-20.841002
Pteris vittata,-42.881172,-20.755188
Pteris vittata,-48.604245,-27.003461
Pteris vittata,-43.161894,-22.438792
Pteris vittata,-47.549111,-22.395667
Pteris vittata,-47.549472,-22.395917
Pteris vittata,-47.5485,-22.396333
Pteris vittata,-47.5485,-22.396333
Pteris vittata,-47.5485,-22.396333
Pteris vittata,-47.5485,-22.396333
Pteris vittata,-43.2146,-22.961588
Pteris vittata,-54.570889,-25.550004
Pteris vittata,-49.017002,-25.384085
Pteris vittata,-48.50429,-27.510548
Pteris vittata,-47.54425,-22.394806
Pteris vittata,-47.54425,-22.394806
Pteris vittata,-47.54425,-22.394806
Pteris vittata,-47.544028,-22.393917
Pteris vittata,-47.544028,-22.393917
Pteris vittata,-48.661645,-26.90825
Pteris vittata,-34.907841,-7.18267
Pteris vittata,-48.920982,-27.097132
Pteris vittata,-48.632647,-26.971567
Pteris vittata,-49.073651,-26.906586
Pteris vittata,-46.648392,-23.584047
Pteris vittata,-46.513701,-23.743972
Pteris vittata,-42.638916,-21.530739
Pteris vittata,-47.867263,-15.752601
Pteris vittata,-49.106509,-27.223779
Pteris vittata,-51.552705,-28.934163
Pteris vittata,-40.07136,-19.324626
Pteris vittata,-43.297527,-20.684294
Pteris vittata,-36.488382,-8.891968
Pteris vittata,-49.269698,-25.431307
Pteris vittata,-47.868011,-15.753048
Pteris vittata,-36.483272,-8.889421
Pteris vittata,-43.011989,-16.861497
Pteris vittata,-50.042778,-29.201667
Pteris vittata,-50.042778,-29.201667
Pteris vittata,-50.042717,-29.201769
Pteris vittata,-43.255796,-22.968174
Pteris vittata,-47.810278,-15.873333
Pteris vittata,-47.810278,-15.873333
Pteris vittata,-47.801864,-15.798068
Pteris vittata,-51.478318,-25.379887
Pteris vittata,-43.224167,-22.9675
Pteris vittata,-40.113131,-19.187785
Pteris vittata,-47.810518,-15.797377
Pteris vittata,-46.591039,-23.572241000000002
Pteris vittata,-36.031266,-9.153845
Pteris vittata,-47.867231,-15.752585
Pteris vittata,-50.139484,-15.931149
Pteris vittata,-42.876,-20.357
Pteris vittata,-49.231862,-25.447162
Pteris vittata,-49.016508,-25.384277
Pteris vittata,-47.878598,-15.779526
Pteris vittata,-47.867234,-15.752584
Pteris vittata,-46.640244,-23.584703
Pteris vittata,-46.707205,-23.532558
Pteris vittata,-43.275128,-22.960347
Pteris vittata,-48.567222,-24.293056
Pteris vittata,-48.567306,-24.293278
Pteris vittata,-48.567306,-24.293278
Pteris vittata,-46.236862,-19.197995
Pteris vittata,-47.078842,-24.38048
Pteris vittata,-54.570812,-25.549878
Pteris vittata,-49.280152,-25.323757
Pteris vittata,-42.54525,-19.506249
Pteris vittata,-54.14861,-17.209303
Pteris vittata,-51.2175,-21.577222
Pteris vittata,-44.665,-2.554167
Pteris vittata,-51.2175,-21.577222
Pteris vittata,-49.283967,-25.397796
Pteris vittata,-38.101772,-7.836658
Pteris vittata,-54.580461,-25.551619
Pteris vittata,-47.857112,-15.676587
Pteris vittata,-47.867269,-15.75255
Pteris vittata,-43.671913,-19.89872
Pteris vittata,-40.84168,-21.044201
Pteris vittata,-47.867223,-15.752601
Pteris vittata,-44.609194,-22.445222
Pteris vittata,-43.422273,-22.426028
Pteris vittata,-42.851576,-22.730107
Pteris vittata,-51.068333,-26.313333
Pteris vittata,-50.266111,-29.887222
Pteris vittata,-51.068333,-26.313333
Pteris vittata,-47.988643,-15.844204
Pteris vittata,-49.23734,-25.44686
Pteris vittata,-49.23158,-25.447312
Pteris vittata,-47.887456,-15.742975
Pteris vittata,-49.339184,-25.45065
Pteris vittata,-46.648069,-23.587319
Pteris vittata,-47.385574,-22.355999
Pteris vittata,-53.834026,-29.085054
Pteris vittata,-36.482281,-8.885134
Pteris vittata,-49.11572,-25.451389
Pteris vittata,-46.94384,-22.384055
Pteris vittata,-43.259249,-22.94687
Pteris vittata,-47.867235,-15.752579
Pteris vittata,-49.25317,-16.696544
Pteris vittata,-43.922731,-19.952961
Pteris vittata,-49.274444,-25.296944
Pteris vittata,-49.274444,-25.296944
Pteris vittata,-43.917797,-19.944777
Pteris vittata,-47.04683,-21.076872
Pteris vittata,-46.652028,-23.612339
Pteris vittata,-34.949722,-7.129444
Pteris vittata,-47.878523,-15.779484
Pteris vittata,-47.940105,-15.72535
Pteris vittata,-49.3825,-26.256667
Pteris vittata,-47.878575,-15.779507
Pteris vittata,-49.3825,-26.256667
Pteris vittata,-49.3825,-26.256667
Pteris vittata,-46.644228,-23.589056
Pteris vittata,-35.165012,-7.923776
Pteris vittata,-47.878559,-15.779484
Pteris vittata,-53.787628,-29.700847
Pteris vittata,-53.7875,-29.700833
Pteris vittata,-35.273333,-5.930833
Pteris vittata,-35.273333,-5.930833
Pteris vittata,-43.911462,-19.91993
Pteris vittata,-35.352222,-5.864444
Pteris vittata,-35.352222,-5.864444
Pteris vittata,-47.868311,-15.765107
Pteris vittata,-37.206389,-11.014722
Pteris vittata,-47.610233,-15.451492
Pteris vittata,59.433611,38.083333
Pteris vittata,-43.19953,-22.058694
Pteris vittata,59.433611,38.083333
Pteris vittata,-48.63472,-26.99056
Pteris vittata,-48.63472,-26.99056
Pteris vittata,-49.395833,-24.100556
Pteris vittata,-49.395833,-24.100556
Pteris vittata,-49.395833,-24.100556
Pteris vittata,-49.420278,-25.462222
Pteris vittata,-49.420278,-25.462222
Pteris vittata,-39.475278,-12.470556
Pteris vittata,-39.475278,-12.853889
Pteris vittata,-48.483333,-22.883333
Pteris vittata,-43.373806,-21.783389
Pteris vittata,-43.373889,-21.783333
Pteris vittata,-47.939722,-15.725
Pteris vittata,-47.939722,-15.725
Pteris vittata,-48.564667,-24.417694
Pteris vittata,-48.564667,-24.417694
Pteris vittata,-49.285483,-25.168636
Pteris vittata,-35.715,-6.970833
Pteris vittata,-44.985767,-21.722997
Pteris vittata,-56.577778,-21.381389
Pteris vittata,-47.586222,-22.508111
