scientific_name,decimalLongitude,decimalLatitude
Pterygoplichthys disjunctivus,-63.147778,-10.083611
Pterygoplichthys disjunctivus,-63.147778,-10.083611
Pterygoplichthys disjunctivus,-63.147778,-10.083611
Pterygoplichthys disjunctivus,-65.320278,-10.018611
Pterygoplichthys disjunctivus,-64.709167,-9.315833
Pterygoplichthys disjunctivus,-61.735,-6.052778
Pterygoplichthys disjunctivus,-62.333611,-6.710556
Pterygoplichthys disjunctivus,-63.623889,-8.541944
Pterygoplichthys disjunctivus,-64.607222,-12.214444
Pterygoplichthys disjunctivus,-65.229444,-11.595
Pterygoplichthys disjunctivus,-65.377222,-10.431111
Pterygoplichthys disjunctivus,-65.298611,-9.509167
Pterygoplichthys disjunctivus,-65.378611,-10.366111
Pterygoplichthys disjunctivus,-64.648056,-9.27
Pterygoplichthys disjunctivus,-58.916668,-3.533333
Pterygoplichthys disjunctivus,-63.454167,-8.751667
Pterygoplichthys disjunctivus,-64.996111,-11.911944
Pterygoplichthys disjunctivus,-62.875833,-8.027778
Pterygoplichthys disjunctivus,-62.875833,-8.027778
Pterygoplichthys disjunctivus,-62.875833,-8.027778
Pterygoplichthys disjunctivus,-62.875833,-8.027778
Pterygoplichthys disjunctivus,-62.875833,-8.027778
Pterygoplichthys disjunctivus,-62.875833,-8.027778
Pterygoplichthys disjunctivus,-62.916667,-7.25
Pterygoplichthys disjunctivus,-62.916667,-7.25
Pterygoplichthys disjunctivus,-62.875833,-8.027778
