scientific_name,decimalLongitude,decimalLatitude
Pterygoplichthys pardalis,-60.189845,-3.291472
Pterygoplichthys pardalis,-67.539764,-8.788962
Pterygoplichthys pardalis,-58.771553,-3.359996
Pterygoplichthys pardalis,-59.928333,-3.156111
Pterygoplichthys pardalis,-60.214425,-3.313579
Pterygoplichthys pardalis,-70.05299,-4.32612
Pterygoplichthys pardalis,-55.928333,-9.585833
Pterygoplichthys pardalis,-60.00147,-3.08394
Pterygoplichthys pardalis,-60.00925,-3.00142
Pterygoplichthys pardalis,-54.801944,-2.246111
Pterygoplichthys pardalis,-55.039806,-2.186083
Pterygoplichthys pardalis,-60.247222,-3.396389
Pterygoplichthys pardalis,-55.07066,-2.101677
Pterygoplichthys pardalis,-55.07066,-2.101677
Pterygoplichthys pardalis,-55.11269,-2.113131
Pterygoplichthys pardalis,-55.11269,-2.113131
Pterygoplichthys pardalis,-55.11269,-2.113131
Pterygoplichthys pardalis,-54.72939,-1.974735
Pterygoplichthys pardalis,-54.73611,-1.980747
Pterygoplichthys pardalis,-59.915472,-3.166028
Pterygoplichthys pardalis,-55.039806,-2.186083
Pterygoplichthys pardalis,-61.916033,-9.002556
Pterygoplichthys pardalis,-52.0125,-2.880833
Pterygoplichthys pardalis,-52.0125,-2.880808
Pterygoplichthys pardalis,-61.916033,-9.002556
Pterygoplichthys pardalis,-61.809167,-9.040833
Pterygoplichthys pardalis,-61.809167,-9.040833
Pterygoplichthys pardalis,-62.201861,-8.837194
Pterygoplichthys pardalis,-52.542778,-0.847222
Pterygoplichthys pardalis,-59.960556,-3.082222
Pterygoplichthys pardalis,-58.916667,-3.616111
Pterygoplichthys pardalis,-59.381111,-4.153611
Pterygoplichthys pardalis,-65.761278,-2.769139
Pterygoplichthys pardalis,-59.828022,-3.197771
Pterygoplichthys pardalis,-50.035556,-6.398611
Pterygoplichthys pardalis,-50.035556,-6.398611
Pterygoplichthys pardalis,-67.548333,-5.524722
Pterygoplichthys pardalis,-67.805833,-5.940556
Pterygoplichthys pardalis,-60.048056,-3.014722
Pterygoplichthys pardalis,-49.948056,-0.228889
Pterygoplichthys pardalis,-54.808333,-2.456944
Pterygoplichthys pardalis,-64.190556,-3.624444
Pterygoplichthys pardalis,-66.154722,-2.473889
Pterygoplichthys pardalis,-53.170833,-1.741389
Pterygoplichthys pardalis,-64.693611,-2.288333
Pterygoplichthys pardalis,-64.866111,-3.038333
Pterygoplichthys pardalis,-66.348611,-2.611111
Pterygoplichthys pardalis,-64.800556,-3.117778
Pterygoplichthys pardalis,-64.834724,-3.063611
Pterygoplichthys pardalis,-54.733334,-1.933333
Pterygoplichthys pardalis,-64.800278,-3.112222
Pterygoplichthys pardalis,-64.796944,-3.110278
Pterygoplichthys pardalis,-72.416667,-9.366667
Pterygoplichthys pardalis,-62.875833,-8.027778
Pterygoplichthys pardalis,-59.94803,-3.153785
Pterygoplichthys pardalis,-59.94803,-3.153785
Pterygoplichthys pardalis,-58.433333,-3.133333
Pterygoplichthys pardalis,-58.433333,-3.133333
Pterygoplichthys pardalis,-58.433333,-3.133333
Pterygoplichthys pardalis,-60.283333,-3.416667
Pterygoplichthys pardalis,-63.033333,-7.516667
Pterygoplichthys pardalis,-59.716667,-3.133333
Pterygoplichthys pardalis,-61.466667,-3.7
Pterygoplichthys pardalis,-60.633333,-3.283333
Pterygoplichthys pardalis,-54.733333,-2.416667
Pterygoplichthys pardalis,-54.739873,-2.413969
Pterygoplichthys pardalis,-54.739873,-2.413969
Pterygoplichthys pardalis,-54.719226,-2.405034
Pterygoplichthys pardalis,-54.739873,-2.413969
Pterygoplichthys pardalis,-59.94803,-3.153785
Pterygoplichthys pardalis,-36.588155,-10.290511
Pterygoplichthys pardalis,-54.69167,-2.44167
Pterygoplichthys pardalis,-55.50833,-1.875
Pterygoplichthys pardalis,-54.69167,-2.44167
Pterygoplichthys pardalis,-64.75833,-3.40833
Pterygoplichthys pardalis,-70.04167,-4.35833
Pterygoplichthys pardalis,-59.89,-3.09
Pterygoplichthys pardalis,-66.95833,-2.725
Pterygoplichthys pardalis,-56.75833,-2.64167
Pterygoplichthys pardalis,-62.64167,-3.40833
Pterygoplichthys pardalis,-62.64167,-3.40833
Pterygoplichthys pardalis,-66.95833,-2.725
Pterygoplichthys pardalis,-60,-3.166667
Pterygoplichthys pardalis,-52.06042,-11.92719
Pterygoplichthys pardalis,-69.74167,-4.24167
Pterygoplichthys pardalis,-69.74167,-4.24167
Pterygoplichthys pardalis,-55.50833,-1.875
Pterygoplichthys pardalis,-55.50833,-1.875
Pterygoplichthys pardalis,-64.75,-3.4
