Species,decimalLongitude,decimalLatitude
Pygocentrus nattereri,-57.907958,-21.768899
Pygocentrus nattereri,-39.777806,-18.731056
Pygocentrus nattereri,-60.078494,-3.341389
Pygocentrus nattereri,-60.440199,-3.091821
Pygocentrus nattereri,-42.595572,-19.77853
Pygocentrus nattereri,-56.718883,-17.294634
Pygocentrus nattereri,-59.811921,-3.695406
Pygocentrus nattereri,-60.323611,-3.076944
Pygocentrus nattereri,-60.182925,-3.343253
Pygocentrus nattereri,-60.192126,-3.364218
Pygocentrus nattereri,-60.309525,-3.390289
Pygocentrus nattereri,-56.614145,-20.086023
Pygocentrus nattereri,-59.903335,-3.148938
Pygocentrus nattereri,-60.641683,-3.292327
Pygocentrus nattereri,-59.671236,-3.205123
Pygocentrus nattereri,-59.640402,-3.207858
Pygocentrus nattereri,-56.568133,-29.389035
Pygocentrus nattereri,-57.018333,-19.577222
Pygocentrus nattereri,-57.018333,-19.577222
Pygocentrus nattereri,-57.018333,-19.577222
Pygocentrus nattereri,-57.018333,-19.577222
Pygocentrus nattereri,-57.018333,-19.577222
Pygocentrus nattereri,-57.018333,-19.577222
Pygocentrus nattereri,-56.721677,-2.626254
Pygocentrus nattereri,-56.721687,-2.626257
Pygocentrus nattereri,-54.730368,-2.41889
Pygocentrus nattereri,-56.592553,-20.097326
Pygocentrus nattereri,-60.345401,-3.188708
Pygocentrus nattereri,-56.653358,-17.24422
Pygocentrus nattereri,-40.06942,-19.4064
Pygocentrus nattereri,-40.229444,-19.447222
Pygocentrus nattereri,-70.141726,-4.297229
Pygocentrus nattereri,-57.018056,-19.576667
Pygocentrus nattereri,-57.018056,-19.576667
Pygocentrus nattereri,-50.563889,-13.232222
Pygocentrus nattereri,-50.563889,-13.232222
Pygocentrus nattereri,-40.06942,-19.4064
Pygocentrus nattereri,-49.620278,-5.609167
Pygocentrus nattereri,-49.584444,-6.138611
Pygocentrus nattereri,-50.566111,-4.956389
Pygocentrus nattereri,-50.61,-4.625556
Pygocentrus nattereri,-60.021731,-3.119027
Pygocentrus nattereri,-60.09412,-3.34431
Pygocentrus nattereri,-59.919128,-3.616963
Pygocentrus nattereri,-60.042017,-3.271677
Pygocentrus nattereri,-60.047117,-3.267663
Pygocentrus nattereri,-60.047117,-3.267663
Pygocentrus nattereri,-54.973856,-16.458489
Pygocentrus nattereri,-58.507028,-3.086639
Pygocentrus nattereri,-57.343522,-18.426974
