scientific_name,decimalLongitude,decimalLatitude
Pyracantha coccinea,-47.905667,-15.814792
Pyracantha coccinea,-52.009503,-26.535467
Pyracantha coccinea,-47.905457,-15.814761
Pyracantha coccinea,-47.905323,-15.814533
Pyracantha coccinea,-49.241667,-25.442222
Pyracantha coccinea,-49.195047,-25.64824
Pyracantha coccinea,-49.117028,-25.388944
Pyracantha coccinea,-49.126583,-25.381444
Pyracantha coccinea,-52.312389,-24.106833
Pyracantha coccinea,-51.237222,-30.019139
Pyracantha coccinea,-51.237222,-30.019139
Pyracantha coccinea,-51.214437,-30.034991
Pyracantha coccinea,-51.214437,-30.034991
Pyracantha coccinea,-51.214437,-30.034991
Pyracantha coccinea,-47.533333,-22.383333
