Species,decimalLongitude,decimalLatitude
Rattus norvegicus,-46.729351,-23.574451
Rattus norvegicus,-48.642873,-26.91461
Rattus norvegicus,-67.873308,-9.966107
Rattus norvegicus,-35.690163,-9.612892
Rattus norvegicus,-39.319276,-14.668553
Rattus norvegicus,-42.973597,-22.45385
Rattus norvegicus,-49.252445,-25.406838
Rattus norvegicus,-38.412964,-12.948095
Rattus norvegicus,-48.677517,-26.908269
Rattus norvegicus,-46.647229,-23.583531
Rattus norvegicus,-36.633732,-9.411334
Rattus norvegicus,-48.650909,-26.808465
Rattus norvegicus,-36.633732,-9.411334
Rattus norvegicus,-51.120981,-30.06764
Rattus norvegicus,-51.121199,-30.067632
Rattus norvegicus,-35.724157,-9.608922
Rattus norvegicus,-59.9893,-3.095655
Rattus norvegicus,-40.752317,-4.161475
Rattus norvegicus,-47.859659,-15.729922
Rattus norvegicus,-47.88767,-15.725613
Rattus norvegicus,-47.859659,-15.729922
Rattus norvegicus,-47.859659,-15.729922
Rattus norvegicus,-38.494241,-7.530712
Rattus norvegicus,-48.522525,-27.599867
Rattus norvegicus,-44.14503,-19.71079
Rattus norvegicus,-40.362528,-20.344111
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-48.48,-1.85
Rattus norvegicus,-45.3333,-23.8333
Rattus norvegicus,-45.3333,-23.8333
Rattus norvegicus,-45.3333,-23.8333
Rattus norvegicus,-45.3333,-23.8333
Rattus norvegicus,-45.8336949,-23.6337812
Rattus norvegicus,-46.736499,-23.6046778
Rattus norvegicus,-47.5737048,-23.6493748
Rattus norvegicus,-48.0532078,-23.5923744
Rattus norvegicus,-46.0597949,-23.8032791
Rattus norvegicus,-46.7671005,-23.3837781
Rattus norvegicus,-46.6342991,-23.5507789
Rattus norvegicus,-48.1277698,-21.7599028
