Species,decimalLongitude,decimalLatitude
Rattus rattus,-46.971067,-23.235406
Rattus rattus,-53.15758,-27.97949
Rattus rattus,-46.641048,-23.057273
Rattus rattus,-52.076474,-29.468969
Rattus rattus,-45.922551,-22.866462
Rattus rattus,-50.058986,-6.065164
Rattus rattus,-36.354955,-7.414624
Rattus rattus,-42.738972,-22.417687
Rattus rattus,-38.485875,-3.744877
Rattus rattus,-48.924144,-26.912512
Rattus rattus,-48.922824,-26.91175
Rattus rattus,-48.92424,-26.912499
Rattus rattus,-40.01403,-18.977322
Rattus rattus,-50.063442,-6.059553
Rattus rattus,-34.866992,-7.096883
Rattus rattus,-42.042302,-20.962874
Rattus rattus,-41.692958,-21.424116
Rattus rattus,-47.39568,-23.534345
Rattus rattus,-51.102731,-30.060266
Rattus rattus,-35.208893,-5.906088
Rattus rattus,-49.236953,-25.492697
Rattus rattus,-36.716105,-9.397743
Rattus rattus,-47.777086,-15.756745
Rattus rattus,-47.954237,-19.764953
Rattus rattus,-52.237009,-31.766382
Rattus rattus,-44.554875,-20.062675
Rattus rattus,-48.139043,-15.783879
Rattus rattus,-50.063186,-6.059561
Rattus rattus,-48.006629,-24.873503
Rattus rattus,-46.898451,-22.742586
Rattus rattus,-46.99922,-22.9348
Rattus rattus,-43.242794,-22.427493
Rattus rattus,-46.649541,-23.676237
Rattus rattus,-47.859659,-15.729922
Rattus rattus,-48.477172,-27.656961
Rattus rattus,-43.460742,-22.756132
Rattus rattus,-34.849691,-7.854215
Rattus rattus,-50.680679,-17.573079
Rattus rattus,-53.866667,-25.466667
Rattus rattus,-53.866667,-25.466667
Rattus rattus,-53.866667,-25.466667
Rattus rattus,-53.866667,-25.466667
Rattus rattus,-37.55037,-10.074186
Rattus rattus,-47.075,-22.8106
Rattus rattus,-47.075,-22.8106
Rattus rattus,-47.075,-22.8106
Rattus rattus,-40.337778,-20.319444
Rattus rattus,-40.337778,-20.319444
Rattus rattus,-39.858889,-18.716111
Rattus rattus,-40.377833,-19.890417
Rattus rattus,-40.600278,-19.935556
Rattus rattus,-40.600278,-19.935556
Rattus rattus,-51.568321,-21.387662
Rattus rattus,-51.568321,-21.387662
Rattus rattus,-51.568321,-21.387662
Rattus rattus,-51.641074,-21.334001
Rattus rattus,-51.641074,-21.334001
Rattus rattus,-51.568321,-21.387662
Rattus rattus,-51.568321,-21.387662
Rattus rattus,-40.54,-19.965
Rattus rattus,-40.600278,-19.935556
Rattus rattus,-51.046319,-29.057519
Rattus rattus,-51.046319,-29.057519
Rattus rattus,-48.916667,-25.75
Rattus rattus,-72.8,-8.566667
Rattus rattus,-72.816667,-8.366667
Rattus rattus,-47.639722,-22.72
Rattus rattus,-40.599806,-19.935889
Rattus rattus,-40.54,-19.965
Rattus rattus,-40.599806,-19.935889
Rattus rattus,-46.419722,-23.89
Rattus rattus,-40.307778,-20.128611
Rattus rattus,-40.307778,-20.128611
Rattus rattus,-40.307778,-20.128611
Rattus rattus,-46.63,-22.47
Rattus rattus,-47.916667,-15.954931
Rattus rattus,-47.916667,-15.954931
Rattus rattus,-39.724903,-7.515487
Rattus rattus,-39.724903,-7.515487
Rattus rattus,-39.724903,-7.515487
Rattus rattus,-39.724903,-7.515487
Rattus rattus,-68.68,-9.08
Rattus rattus,-68.68,-9.08
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-54.7,-2.43
Rattus rattus,-47.33,-22.73
Rattus rattus,-56.75,-5.67
