scientific_name,decimalLongitude,decimalLatitude
Rhamphichthys hahni,-53.600278,-22.856667
Rhamphichthys hahni,-53.290556,-22.723056
Rhamphichthys hahni,-51.783869,-21.601414
Rhamphichthys hahni,-52.194833,-21.850278
Rhamphichthys hahni,-56.754165,-29.410556
Rhamphichthys hahni,-51.678333,-22.654167
Rhamphichthys hahni,-52.146106,-21.037217
Rhamphichthys hahni,-52.120333,-21.020222
Rhamphichthys hahni,-51.689442,-21.053608
Rhamphichthys hahni,-51.689442,-21.053608
Rhamphichthys hahni,-53.7226,-23.3674
Rhamphichthys hahni,-51.650278,-20.748889
Rhamphichthys hahni,-56.979167,-19.609444
Rhamphichthys hahni,-57.566139,-17.801278
Rhamphichthys hahni,-57.381494000000004,-17.827158
Rhamphichthys hahni,-57.881667,-21.686111
Rhamphichthys hahni,-53.727444,-22.04375
Rhamphichthys hahni,-53.73,-22.04
Rhamphichthys hahni,-53.539167,-22.799722
Rhamphichthys hahni,-56.238194,-16.477
Rhamphichthys hahni,-56.172722,-16.476583
Rhamphichthys hahni,-53.55,-22.816667
Rhamphichthys hahni,-48.105833,-23.625
Rhamphichthys hahni,-53.197778,-22.653889
Rhamphichthys hahni,-53.541389,-22.799167
Rhamphichthys hahni,-53.2865,-22.7221
Rhamphichthys hahni,-53.2865,-22.7221
Rhamphichthys hahni,-53.2865,-22.7221
Rhamphichthys hahni,-53.2865,-22.7221
Rhamphichthys hahni,-53.2865,-22.7221
Rhamphichthys hahni,-53.29,-22.72
Rhamphichthys hahni,-53.29,-22.72
Rhamphichthys hahni,-53.29,-22.72
Rhamphichthys hahni,-53.29,-22.72
Rhamphichthys hahni,-53.29,-22.72
Rhamphichthys hahni,-54.307778,-24.110278
Rhamphichthys hahni,-54.25,-24.833333
Rhamphichthys hahni,-55.9,-16.33
Rhamphichthys hahni,-55.9,-16.33
Rhamphichthys hahni,-55.9,-16.33
Rhamphichthys hahni,-57.0145,-19.575639
Rhamphichthys hahni,-57.0145,-19.575639
Rhamphichthys hahni,-56.253611,-14.696111
Rhamphichthys hahni,-55.633333,-15.016667
Rhamphichthys hahni,-55.9,-16.33
Rhamphichthys hahni,-53.413889,-15.581667
Rhamphichthys hahni,-55.940833,-15.974167
Rhamphichthys hahni,-56.700001,-29.4
Rhamphichthys hahni,-51.758056,-22.456944
Rhamphichthys hahni,-56.424167,-19.617778
Rhamphichthys hahni,-57.0564,-19.2861
Rhamphichthys hahni,-56.75,-16.5
Rhamphichthys hahni,-54.333333,-24.833333
Rhamphichthys hahni,-54.316667,-24.383333
Rhamphichthys hahni,-56.716667,-17.3
Rhamphichthys hahni,-57.815556,-19.22
Rhamphichthys hahni,-53.25,-22.666667
Rhamphichthys hahni,-53.266944,-22.771944
Rhamphichthys hahni,-53.266667,-22.75
Rhamphichthys hahni,-53.266667,-22.683333
Rhamphichthys hahni,-53.322222,-24.196667
Rhamphichthys hahni,-54.25,-24.05
Rhamphichthys hahni,-54.588056,-25.546667
Rhamphichthys hahni,-56,-15.916667
Rhamphichthys hahni,-56,-15.916667
Rhamphichthys hahni,-56,-15.916667
Rhamphichthys hahni,-55.95,-16.183333
Rhamphichthys hahni,-56.05,-15.633333
Rhamphichthys hahni,-55.954722,-16.343611
Rhamphichthys hahni,-54.75,-18.5
Rhamphichthys hahni,-54.86,-2.19
Rhamphichthys hahni,-53.07,-22.54
Rhamphichthys hahni,-57.594222,-16.946028
Rhamphichthys hahni,-53.07,-22.54
Rhamphichthys hahni,-51.446,-22.644
