scientific_name,decimalLongitude,decimalLatitude
Rhinella jimi,-44.449274,-14.005368
Rhinella jimi,-45.018575,-12.215567
Rhinella jimi,-44.477343,-14.0375
Rhinella jimi,-44.261963,-14.463143
Rhinella jimi,-43.982178,-14.733127
Rhinella jimi,-45.018779,-12.287964
Rhinella jimi,-44.325799,-14.436537
Rhinella jimi,-44.371068,-14.397723
Rhinella jimi,-44.186529,-14.503535
Rhinella jimi,-45.019141,-12.218183
Rhinella jimi,-43.995724,-14.727583
Rhinella jimi,-44.447607,-13.669523
Rhinella jimi,-44.49247,-13.614067
Rhinella jimi,-45.01878,-12.28797
Rhinella jimi,-44.061596,-14.647802
Rhinella jimi,-44.286849,-14.447593
Rhinella jimi,-45.021217,-12.239157
Rhinella jimi,-44.271084,-14.458135
Rhinella jimi,-44.0989,-14.645475
Rhinella jimi,-44.100377,-14.643649
Rhinella jimi,-44.508494,-13.604087
Rhinella jimi,-44.489413,-13.6148
Rhinella jimi,-45.00663,-12.327909
Rhinella jimi,-45.022,-12.247919
Rhinella jimi,-44.611813,-13.166128
Rhinella jimi,-43.982185,-14.733107
Rhinella jimi,-44.286848,-14.447589
Rhinella jimi,-45.013256,-12.301981
Rhinella jimi,-44.037701,-14.654757
Rhinella jimi,-43.965183,-14.739384
Rhinella jimi,-44.486138,-13.742077
Rhinella jimi,-45.021698,-12.24508
Rhinella jimi,-44.653428,-12.971765
Rhinella jimi,-44.541793,-14.206584
Rhinella jimi,-36.192639,-5.618758
Rhinella jimi,-45.024527,-12.26652
Rhinella jimi,-44.091706,-14.651337
Rhinella jimi,-44.538454,-14.213598
Rhinella jimi,-44.777907,-12.434942
Rhinella jimi,-44.999661,-12.339365
Rhinella jimi,-44.738555,-12.491941
Rhinella jimi,-45.018724,-12.287981
Rhinella jimi,-44.53399,-14.129978
Rhinella jimi,-44.651622,-13.290829
Rhinella jimi,-44.452741,-13.673981
Rhinella jimi,-45.018749,-12.288162
Rhinella jimi,-44.648732,-13.295941
Rhinella jimi,-43.950288,-14.744587
Rhinella jimi,-45.015141,-12.318052
Rhinella jimi,-44.62565,-13.0614
Rhinella jimi,-45.021346,-12.241319
Rhinella jimi,-45.015952,-12.205881
Rhinella jimi,-44.992834,-12.346414
Rhinella jimi,-45.015806,-12.205626
Rhinella jimi,-45.01406,-12.198873
Rhinella jimi,-44.981229,-12.356135
Rhinella jimi,-45.011535,-12.184121
Rhinella jimi,-45.01583,-12.205635
Rhinella jimi,-45.018897,-12.217211
Rhinella jimi,-45.009494,-12.170626
Rhinella jimi,-45.015804,-12.205627
Rhinella jimi,-45.009305,-12.168067
Rhinella jimi,-44.993705,-12.344618
Rhinella jimi,-45.015831,-12.205632
Rhinella jimi,-45.01896,-12.217126
Rhinella jimi,-44.963627,-12.37556
Rhinella jimi,-45.024911,-12.269842
Rhinella jimi,-45.015823,-12.205622
Rhinella jimi,-45.024852,-12.268935
Rhinella jimi,-45.015792,-12.20553
Rhinella jimi,-44.613619,-13.018191
Rhinella jimi,-44.789853,-12.420005
Rhinella jimi,-45.0095,-12.170621
Rhinella jimi,-45.015836,-12.205615
Rhinella jimi,-45.021291,-12.240707
Rhinella jimi,-45.009502,-12.170628
Rhinella jimi,-45.020569,-12.227684
Rhinella jimi,-45.021377,-12.241311
Rhinella jimi,-45.01582,-12.205595
Rhinella jimi,-45.00982,-12.174032
Rhinella jimi,-44.996025,-12.341311
Rhinella jimi,-45.015805,-12.205628
Rhinella jimi,-45.010849,-12.181328
Rhinella jimi,-45.02093,-12.236806
Rhinella jimi,-45.015835,-12.205636
Rhinella jimi,-45.015802,-12.20563
Rhinella jimi,-45.018213,-12.214612
Rhinella jimi,-45.021331000000004,-12.240852
Rhinella jimi,-44.616527,-13.00615
Rhinella jimi,-44.613573,-13.017991
Rhinella jimi,-45.015337,-12.315818
Rhinella jimi,-44.790416,-12.419829
Rhinella jimi,-45.01622,-12.206921
Rhinella jimi,-45.018711,-12.216502
Rhinella jimi,-44.640072,-12.992858
Rhinella jimi,-44.399051,-14.351211
Rhinella jimi,-44.652863,-12.98168
Rhinella jimi,-45.015799,-12.293717
Rhinella jimi,-44.53374,-14.225129
Rhinella jimi,-44.341448,-14.432448
Rhinella jimi,-44.365032,-14.408259
Rhinella jimi,-45.016285,-12.207065
Rhinella jimi,-44.571453,-13.450169
Rhinella jimi,-44.360152,-14.414436
Rhinella jimi,-44.450397,-14.315922
Rhinella jimi,-45.017848,-12.213213
Rhinella jimi,-44.072697,-14.65036
Rhinella jimi,-44.448724,-13.858038
Rhinella jimi,-44.458135,-14.307471
Rhinella jimi,-44.450217,-13.671848
Rhinella jimi,-44.545828,-14.197899
Rhinella jimi,-44.405375,-14.342945
Rhinella jimi,-44.611988,-13.009612
Rhinella jimi,-44.364347,-14.409574
Rhinella jimi,-44.586215,-13.431145
Rhinella jimi,-44.468517,-14.291622
Rhinella jimi,-45.01476,-12.294697
Rhinella jimi,-44.103583,-14.640245
Rhinella jimi,-45.015476,-12.315621
Rhinella jimi,-44.658002,-13.231778
Rhinella jimi,-44.661931,-13.258873
Rhinella jimi,-45.009989,-12.3234
Rhinella jimi,-44.200983,-14.494862
Rhinella jimi,-44.33303,-14.43496
Rhinella jimi,-44.319327,-14.439684
Rhinella jimi,-44.482828,-13.816755
Rhinella jimi,-44.362346,-14.411982
Rhinella jimi,-44.524696,-14.243116
Rhinella jimi,-44.5345,-14.222099
Rhinella jimi,-44.451533,-14.008293
Rhinella jimi,-44.56438,-13.494645
Rhinella jimi,-45.016301,-12.207046
Rhinella jimi,-44.651202,-12.986077
Rhinella jimi,-44.99573,-12.341719
Rhinella jimi,-44.518313,-14.276159
Rhinella jimi,-45.017569,-12.289267
Rhinella jimi,-44.044014,-14.648953
Rhinella jimi,-44.63358,-13.118934
Rhinella jimi,-44.633662,-13.118203
Rhinella jimi,-44.469072,-14.029396
Rhinella jimi,-44.99963,-12.339445
Rhinella jimi,-44.473211,-13.833631
Rhinella jimi,-44.960692,-12.376495
Rhinella jimi,-44.700442,-12.721753
Rhinella jimi,-45.013642,-12.19485
Rhinella jimi,-44.63376,-13.10853
Rhinella jimi,-44.625923,-13.364439
Rhinella jimi,-45.015865,-12.205427
Rhinella jimi,-44.739751,-12.489804
Rhinella jimi,-45.021934,-12.247415
Rhinella jimi,-44.995429,-12.342136
Rhinella jimi,-45.024337,-12.265201
Rhinella jimi,-44.451103,-13.672606
Rhinella jimi,-45.015143,-12.2943
Rhinella jimi,-44.471577,-13.687086
Rhinella jimi,-44.653436,-12.969213
Rhinella jimi,-45.014869,-12.318913
Rhinella jimi,-44.993638,-12.344748
Rhinella jimi,-44.695988,-12.731961
Rhinella jimi,-44.459485,-14.305144
Rhinella jimi,-44.624877,-13.055833
Rhinella jimi,-44.517679,-14.276632
Rhinella jimi,-44.624006,-13.049568
Rhinella jimi,-44.627187,-13.188983
Rhinella jimi,-44.473297,-13.687872
Rhinella jimi,-44.626251,-13.354528
Rhinella jimi,-45.020834,-12.235564
Rhinella jimi,-44.652748,-13.288938
Rhinella jimi,-45.021401,-12.241304
Rhinella jimi,-45.013419,-12.297797
Rhinella jimi,-45.024928,-12.271658
Rhinella jimi,-45.016281,-12.293383
Rhinella jimi,-44.625642,-13.365341
Rhinella jimi,-44.509689,-13.599416
Rhinella jimi,-44.450704,-13.67213
Rhinella jimi,-44.540207,-14.210701
Rhinella jimi,-44.542034,-14.205136
Rhinella jimi,-44.450861,-13.67226
Rhinella jimi,-44.485811,-13.74924
Rhinella jimi,-44.472811,-13.821402
Rhinella jimi,-45.016839,-12.292862
Rhinella jimi,-44.470554,-14.031701
Rhinella jimi,-44.452179,-14.009009
Rhinella jimi,-44.456391000000004,-13.835833
Rhinella jimi,-44.472578,-13.8216
Rhinella jimi,-44.663366,-13.251543
Rhinella jimi,-44.611489,-13.166522
Rhinella jimi,-44.480266,-13.705072
Rhinella jimi,-44.451917,-13.84161
Rhinella jimi,-44.615654,-13.028831
Rhinella jimi,-45.02097,-12.22625
Rhinella jimi,-44.61546,-13.163031
Rhinella jimi,-44.447609,-13.851645
Rhinella jimi,-45.01522,-12.203076
Rhinella jimi,-44.642983,-13.307143
Rhinella jimi,-44.657095,-13.229871
Rhinella jimi,-45.013408,-12.322207
Rhinella jimi,-44.700885,-12.72422
Rhinella jimi,-44.044567,-14.648703
Rhinella jimi,-44.60881,-13.378953
Rhinella jimi,-45.02049,-12.229331
Rhinella jimi,-44.61345,-13.179006
Rhinella jimi,-44.994079,-12.344175
Rhinella jimi,-44.614219,-13.164888
Rhinella jimi,-44.629872,-13.086416
Rhinella jimi,-44.356592,-14.417812
Rhinella jimi,-44.447871,-14.003204
Rhinella jimi,-44.618013,-13.183359
Rhinella jimi,-44.615068,-13.163643
Rhinella jimi,-44.451989,-13.834958
Rhinella jimi,-44.448269,-14.003931
Rhinella jimi,-44.4486,-14.004472
Rhinella jimi,-44.636852,-13.325041
Rhinella jimi,-44.719619,-12.558839
Rhinella jimi,-44.84628,-12.392352
Rhinella jimi,-44.839867,-12.396028
Rhinella jimi,-44.744641,-12.48076
Rhinella jimi,-43.973435,-14.736518
Rhinella jimi,-44.464291,-13.824438
Rhinella jimi,-44.567043,-13.485087
Rhinella jimi,-44.221607,-14.483465
Rhinella jimi,-44.626767,-13.188611
Rhinella jimi,-44.485495,-13.814173
Rhinella jimi,-44.652939,-12.980916
Rhinella jimi,-44.999265,-12.339469
Rhinella jimi,-44.642224,-13.308863
Rhinella jimi,-45.020519,-12.230606
Rhinella jimi,-44.546996,-14.195553
Rhinella jimi,-44.61367,-13.018173
Rhinella jimi,-45.021302,-12.240321
Rhinella jimi,-44.148655,-14.597285
Rhinella jimi,-44.612489,-13.012504
Rhinella jimi,-45.01359,-12.296709
Rhinella jimi,-44.485896,-13.747556
Rhinella jimi,-45.02109,-12.238724
Rhinella jimi,-44.997754,-12.34002
Rhinella jimi,-44.451808,-13.836152
Rhinella jimi,-44.620288,-13.004026
Rhinella jimi,-45.007252,-12.324116
Rhinella jimi,-44.451667,-13.838482
Rhinella jimi,-44.633484,-13.119496
Rhinella jimi,-44.997756,-12.340025
Rhinella jimi,-44.993146,-12.345945
Rhinella jimi,-45.015895,-12.205868
Rhinella jimi,-45.013037,-12.299058
Rhinella jimi,-43.945973,-14.745956
Rhinella jimi,-45.008609,-12.323711
Rhinella jimi,-44.981441,-12.360144
Rhinella jimi,-45.021231,-12.240299
Rhinella jimi,-44.993048,-12.345926
Rhinella jimi,-44.517272,-14.092956
Rhinella jimi,-44.621681,-13.186029
Rhinella jimi,-44.993076,-12.345891
Rhinella jimi,-45.015896,-12.205838
Rhinella jimi,-44.529545,-14.107071
Rhinella jimi,-45.013334,-12.297735
Rhinella jimi,-45.021777,-12.280238
Rhinella jimi,-44.45331,-13.832253
Rhinella jimi,-44.219648,-14.483921
Rhinella jimi,-45.020374,-12.283959
Rhinella jimi,-44.993083,-12.345899
Rhinella jimi,-44.316619,-14.440521
Rhinella jimi,-45.017075,-12.292183
Rhinella jimi,-44.993144,-12.345951
Rhinella jimi,-45.016938,-12.209842
Rhinella jimi,-45.020603,-12.282936
Rhinella jimi,-44.618679,-13.376125
Rhinella jimi,-44.485899,-13.74755
Rhinella jimi,-44.653299,-12.979197
Rhinella jimi,-44.041377,-14.650416
Rhinella jimi,-44.318634,-14.44006
Rhinella jimi,-44.993132,-12.345964
Rhinella jimi,-44.629355,-12.99886
Rhinella jimi,-45.020876,-12.234857
Rhinella jimi,-44.993141,-12.345954
Rhinella jimi,-44.493001,-13.613951
Rhinella jimi,-44.613606,-13.018334
Rhinella jimi,-44.638925,-13.331576
Rhinella jimi,-44.613609,-13.018322
Rhinella jimi,-44.317248,-14.440392
Rhinella jimi,-44.993071,-12.345883
Rhinella jimi,-45.021172,-12.239721
Rhinella jimi,-44.613597,-13.018333
Rhinella jimi,-44.981594,-12.360239
Rhinella jimi,-44.613597,-13.018322
Rhinella jimi,-45.015893,-12.205854
Rhinella jimi,-44.613047,-13.015489
Rhinella jimi,-44.613597,-13.018328
Rhinella jimi,-44.207898,-14.49119
Rhinella jimi,-43.941025,-14.747465
Rhinella jimi,-44.45183,-13.83647
Rhinella jimi,-44.451161,-13.67266
Rhinella jimi,-44.660195,-13.235613
Rhinella jimi,-44.468286,-14.293703
Rhinella jimi,-44.662162,-13.257936
Rhinella jimi,-44.6188,-13.004866
Rhinella jimi,-44.486063,-13.74313
Rhinella jimi,-44.209918,-14.48887
Rhinella jimi,-44.455909,-14.310374
Rhinella jimi,-44.21414,-14.485385
Rhinella jimi,-44.454138,-14.312743
Rhinella jimi,-44.540343,-14.210368
Rhinella jimi,-45.018457,-12.215516
Rhinella jimi,-44.451684,-13.838398
Rhinella jimi,-44.349744,-14.41953
Rhinella jimi,-44.64667,-12.989029
Rhinella jimi,-44.484541,-13.768899
Rhinella jimi,-44.451793,-13.836489
Rhinella jimi,-45.01748,-12.289252
Rhinella jimi,-45.018267,-12.214778
Rhinella jimi,-44.45159,-13.839013
Rhinella jimi,-44.451134,-13.672687
Rhinella jimi,-44.450558,-13.672123
Rhinella jimi,-44.734007,-12.500261
Rhinella jimi,-45.015506,-12.315444
Rhinella jimi,-44.452036,-13.834514
Rhinella jimi,-45.01849,-12.21558
Rhinella jimi,-44.612619,-13.012401
