Species,decimalLongitude,decimalLatitude
Ricinus communis,-48.641937,-26.917788
Ricinus communis,-39.740785,-19.044885
Ricinus communis,-38.699492,-4.276261
Ricinus communis,-35.223515,-5.930694
Ricinus communis,-52.067683,-18.433807
Ricinus communis,-44.17495,-19.481089
Ricinus communis,-53.561001,-29.693853
Ricinus communis,-44.077493,-19.939839
Ricinus communis,-46.784561,-1.052236
Ricinus communis,-49.152965,-28.268826
Ricinus communis,-48.42603,-27.57278
Ricinus communis,-40.702778,-13.402222
Ricinus communis,-55.49675,-30.866477
Ricinus communis,-48.691182,-26.939045
Ricinus communis,-51.449626,-22.122891
Ricinus communis,-52.068847,-28.75847
Ricinus communis,-46.446548,-23.74918
Ricinus communis,-35.978092,-8.31183
Ricinus communis,-46.478236,-23.583774
Ricinus communis,-50.136878,-6.456992
Ricinus communis,-37.312592,-5.855132
Ricinus communis,-49.508875,-28.487474
Ricinus communis,-49.575627,-25.464764
Ricinus communis,-49.343032,-25.556114
Ricinus communis,-38.485238,-12.958638
Ricinus communis,-47.14794,-22.975167
Ricinus communis,-47.86668,-21.991702
Ricinus communis,-47.867123,-21.992055
Ricinus communis,-44.530857,-14.186946
Ricinus communis,-60.030291,-3.092352
Ricinus communis,-35.095869,-8.734121
Ricinus communis,-52.350361,-24.613361
Ricinus communis,-47.100674,-22.863752
Ricinus communis,-48.815301,-28.442326
Ricinus communis,-47.866934,-21.99212
Ricinus communis,-42.551387,-19.503273
Ricinus communis,-35.110089,-7.407442
Ricinus communis,-49.083569,-25.375197
Ricinus communis,-47.918146,-15.785941
Ricinus communis,-49.227242,-25.430881
Ricinus communis,-47.297908,-5.445375
Ricinus communis,-44.189154,-19.937506
Ricinus communis,-42.796013,-5.07945
Ricinus communis,-44.0105,-19.859351
Ricinus communis,-40.60077,-19.937056
Ricinus communis,-52.40728,-31.807199
Ricinus communis,-49.17821,-25.430542
Ricinus communis,-49.120412,-5.379172
Ricinus communis,-43.974873,-19.870762
Ricinus communis,-41.306095,-13.360895
Ricinus communis,-49.350358,-25.455306
Ricinus communis,-40.599462,-19.935648
Ricinus communis,-39.303409,-6.361971
Ricinus communis,-39.303819,-6.36365
Ricinus communis,-46.443724,-23.635541
Ricinus communis,-49.31858,-25.45952
Ricinus communis,-44.027731,-19.978066
Ricinus communis,-49.30723,-25.426265
Ricinus communis,-46.690073,-23.75723
Ricinus communis,-46.102067,-15.90448
Ricinus communis,-40.593598,-19.93489
Ricinus communis,-49.33766,-25.481056
Ricinus communis,-46.649545,-23.550773
Ricinus communis,-49.286033,-25.378803
Ricinus communis,-49.286033,-25.378797
Ricinus communis,-46.469425,-23.572456
Ricinus communis,-49.571036,-25.476855
Ricinus communis,-38.974863,-12.265237
Ricinus communis,-46.418578,-23.481045
Ricinus communis,-46.101962,-15.904571
Ricinus communis,-49.179086,-25.430211
Ricinus communis,-49.203263,-25.389403
Ricinus communis,-49.311614,-25.431941
Ricinus communis,-49.311296,-25.431944
Ricinus communis,-44.004381,-19.997627
Ricinus communis,-44.005002,-19.997183
Ricinus communis,-52.323073,-31.781782
Ricinus communis,-40.587643,-19.9374
Ricinus communis,-46.442382,-23.634996
Ricinus communis,-52.328514,-23.894956
Ricinus communis,-52.328624,-23.89512
Ricinus communis,-49.321392,-25.459172
Ricinus communis,-46.660099,-23.523189
Ricinus communis,-48.644406,-26.90785
Ricinus communis,-43.237252,-22.841756
Ricinus communis,-44.152511,-19.94829
Ricinus communis,-43.948447,-19.886037
Ricinus communis,-52.328768,-23.895767
Ricinus communis,-43.953275,-19.868835
Ricinus communis,-43.95832,-19.633062
Ricinus communis,-47.963111,-19.77146
Ricinus communis,-49.874462,-6.543362
Ricinus communis,-47.86867,-15.750963
Ricinus communis,-50.148595,-6.437038
Ricinus communis,-48.614708,-27.247175
Ricinus communis,-44.776111,-2.051944
Ricinus communis,-47.86872,-15.750924
Ricinus communis,-46.588215,-23.666882
Ricinus communis,-54.616611,-20.500587
Ricinus communis,-47.802063,-15.796124
Ricinus communis,-39.326618,-6.353317
Ricinus communis,-37.317397,-5.202455
Ricinus communis,-47.868651,-15.750976
Ricinus communis,-39.28228,-6.370772
Ricinus communis,-43.654758,-22.646833
Ricinus communis,-47.355123,-23.695203
Ricinus communis,-39.295324,-6.367658
Ricinus communis,-39.333684,-6.431151
Ricinus communis,-39.312852,-6.347168
Ricinus communis,-39.285924,-6.369066
Ricinus communis,-53.808655,-25.822974
Ricinus communis,-51.631079,-29.16377
Ricinus communis,-46.590067,-23.560603
Ricinus communis,-39.285388,-6.36938
Ricinus communis,-47.868665,-15.750988
Ricinus communis,-46.590244,-23.560473000000002
Ricinus communis,-37.326127,-5.203278
Ricinus communis,-55.485075,-11.86464
Ricinus communis,-56.001912,-15.653395
Ricinus communis,-37.329463,-5.206345
Ricinus communis,-37.3231,-5.210253
Ricinus communis,-37.348835,-5.235579
Ricinus communis,-49.25023,-25.374982
Ricinus communis,-46.135867,-15.916003
Ricinus communis,-46.135157,-15.917038
Ricinus communis,-46.7443,-23.438367
Ricinus communis,-46.668295,-23.772194
Ricinus communis,-49.571169,-25.471
Ricinus communis,-46.51543,-23.48376
Ricinus communis,-46.720002,-23.56368
Ricinus communis,-48.64957,-26.98602
Ricinus communis,-49.226745,-25.448504
Ricinus communis,-49.328115,-25.476691
Ricinus communis,-46.638071,-23.70287
Ricinus communis,-54.605946,-25.472685
Ricinus communis,-46.407192,-23.578625
Ricinus communis,-49.573295,-25.473958
Ricinus communis,-47.492693,-4.964341
Ricinus communis,-49.201386,-25.449139
Ricinus communis,-46.679132,-23.79944
Ricinus communis,-46.429398,-23.486118
Ricinus communis,-46.753403,-23.453337
Ricinus communis,-49.30607,-25.428445
Ricinus communis,-49.333188,-25.526621
Ricinus communis,-47.066811,-23.416656
Ricinus communis,-49.278622,-26.794578
Ricinus communis,-49.312492,-25.432567
Ricinus communis,-47.923355,-15.886116
Ricinus communis,-46.783087,-23.434638
Ricinus communis,-48.642596,-26.914895
Ricinus communis,-47.868597,-15.75106
Ricinus communis,-43.434962,-22.702488
Ricinus communis,-44.318661,-23.187514
Ricinus communis,-46.629732,-23.574109
Ricinus communis,-37.353743,-5.18209
Ricinus communis,-37.353743,-5.18209
Ricinus communis,-37.353743,-5.18209
Ricinus communis,-37.353743,-5.18209
Ricinus communis,-37.353743,-5.18209
Ricinus communis,-37.353743,-5.18209
Ricinus communis,-37.353743,-5.18209
Ricinus communis,-43.416389,-22.473611
Ricinus communis,-54.575086,-25.528858
Ricinus communis,-37.3109,-5.865487
Ricinus communis,-39.303874,-6.792034
Ricinus communis,-43.971158,-19.923737
Ricinus communis,-54.481418,-25.626944
Ricinus communis,-53.668249,-28.221765
Ricinus communis,-47.137207,-22.952587
Ricinus communis,-47.868635,-15.75102
Ricinus communis,-46.719544,-23.55946
Ricinus communis,-46.719668,-23.559377
Ricinus communis,-40.502466,-9.399457
Ricinus communis,-56.711869,-16.512911
Ricinus communis,-49.36898,-28.837242
Ricinus communis,-54.615461,-20.503723
Ricinus communis,-53.637635,-25.79137
Ricinus communis,-47.135576,-22.953871
Ricinus communis,-47.256201,-22.933853
Ricinus communis,-57.509428,-19.207539
Ricinus communis,-35.223515,-5.930694
Ricinus communis,-45.895405,-23.198612
Ricinus communis,-51.194825,-0.049691
Ricinus communis,-52.406917,-26.878222
Ricinus communis,-41.388195,-19.20478
Ricinus communis,-49.356403,-25.196581
Ricinus communis,-54.564098,-25.502089
Ricinus communis,-54.561413,-25.502783
Ricinus communis,-38.611569,-3.895914
Ricinus communis,-49.305415000000004,-25.308383
Ricinus communis,-50.523611,-29.837612
Ricinus communis,-45.154603,-21.65713
Ricinus communis,-42.430625,-22.106903
Ricinus communis,-43.963384,-19.860135
Ricinus communis,-35.178222,-5.875303
Ricinus communis,-41.388203,-19.204778
Ricinus communis,-51.313098,-23.273162
Ricinus communis,-38.644184,-6.873135
Ricinus communis,-38.653311,-6.830825
Ricinus communis,-47.868667,-15.751028
Ricinus communis,-38.401961,-3.833439
Ricinus communis,-36.479115,-8.888961
Ricinus communis,-46.719498,-23.568325
Ricinus communis,-48.629258,-26.939854
Ricinus communis,-40.724182,-20.841725
Ricinus communis,-49.270497,-25.528895
Ricinus communis,-48.628512,-26.939517
Ricinus communis,-43.163179,-22.437097
Ricinus communis,-49.284751,-25.503366
Ricinus communis,-46.590322,-23.560449
Ricinus communis,-46.590335,-23.560602
Ricinus communis,-46.59018,-23.560578
Ricinus communis,-36.359419,-8.230605
Ricinus communis,-46.513701,-23.743972
Ricinus communis,-49.322516,-25.787649
Ricinus communis,-49.322516,-25.787649
Ricinus communis,-48.241647,-18.929741
Ricinus communis,-51.360833,-24.278
Ricinus communis,-38.531535,-6.862029
Ricinus communis,-38.584661,-6.792444
Ricinus communis,-35.014364,-8.504342
Ricinus communis,-39.859217,-18.676629
Ricinus communis,-49.512933,-28.488198
Ricinus communis,-47.868593,-15.751115
Ricinus communis,-54.631922,-16.47883
Ricinus communis,-47.073989,-22.940337
Ricinus communis,-43.544555,-22.888175
Ricinus communis,-55.483955,-11.86503
Ricinus communis,-55.484,-11.864931
Ricinus communis,-54.619609,-16.481366
Ricinus communis,-46.872394,-23.481746
Ricinus communis,-55.451485,-11.74258
Ricinus communis,-49.834228,-28.851637
Ricinus communis,-41.051025,-20.22028
Ricinus communis,-41.287347,-21.761178
Ricinus communis,-38.644411,-6.872674
Ricinus communis,-45.438114,-22.432581
Ricinus communis,-49.174835,-25.359673
Ricinus communis,-36.108755,-6.128307
Ricinus communis,-48.873542,-27.014669
Ricinus communis,-47.868639,-15.750953
Ricinus communis,-52.686659,-18.399355
Ricinus communis,-42.545117,-22.322945
Ricinus communis,-48.12544,-22.286272
Ricinus communis,-44.576367,-22.946408
Ricinus communis,-42.545186,-22.322972
Ricinus communis,-49.324767,-16.747969
Ricinus communis,-43.46859,-23.022146
Ricinus communis,-53.682702,-29.22935
Ricinus communis,-47.548572,-23.550569
Ricinus communis,-47.54913,-23.550225
Ricinus communis,-39.282018,-6.353878
Ricinus communis,-45.116602,-23.406157
Ricinus communis,-54.575482,-25.465161
Ricinus communis,-54.576997,-25.465095
Ricinus communis,-54.576985,-25.465634
Ricinus communis,-54.576689,-25.463629
Ricinus communis,-49.000655,-11.73662
Ricinus communis,-52.379862,-26.880138
Ricinus communis,-42.211635,-14.511416
Ricinus communis,-50.693035,-25.617916
Ricinus communis,-48.635375,-26.828208
Ricinus communis,-48.636555,-26.831025
Ricinus communis,-48.636287,-26.857666
Ricinus communis,-48.931262,-15.842256
Ricinus communis,-45.014485,-23.410347
Ricinus communis,-52.110486,-30.701389
Ricinus communis,-56.068,-9.859983
Ricinus communis,-47.868677,-15.75098
Ricinus communis,-48.311667,-15.775556
Ricinus communis,-39.097386,-16.590533
Ricinus communis,-47.892502,-15.774542
Ricinus communis,-53.174602,-27.955316
Ricinus communis,-48.980401,-15.848048
Ricinus communis,-41.301983,-21.779388
Ricinus communis,-53.186487,-25.823451
Ricinus communis,-37.522196,-5.458565
Ricinus communis,-43.867074,-16.729155
Ricinus communis,-53.041111,-24.083889
Ricinus communis,-53.041333,-24.084083
Ricinus communis,-35.915833,-7.211667
Ricinus communis,-50.988272,-25.210155
Ricinus communis,-37.314509,-5.876052
Ricinus communis,-36.484747,-8.889379
Ricinus communis,-60.005031,-3.037338
Ricinus communis,-49.325972,-16.726861
Ricinus communis,-47.868709,-15.750918
Ricinus communis,-37.327233,-5.243455
Ricinus communis,-51.158408,-30.150842
Ricinus communis,-34.840233,-7.064733
Ricinus communis,-46.738417,-23.436392
Ricinus communis,-52.419766,-31.801304
Ricinus communis,-49.287113,-25.516287
Ricinus communis,-45.946025,-21.680605
Ricinus communis,-46.102058,-15.904334
Ricinus communis,-53.637822,-25.783813
Ricinus communis,-51.158456,-30.151085
Ricinus communis,-46.639855,-23.458195
Ricinus communis,-54.552838,-25.487047
Ricinus communis,-51.15821,-30.15692
Ricinus communis,-52.35,-24.009167
Ricinus communis,-52.350278,-24.009444
Ricinus communis,-52.350139,-24.009333
Ricinus communis,-55.843194,-15.607361
Ricinus communis,-52.350278,-24.009444
Ricinus communis,-49.266373,-25.382107
Ricinus communis,-49.289958,-25.653063
Ricinus communis,-49.289958,-25.65305
Ricinus communis,-49.103288,-25.357785
Ricinus communis,-51.158676,-30.171098
Ricinus communis,-49.823345,-27.39728
Ricinus communis,-46.655021,-23.807617
Ricinus communis,-47.647469,-22.705202
Ricinus communis,-48.952755,-15.853517
Ricinus communis,-46.872879,-22.754764
Ricinus communis,-36.904974,-5.571062
Ricinus communis,-35.557384,-8.199357
Ricinus communis,-42.341944,-22.880278
Ricinus communis,-38.433333,-12.783333
Ricinus communis,-49.504699,-28.633167
Ricinus communis,-54.566627,-25.553393
Ricinus communis,-50.131278,-25.068857
Ricinus communis,-46.139587,-23.480927
Ricinus communis,-47.617383,-22.704772
Ricinus communis,-55.724986,-15.436632
Ricinus communis,-36.62335,-9.411132
Ricinus communis,-41.352778,-21.824722
Ricinus communis,-38.47721,-6.81395
Ricinus communis,-50.256036,-29.904303
Ricinus communis,-46.759542,-23.443733
Ricinus communis,-43.955997000000004,-19.852722
Ricinus communis,-49.588709,-28.553546
Ricinus communis,-46.311389,-18.910278
Ricinus communis,-42.636825,-22.93433
Ricinus communis,-46.521046,-23.491777
Ricinus communis,-47.868529,-15.751096
Ricinus communis,-47.847382,-21.161982
Ricinus communis,-36.032449,-9.152753
Ricinus communis,-38.760298,-6.936022
Ricinus communis,-38.815696,-7.014294
Ricinus communis,-38.836898,-6.783548
Ricinus communis,-38.433554,-6.657963
Ricinus communis,-39.306065,-6.362454
Ricinus communis,-49.308483,-25.420552
Ricinus communis,-47.86855,-15.751061
Ricinus communis,-51.189562,-29.984465
Ricinus communis,-37.714667,-5.669764
Ricinus communis,-48.021404,-15.867703
Ricinus communis,-41.289353,-21.76202
Ricinus communis,-46.667908,-22.593036
Ricinus communis,-41.298299,-21.738538
Ricinus communis,-35.223515,-5.930694
Ricinus communis,-46.032444,-22.8752
Ricinus communis,-47.868587,-15.751053
Ricinus communis,-47.868577,-15.751059
Ricinus communis,-47.868653,-15.750944
Ricinus communis,-49.326894,-28.514805
Ricinus communis,-53.638073,-25.783978
Ricinus communis,-49.023726,-5.364758
Ricinus communis,-40.260309,-20.199938
Ricinus communis,-38.746796,-6.859152
Ricinus communis,-47.86865,-15.750997
Ricinus communis,-46.391603,-23.964363
Ricinus communis,-44.522182,-22.4563
Ricinus communis,-46.100511,-15.912478
Ricinus communis,-48.639619,-26.87664
Ricinus communis,-47.868121,-15.751372
Ricinus communis,-49.331491,-25.526472
Ricinus communis,-35.714671,-6.965732
Ricinus communis,-49.068532,-26.87854
Ricinus communis,-36.62335,-9.411132
Ricinus communis,-47.868718,-15.75093
Ricinus communis,-41.298355,-21.738178
Ricinus communis,-37.317572,-5.202496
Ricinus communis,-49.081917,-26.898134
Ricinus communis,-44.521198,-22.457237
Ricinus communis,-49.123491,-25.377026
Ricinus communis,-46.338385,-23.962325
Ricinus communis,-47.548118,-23.550076
Ricinus communis,-44.041905,-18.635737
Ricinus communis,-46.689305,-23.767724
Ricinus communis,-43.861111,-20.444167
Ricinus communis,-55.516095,-11.874816
Ricinus communis,-36.305833,-6.450556
Ricinus communis,-47.947911,-18.160616
Ricinus communis,-48.270212,-18.935805
Ricinus communis,-50.025428,-29.204071
Ricinus communis,-50.025613,-29.204087
Ricinus communis,-43.347902,-4.870935
Ricinus communis,-48.26612,-18.937599
Ricinus communis,-47.992242,-16.081333
Ricinus communis,-48.29906,-15.746635
Ricinus communis,-47.760896,-15.736524
Ricinus communis,-48.108975,-15.852078
Ricinus communis,-55.516556,-11.919282
Ricinus communis,-39.100689,-16.59066
Ricinus communis,-44.285356,-2.726083
Ricinus communis,-47.544472,-22.407906
Ricinus communis,-48.642971,-26.897973
Ricinus communis,-53.141869,-18.529867
Ricinus communis,-38.491854,-7.119305
Ricinus communis,-49.397489,-16.693286
Ricinus communis,-43.278,-22.960014
Ricinus communis,-47.79834,-15.84176
Ricinus communis,-56.115404,-15.562344
Ricinus communis,-47.308943,-15.539445
Ricinus communis,-47.798606,-15.841994
Ricinus communis,-47.888358,-15.754839
Ricinus communis,-46.332648,-13.704187
Ricinus communis,-54.550169,-20.56805
Ricinus communis,-47.910398,-15.81158
Ricinus communis,-45.166161,-22.799833
Ricinus communis,-38.343226,-10.014889
Ricinus communis,-46.786876,-18.99589
Ricinus communis,-46.638907,-23.456206
Ricinus communis,-55.516547,-11.852569
Ricinus communis,-43.678611,-22.76
Ricinus communis,-55.577381,-12.337008
Ricinus communis,-49.18515,-16.606093
Ricinus communis,-46.687814,-21.742244
Ricinus communis,-48.518028,-27.602128
Ricinus communis,-39.298018,-6.375176
Ricinus communis,-43.224733,-22.854333
Ricinus communis,-54.616667,-20.507222
Ricinus communis,-50.08348,-15.497851
Ricinus communis,-51.358517,-23.5262
Ricinus communis,-52.4889,-24.377944
Ricinus communis,-52.791097,-23.12235
Ricinus communis,-51.885594,-23.618219
Ricinus communis,-54.846592,-22.205232
Ricinus communis,-48.052763,-15.800264
Ricinus communis,-54.766265,-22.215507
Ricinus communis,-46.519442,-23.495176
Ricinus communis,-38.692887,-7.915358
Ricinus communis,-44.971355,-22.387567
Ricinus communis,-44.971355,-22.387567
Ricinus communis,-44.971355,-22.387567
Ricinus communis,-44.971355,-22.387567
Ricinus communis,-44.971355,-22.387567
Ricinus communis,-47.874603,-15.699512
Ricinus communis,-54.574269,-25.547463
Ricinus communis,-50.202303,-22.46582
Ricinus communis,-69.669737,-10.961487
Ricinus communis,-55.724802,-15.43634
Ricinus communis,-43.417776,-22.58486
Ricinus communis,-43.417776,-22.58486
Ricinus communis,-52.576808,-23.660903
Ricinus communis,-52.576158,-23.487344
Ricinus communis,-47.910202,-15.891517
Ricinus communis,-56.548193,-29.160992
Ricinus communis,-49.211374,-16.601999
Ricinus communis,-43.651111,-22.991667
Ricinus communis,-54.141435,-17.200136
Ricinus communis,-47.856979,-15.786381
Ricinus communis,-42.035958,-12.860979
Ricinus communis,-46.946992,-22.415415
Ricinus communis,-43.305921,-22.577892
Ricinus communis,-37.361378,-5.182599
Ricinus communis,-44.945106,-20.196738
Ricinus communis,-56.711862000000004,-16.513009
Ricinus communis,-51.881667,-29.1875
Ricinus communis,-56.113946,-15.573364
Ricinus communis,-54.563011,-20.471857
Ricinus communis,-35.588337,-7.791069
Ricinus communis,-47.885542,-15.73352
Ricinus communis,-35.559084,-7.804428
Ricinus communis,-53.638112,-25.783798
Ricinus communis,-49.004902,-25.388776
Ricinus communis,-49.280791,-25.3251
Ricinus communis,-37.361033,-5.182907
Ricinus communis,-48.633816,-26.854526
Ricinus communis,-43.661185,-22.407549
Ricinus communis,-39.878194,-9.855861
Ricinus communis,-39.136028,-7.218694
Ricinus communis,-53.36248,-33.724797
Ricinus communis,-59.951589,-15.004532
Ricinus communis,-42.042302,-20.962874
Ricinus communis,-46.371437,-20.233355
Ricinus communis,-67.873688,-9.965883
Ricinus communis,-37.431881,-10.542778
Ricinus communis,-59.80244,-13.658601
Ricinus communis,-59.802454,-13.658603
Ricinus communis,-46.52219,-23.491364
Ricinus communis,-50.858877,-29.428591
Ricinus communis,-54.579389,-25.552208
Ricinus communis,-53.669633,-28.222511
Ricinus communis,-54.564802,-25.553524
Ricinus communis,-58.790261,-11.418111
Ricinus communis,-43.672012,-19.898567
Ricinus communis,-47.816497,-22.249858
Ricinus communis,-53.648493,-25.77782
Ricinus communis,-47.86537,-15.683026
Ricinus communis,-53.579793,-29.674173
Ricinus communis,-40.259882,-20.192119
Ricinus communis,-52.185447,-23.190356
Ricinus communis,-46.62267,-23.642388
Ricinus communis,-54.570242,-25.709598
Ricinus communis,-44.632297,-23.292878
Ricinus communis,-48.516944,-27.597222
Ricinus communis,-48.516944,-27.597222
Ricinus communis,-48.011846,-15.862093
Ricinus communis,-63.004274,-9.921719
Ricinus communis,-43.996097,-19.866322
Ricinus communis,-47.54789,-23.54979
Ricinus communis,-44.501772,-22.451342
Ricinus communis,-46.426751,-23.687771
Ricinus communis,-48.980448,-15.848112
Ricinus communis,-46.165475,-23.287728
Ricinus communis,-47.282549,-20.517374
Ricinus communis,-42.358611,-22.863333
Ricinus communis,-43.146811,-22.513262
Ricinus communis,-39.306983,-6.359396
Ricinus communis,-39.730116,-19.191624
Ricinus communis,-47.544161,-22.407369
Ricinus communis,-48.612684,-27.084212
Ricinus communis,-43.146872,-22.51325
Ricinus communis,-51.909847,-27.465633
Ricinus communis,-54.936976,-12.382073
Ricinus communis,-37.090502,-10.934383
Ricinus communis,-47.956543,-15.930305
Ricinus communis,-47.759922,-15.887248
Ricinus communis,-47.963985,-15.92537
Ricinus communis,-51.195908,-29.219089
Ricinus communis,-48.114627,-15.764147
Ricinus communis,-47.751708,-15.733147
Ricinus communis,-50.138464,-25.046421
Ricinus communis,-34.897079,-7.9443530000000004
Ricinus communis,-48.671352,-26.766954
Ricinus communis,-54.546719,-20.461943
Ricinus communis,-54.546672,-20.461985
Ricinus communis,-39.108873,-16.592456
Ricinus communis,-38.959055,-6.679944
Ricinus communis,-34.920874,-8.168526
Ricinus communis,-38.959025,-6.679915
Ricinus communis,-42.497062,-22.310076
Ricinus communis,-47.977341,-15.848339
Ricinus communis,-48.342064,-21.236928
Ricinus communis,-49.521921,-25.456518
Ricinus communis,-47.85861,-15.729685
Ricinus communis,-50.148941,-15.928031
Ricinus communis,-47.839579,-15.745429
Ricinus communis,-48.025382,-15.886999
Ricinus communis,-57.904322,-21.711967
Ricinus communis,-49.284432,-25.418693
Ricinus communis,-47.989429,-15.838614
Ricinus communis,-48.636094,-26.831587
Ricinus communis,-49.318575,-25.421008
Ricinus communis,-67.923469,-9.851265
Ricinus communis,-42.989131,-22.92956
Ricinus communis,-42.508414,-19.439139
Ricinus communis,-43.417069,-22.590644
Ricinus communis,-43.417069,-22.590644
Ricinus communis,-51.240625,-30.070593
Ricinus communis,-51.149055,-29.386317
Ricinus communis,-50.650946,-25.469956
Ricinus communis,-36.361664,-7.426675
Ricinus communis,-49.288368,-16.782152
Ricinus communis,-47.770008,-15.909593
Ricinus communis,-53.629841,-26.235935
Ricinus communis,-47.887692,-15.715701
Ricinus communis,-53.360946,-32.557465
Ricinus communis,-49.554703,-14.949546
Ricinus communis,-48.691326,-16.184338
Ricinus communis,-54.812147,-22.338172
Ricinus communis,-54.834084,-22.208971
Ricinus communis,-43.990134,-19.661065
Ricinus communis,-46.578117,-22.533123
Ricinus communis,-48.023171,-16.033032
Ricinus communis,-49.301067,-16.815457
Ricinus communis,-47.554112,-15.425
Ricinus communis,-47.517147,-22.377147
Ricinus communis,-43.205389,-22.933719
Ricinus communis,-38.887584,-6.678719
Ricinus communis,-36.361723,-7.426533
Ricinus communis,-51.066242,-30.033343
Ricinus communis,-43.491463,-20.388199
Ricinus communis,-48.880658,-16.589947
Ricinus communis,-34.948532,-8.312419
Ricinus communis,-42.836389,-22.374833
Ricinus communis,-51.163333,-29.130278
Ricinus communis,-49.451111,-16.644444
