scientific_name,decimalLongitude,decimalLatitude
Roystonea oleracea,-49.373908,-20.824827
Roystonea oleracea,-34.924318,-8.080078
Roystonea oleracea,-47.640108,-22.720653
Roystonea oleracea,-51.785717,3.927682
Roystonea oleracea,-44.530767,-14.175218
Roystonea oleracea,-44.025981,-19.981571
Roystonea oleracea,-47.878008,-15.800154
Roystonea oleracea,-46.627152,-23.639214
Roystonea oleracea,-44.528158,-22.43864
Roystonea oleracea,-43.213135,-22.961054
Roystonea oleracea,-52.666449,-18.393056
Roystonea oleracea,-43.161967,-22.43572
Roystonea oleracea,-48.137802,-21.744082
Roystonea oleracea,-47.057895,-22.927345
Roystonea oleracea,-48.624133,-17.736807
Roystonea oleracea,-52.666449,-18.393056
Roystonea oleracea,-51.726389,-17.888103
Roystonea oleracea,-52.666449,-18.393056
Roystonea oleracea,-52.666449,-18.393056
Roystonea oleracea,-47.408237,-15.582141
Roystonea oleracea,-46.331752,-23.959625
Roystonea oleracea,-43.239862,-22.967753
Roystonea oleracea,-43.554837,-22.984312
Roystonea oleracea,-43.55313,-22.898378
Roystonea oleracea,-43.219842,-22.89825
Roystonea oleracea,-44.946809,-17.348589
Roystonea oleracea,-43.438268,-22.586237
Roystonea oleracea,-43.224444,-22.969722
Roystonea oleracea,-59.850983,-3.067145
Roystonea oleracea,-46.634658,-23.534442
Roystonea oleracea,-43.416039,-22.602214
Roystonea oleracea,-44.228944,-23.152084
Roystonea oleracea,-46.717747,-23.567713
Roystonea oleracea,-46.716667,-23.55
Roystonea oleracea,-46.716667,-23.55
Roystonea oleracea,-48.8082,-25.5105
Roystonea oleracea,-47.0608,-22.9056
