scientific_name,decimalLongitude,decimalLatitude
Rubus ulmifolius,-53.786241,-29.779104
Rubus ulmifolius,-49.165,-26.724722
Rubus ulmifolius,-52.973333,-26.861944
Rubus ulmifolius,-52.973333,-26.861944
Rubus ulmifolius,-47.8,-21.166667
Rubus ulmifolius,-48.089444,-21.453889
Rubus ulmifolius,-49.347278,-25.825
Rubus ulmifolius,-49.112056,-25.35775
Rubus ulmifolius,-49.373333,-28.6725
Rubus ulmifolius,-53.053056,-24.504444
Rubus ulmifolius,-53.053167,-24.504583
Rubus ulmifolius,-52.408611,-24.061667
Rubus ulmifolius,-52.408667,-24.06175
