scientific_name,decimalLongitude,decimalLatitude
Saimiri sciureus,-59.986133,-3.09693
Saimiri sciureus,-35.181684,-8.727363
Saimiri sciureus,-60.924172,-2.637705
Saimiri sciureus,-60.441375,-3.095272
Saimiri sciureus,-59.941902,-3.206929
Saimiri sciureus,-34.963643,-8.064893
Saimiri sciureus,-59.877079,-1.445811
Saimiri sciureus,-60.270348,-3.123889
Saimiri sciureus,-60.02791,-3.215662
Saimiri sciureus,-60.443687,-3.086745
Saimiri sciureus,-59.995275,-3.223853
Saimiri sciureus,-60.434537,-3.099769
Saimiri sciureus,-60.056321,-1.992764
Saimiri sciureus,-59.971789,-2.894114
Saimiri sciureus,-59.966523,-3.079739
Saimiri sciureus,-61.897822,-0.489697
Saimiri sciureus,-35.163894,-8.070876
Saimiri sciureus,-59.986858,-3.097375
Saimiri sciureus,-59.660447,-1.743687
Saimiri sciureus,-54.874168,-2.328782
Saimiri sciureus,-54.873834,-2.328463
Saimiri sciureus,-54.873834,-2.328463
Saimiri sciureus,-54.931991,-2.518014
Saimiri sciureus,-51.056096,0.040522
Saimiri sciureus,-60.664651,-3.299622
Saimiri sciureus,-60.435664,-3.097742
Saimiri sciureus,-60.036494,-2.821767
Saimiri sciureus,-59.892996,-3.206014
Saimiri sciureus,-58.192286,-2.753188
Saimiri sciureus,-54.882362,-2.334483
Saimiri sciureus,-34.974848,-8.053384
Saimiri sciureus,-59.989484,-3.094808
Saimiri sciureus,-59.987812,-3.097481
Saimiri sciureus,-38.438293,-12.872921
Saimiri sciureus,-34.962863,-8.065558
Saimiri sciureus,-54.935474,-2.51768
Saimiri sciureus,-54.883938,-2.334144
Saimiri sciureus,-54.882252,-2.334494
Saimiri sciureus,-60.995454,1.47391
Saimiri sciureus,-34.963061,-8.065035
Saimiri sciureus,-60.032222,-3.21
Saimiri sciureus,-60.42439,-3.136654
Saimiri sciureus,-59.988505,-3.095208
Saimiri sciureus,-34.962861,-8.065564
Saimiri sciureus,-59.985255,-3.097886
Saimiri sciureus,-59.985212,-3.097911
Saimiri sciureus,-35.171014,-8.731451
Saimiri sciureus,-52.526837,-0.86621
Saimiri sciureus,-59.892648,-1.828092
Saimiri sciureus,-54.8823,-2.334295
Saimiri sciureus,-60.012634,-3.224698
Saimiri sciureus,-43.232708,-22.97274
Saimiri sciureus,-60.81457,-2.687717
Saimiri sciureus,-35.742098,-9.614278
Saimiri sciureus,-43.222283,-22.963785
Saimiri sciureus,-59.939167,-3.147778
Saimiri sciureus,-60.021731,-3.119027
Saimiri sciureus,-59.98709,-3.097325
Saimiri sciureus,-43.225038,-22.967372
Saimiri sciureus,-56.376652,-1.462679
Saimiri sciureus,-58.928412,-3.235674
Saimiri sciureus,-59.997643,-3.225243
Saimiri sciureus,-60.835,-2.519
Saimiri sciureus,-59.741197,-3.134012
Saimiri sciureus,-60.04618,-3.26694
Saimiri sciureus,-60.056308,-3.271409
Saimiri sciureus,-60.185586,-3.279953
Saimiri sciureus,-59.995767,-3.223047
Saimiri sciureus,-59.995435,-3.223616
Saimiri sciureus,-51.070535,0.035574
Saimiri sciureus,-60.021731,-3.119027
Saimiri sciureus,-59.997716,-3.224234
Saimiri sciureus,-59.997699,-3.224299
Saimiri sciureus,-59.997794,-3.223903
Saimiri sciureus,-60.707035,-3.230199
Saimiri sciureus,-60.478545,-3.304195
Saimiri sciureus,-55.19,-0.17
Saimiri sciureus,-55.19,-0.17
Saimiri sciureus,-55.19,-0.17
Saimiri sciureus,-53.24,-0.94
Saimiri sciureus,-53.24,-0.94
Saimiri sciureus,-53.24,-0.94
Saimiri sciureus,-55.901527,-9.540658
Saimiri sciureus,-54,1.83
Saimiri sciureus,-54,1.83
Saimiri sciureus,-53.11,0.28
Saimiri sciureus,-53.11,0.28
Saimiri sciureus,-56.16,-2.48
Saimiri sciureus,-59.47,-1.89
Saimiri sciureus,-51,1.68
Saimiri sciureus,-51,1.68
Saimiri sciureus,-51,1.68
Saimiri sciureus,-72.8,-8.566667
Saimiri sciureus,-70.083333,-6.833333
Saimiri sciureus,-55.86,-0.66
Saimiri sciureus,-55.86,-0.66
Saimiri sciureus,-52.5,-0.66
Saimiri sciureus,-52.5,-0.66
Saimiri sciureus,-52.5,-0.66
Saimiri sciureus,-54.78,-1.98
Saimiri sciureus,-54.67,-4
Saimiri sciureus,-47.48333,-5.53333
Saimiri sciureus,-47.48333,-5.53333
Saimiri sciureus,-47.48333,-5.53333
Saimiri sciureus,-49.5,-1
Saimiri sciureus,-49.52378,-7.7687
Saimiri sciureus,-49.52378,-7.7687
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-54.066666,-2.016667
Saimiri sciureus,-49.61227,-0.87951
Saimiri sciureus,-49.61227,-0.87951
Saimiri sciureus,-49.61227,-0.87951
Saimiri sciureus,-49.61227,-0.87951
Saimiri sciureus,-49.61227,-0.87951
Saimiri sciureus,-49.61227,-0.87951
Saimiri sciureus,-58.366667,-3.1
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-70.316667,-6.55
Saimiri sciureus,-70.316667,-6.55
Saimiri sciureus,-70.316667,-6.55
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-69.966667,-6.633333
Saimiri sciureus,-55.316667,-1.95
Saimiri sciureus,-55.316667,-1.95
Saimiri sciureus,-55.316667,-1.95
Saimiri sciureus,-62,-3.916667
Saimiri sciureus,-62,-3.916667
Saimiri sciureus,-62,-3.916667
Saimiri sciureus,-62,-3.916667
Saimiri sciureus,-62,-3.916667
Saimiri sciureus,-62,-3.916667
Saimiri sciureus,-62,-3.916667
Saimiri sciureus,-61.35,-3.9
Saimiri sciureus,-61.35,-3.9
Saimiri sciureus,-61.383333,-4.05
Saimiri sciureus,-58.366667,-3.1
Saimiri sciureus,-58.366667,-3.1
Saimiri sciureus,-57.6,-2.633333
Saimiri sciureus,-55.25,-1.8
Saimiri sciureus,-55.25,-1.8
Saimiri sciureus,-55.25,-1.8
Saimiri sciureus,-55.30848,-1.95397
Saimiri sciureus,-55.30848,-1.95397
Saimiri sciureus,-55.30848,-1.95397
Saimiri sciureus,-55.1262,-3.08828
Saimiri sciureus,-68,-3
Saimiri sciureus,-68,-3
Saimiri sciureus,-63.135132,-4.07883
Saimiri sciureus,-60.966667,2.183333
Saimiri sciureus,-60.966667,2.183333
Saimiri sciureus,-48.5,-0.333333
Saimiri sciureus,-48.5,-0.333333
Saimiri sciureus,-52.592561,-6.140576
Saimiri sciureus,-61.63281,-4.67409
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-37.75,-8.33333
Saimiri sciureus,-55.30848,-1.95397
Saimiri sciureus,-55.30848,-1.95397
Saimiri sciureus,-49.61227,-0.87951
Saimiri sciureus,-49.61227,-0.87951
Saimiri sciureus,-49.61227,-0.87951
Saimiri sciureus,-41.53552,-13.27808
Saimiri sciureus,-64.72054,-3.36841
Saimiri sciureus,-69.93502,-4.2328
Saimiri sciureus,-60.00262,-3.15927
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-54.0332,-12.49964
Saimiri sciureus,-56.79,-1.46
Saimiri sciureus,-58.33,-2.02
