scientific_name,decimalLongitude,decimalLatitude
Salminus brasiliensis,-51.407731,-28.560005
Salminus brasiliensis,-56.780804,-29.431604
Salminus brasiliensis,-42.029956,-20.917868
Salminus brasiliensis,-51.851478,-24.509358
Salminus brasiliensis,-53.835666,-21.84397
Salminus brasiliensis,-44.540502,-14.180732
Salminus brasiliensis,-56.442107,-21.438039
Salminus brasiliensis,-56.442215,-21.165988
Salminus brasiliensis,-53.282489,-26.917952
Salminus brasiliensis,-48.38282,-20.535905
Salminus brasiliensis,-56.43592,-21.437005
Salminus brasiliensis,-56.445435,-21.438413
Salminus brasiliensis,-56.438559,-21.437872
Salminus brasiliensis,-56.435962,-21.436856
Salminus brasiliensis,-56.435962,-21.436856
Salminus brasiliensis,-53.101536,-24.637038
Salminus brasiliensis,-56.220038,-21.463763
Salminus brasiliensis,-56.487894,-21.12821
Salminus brasiliensis,-56.446058,-21.173498
Salminus brasiliensis,-53.257222,-22.764722
Salminus brasiliensis,-57.018333,-19.577222
Salminus brasiliensis,-57.018333,-19.577222
Salminus brasiliensis,-57.018333,-19.577222
Salminus brasiliensis,-57.018333,-19.577222
Salminus brasiliensis,-57.018333,-19.577222
Salminus brasiliensis,-57.018333,-19.577222
Salminus brasiliensis,-57.018333,-19.577222
Salminus brasiliensis,-57.018333,-19.577222
Salminus brasiliensis,-57.018333,-19.577222
Salminus brasiliensis,-57.260056,-30.267741
Salminus brasiliensis,-48.17836,-21.081661
Salminus brasiliensis,-54.549444,-25.446944
Salminus brasiliensis,-40.06942,-19.4064
Salminus brasiliensis,-54.973856,-16.458489
Salminus brasiliensis,-54.523744,-16.487756
Salminus brasiliensis,-56.655556,-29.424722
Salminus brasiliensis,-56.754165,-29.410556
Salminus brasiliensis,-57.018056,-19.576667
Salminus brasiliensis,-57.018056,-19.576667
Salminus brasiliensis,-57.018056,-19.576667
Salminus brasiliensis,-56.107896,-21.528444
Salminus brasiliensis,-53.494333,-18.006556
Salminus brasiliensis,-56.666111,-29.425
Salminus brasiliensis,-54.973856,-16.458489
Salminus brasiliensis,-56.026944,-28.609444
Salminus brasiliensis,-53.37675,-27.094167
Salminus brasiliensis,-53.37675,-27.094167
Salminus brasiliensis,-56.446058,-21.173498
Salminus brasiliensis,-40.013333,-19.691389
Salminus brasiliensis,-54.896389,-27.700278
Salminus brasiliensis,-55.429167,-28.080278
Salminus brasiliensis,-56.352522,-28.946525
Salminus brasiliensis,-56.563278,-29.116444
Salminus brasiliensis,-56.563278,-29.116444
Salminus brasiliensis,-56.351639,-28.945917
Salminus brasiliensis,-56.352522,-28.946525
