scientific_name,decimalLongitude,decimalLatitude
Salminus franciscanus,-44.259037,-15.419517
Salminus franciscanus,-44.259037,-15.419517
Salminus franciscanus,-44.259037,-15.419517
Salminus franciscanus,-40.614444,-19.616111
Salminus franciscanus,-44.560278,-13.331389
Salminus franciscanus,-44.336667,-13.398056
Salminus franciscanus,-43.438333,-13.487222
Salminus franciscanus,-43.438333,-13.487222
Salminus franciscanus,-43.428333,-13.448889
Salminus franciscanus,-44.9355,-17.215806
Salminus franciscanus,-44.9355,-17.215806
Salminus franciscanus,-44.9355,-17.215806
Salminus franciscanus,-44.9355,-17.215806
Salminus franciscanus,-44.9355,-17.215806
Salminus franciscanus,-44.9355,-17.215806
Salminus franciscanus,-43.438333,-13.487222
Salminus franciscanus,-43.443333,-13.5475
Salminus franciscanus,-43.428333,-13.448889
Salminus franciscanus,-39.777544,-19.482892
Salminus franciscanus,-44.9507,-17.339444
Salminus franciscanus,-44.96,-17.34
Salminus franciscanus,-44.96,-17.34
Salminus franciscanus,-44.956,-17.339
Salminus franciscanus,-44.956,-17.339
Salminus franciscanus,-45.251667,-18.185833
Salminus franciscanus,-46.105833,-15.916944
Salminus franciscanus,-56.4396,-21.1626
Salminus franciscanus,-44.18,-17.9925
Salminus franciscanus,-45.1,-16.466667
Salminus franciscanus,-44.637,-15.672
Salminus franciscanus,-44.637,-15.672
Salminus franciscanus,-44.637,-15.672
Salminus franciscanus,-44.637,-15.672
Salminus franciscanus,-44.637,-15.672
Salminus franciscanus,-44.637,-15.672
Salminus franciscanus,-44.637,-15.672
Salminus franciscanus,-44.64,-15.67
Salminus franciscanus,-44.64,-15.67
Salminus franciscanus,-44.64,-15.67
Salminus franciscanus,-44.64,-15.67
Salminus franciscanus,-44.64,-15.67
Salminus franciscanus,-44.64,-15.67
Salminus franciscanus,-44.64,-15.67
Salminus franciscanus,-45.694,-16.152
Salminus franciscanus,-45.69,-16.15
Salminus franciscanus,-43.157222,-11.102222
Salminus franciscanus,-44.572222,-17.9125
Salminus franciscanus,-44.188889,-18.415556
Salminus franciscanus,-45.253132,-18.198451
Salminus franciscanus,-44.5,-19.633333
Salminus franciscanus,-43.95,-19.45
Salminus franciscanus,-43.95,-19.45
Salminus franciscanus,-44.753333,-15.513333
Salminus franciscanus,-43.766667,-14.75
Salminus franciscanus,-45.733333,-18.4
Salminus franciscanus,-44.95,-17.433333
Salminus franciscanus,-44.95,-17.433333
Salminus franciscanus,-44.95,-17.433333
Salminus franciscanus,-45.283333,-18.5
Salminus franciscanus,-43.183333,-11.25
Salminus franciscanus,-45.283333,-18.5
Salminus franciscanus,-44.966667,-17.333333
Salminus franciscanus,-44.966667,-17.333333
Salminus franciscanus,-36.588155,-10.290511
Salminus franciscanus,-36.588155,-10.290511
Salminus franciscanus,-43.140574,-11.096473
Salminus franciscanus,-43.145381,-11.096473
Salminus franciscanus,-40.50765,-9.406985
Salminus franciscanus,-44.95496,-17.33615
Salminus franciscanus,-44.83,-17.23
Salminus franciscanus,-44.84,-17.21
Salminus franciscanus,-44.303611,-13.587778
Salminus franciscanus,-44.066111,-15.099722
Salminus franciscanus,-44.606389,-15.682222
Salminus franciscanus,-43.145381,-11.096473
Salminus franciscanus,-45.284,-18.338
Salminus franciscanus,-45.86,-17.148
Salminus franciscanus,-43.908,-13.297
Salminus franciscanus,-45.28,-18.34
Salminus franciscanus,-45.28,-18.34
Salminus franciscanus,-45.284,-18.338
Salminus franciscanus,-45.284,-18.338
Salminus franciscanus,-44.954791,-17.336154
