scientific_name,decimalLongitude,decimalLatitude
Schizolobium parahyba,-67.672128,-9.750913
Schizolobium parahyba,-47.873533,-21.987578
Schizolobium parahyba,-42.965732,-22.452479
Schizolobium parahyba,-44.70344,-23.171576
Schizolobium parahyba,-46.021331000000004,-23.422142
Schizolobium parahyba,-44.358634,-22.730734000000002
Schizolobium parahyba,-44.358805,-22.730444
Schizolobium parahyba,-43.371024,-21.734078
Schizolobium parahyba,-43.998751,-19.886081
Schizolobium parahyba,-44.008747,-19.858338
Schizolobium parahyba,-43.896705,-19.926699
Schizolobium parahyba,-43.998858,-19.886097
Schizolobium parahyba,-43.971933,-19.874176
Schizolobium parahyba,-52.329242,-23.895407
Schizolobium parahyba,-52.328812,-23.895409
Schizolobium parahyba,-51.091791,-29.550224
Schizolobium parahyba,-41.273802,-20.740232
Schizolobium parahyba,-43.598969,-22.929817
Schizolobium parahyba,-51.926389,-23.428333
Schizolobium parahyba,-43.489212,-22.953238
Schizolobium parahyba,-42.037419,-22.41553
Schizolobium parahyba,-44.130967,-23.159283
Schizolobium parahyba,-48.754405,-17.779417
Schizolobium parahyba,-43.576781,-22.894392
Schizolobium parahyba,-49.239451,-16.700416
Schizolobium parahyba,-43.993273,-22.91616
Schizolobium parahyba,-49.078147,-26.904375
Schizolobium parahyba,-43.276101,-22.566924
Schizolobium parahyba,-49.282857,-26.823246
Schizolobium parahyba,-48.919477,-27.247416
Schizolobium parahyba,-49.187249,-26.739893
Schizolobium parahyba,-49.078914,-26.905072
Schizolobium parahyba,-49.078925,-26.905084
Schizolobium parahyba,-47.932333,-15.803958
Schizolobium parahyba,-46.021293,-23.422424
Schizolobium parahyba,-42.670436,-21.531433
Schizolobium parahyba,-43.697078,-22.75968
Schizolobium parahyba,-48.42568,-27.540123
Schizolobium parahyba,-44.141262,-23.144163
Schizolobium parahyba,-44.154541,-23.13891
Schizolobium parahyba,-52.428491,-29.661354
Schizolobium parahyba,-43.402338,-22.905338
Schizolobium parahyba,-48.823189,-28.334042
Schizolobium parahyba,-46.717195,-23.56733
Schizolobium parahyba,-40.347025,-20.455402
Schizolobium parahyba,-46.72946,-23.55962
Schizolobium parahyba,-49.085973,-27.057347
Schizolobium parahyba,-49.07487,-26.935092
Schizolobium parahyba,-48.65825,-26.845787
Schizolobium parahyba,-42.042302,-20.962874
Schizolobium parahyba,-45.316093,-21.859419
Schizolobium parahyba,-46.662628,-23.581745
Schizolobium parahyba,-40.668192,-18.804641
Schizolobium parahyba,-43.189867,-22.439353
Schizolobium parahyba,-43.189217,-22.439782
Schizolobium parahyba,-43.449458,-22.902625
Schizolobium parahyba,-43.544013,-22.888203
Schizolobium parahyba,-49.283945,-26.82675
Schizolobium parahyba,-46.559298,-23.635391
Schizolobium parahyba,-53.846223,-24.261951
Schizolobium parahyba,-46.668762,-23.583083
Schizolobium parahyba,-43.044504,-22.545507
Schizolobium parahyba,-49.079768,-26.90613
Schizolobium parahyba,-46.712229,-23.559697
Schizolobium parahyba,-49.071733,-26.916476
Schizolobium parahyba,-49.248373,-25.410941
Schizolobium parahyba,-51.434348,-22.058595
Schizolobium parahyba,-46.711736,-23.560397
Schizolobium parahyba,-46.031053,-22.856269
Schizolobium parahyba,-48.987899,-26.947937
Schizolobium parahyba,-46.996453,-22.949516
Schizolobium parahyba,-43.277738,-22.958162
Schizolobium parahyba,-48.871363,-27.018586
Schizolobium parahyba,-44.24573,-21.124955
Schizolobium parahyba,-48.898598,-23.093828
Schizolobium parahyba,-48.413308,-22.962412
Schizolobium parahyba,-48.673199,-28.046657
Schizolobium parahyba,-46.65933,-23.586993
Schizolobium parahyba,-49.086097,-27.057122
Schizolobium parahyba,-43.685084,-22.769235
Schizolobium parahyba,-43.425888,-23.001858
Schizolobium parahyba,-43.40053,-22.865005
Schizolobium parahyba,-47.897818,-21.998942
Schizolobium parahyba,-43.445953,-22.904733
Schizolobium parahyba,-43.447455,-22.900987
Schizolobium parahyba,-42.307514,-22.326348
Schizolobium parahyba,-49.086071,-27.05721
Schizolobium parahyba,-49.080438,-26.906606
Schizolobium parahyba,-47.925387,-15.780097
Schizolobium parahyba,-48.92525,-27.057136
Schizolobium parahyba,-48.6624,-26.843803
Schizolobium parahyba,-48.667045,-26.847803
Schizolobium parahyba,-47.918193,-15.826679
Schizolobium parahyba,-41.370008,-19.347422
Schizolobium parahyba,-67.968958,-9.930512
Schizolobium parahyba,-46.994324,-24.241809
Schizolobium parahyba,-46.72762,-23.503756
Schizolobium parahyba,-56.101532,-9.911097
Schizolobium parahyba,-49.272649,-26.825549
Schizolobium parahyba,-47.915658,-15.704013
Schizolobium parahyba,-48.4649,-27.564472
Schizolobium parahyba,-47.419053,-22.620545
Schizolobium parahyba,-47.41908,-22.620782
