Species,decimalLongitude,decimalLatitude
Scinax x-signatus,-34.884274,-7.841332
Scinax x-signatus,-48.078472,-16.017345
Scinax x-signatus,-40.917683,-5.140725
Scinax x-signatus,-40.915351,-5.137249
Scinax x-signatus,-35.128229,-8.68154
Scinax x-signatus,-40.917605,-5.144622
Scinax x-signatus,-38.603579,-3.937556
Scinax x-signatus,-35.108909,-7.401121
Scinax x-signatus,-36.548927,-6.274188
Scinax x-signatus,-39.039883,-5.075217
Scinax x-signatus,-38.087908,-7.8709
Scinax x-signatus,-39.299732,-6.365351
Scinax x-signatus,-34.913368,-7.238634
Scinax x-signatus,-36.049875,-5.69073
Scinax x-signatus,-37.754315,-4.936618
Scinax x-signatus,-37.755381,-4.943024
Scinax x-signatus,-38.993598,-4.317354
Scinax x-signatus,-41.753718,-2.909609
Scinax x-signatus,-36.292005,-6.195781
Scinax x-signatus,-42.797175,-5.055617
Scinax x-signatus,-35.990644,-7.243932
Scinax x-signatus,-36.346733,-6.509973
Scinax x-signatus,-43.226868,-22.973874
Scinax x-signatus,-47.440029,-21.977216
Scinax x-signatus,-35.775472,-9.558006
Scinax x-signatus,-35.223515,-5.930694
Scinax x-signatus,-40.417868,-3.619963
Scinax x-signatus,-39.312803,-6.379687
Scinax x-signatus,-35.173155,-7.931875
Scinax x-signatus,-40.482866,-19.866321
Scinax x-signatus,-39.296421,-6.354818
Scinax x-signatus,-38.713721,-4.217994
Scinax x-signatus,-47.061107,-1.743679
Scinax x-signatus,-37.335487,-5.219543
Scinax x-signatus,-47.0626,-1.753781
Scinax x-signatus,-39.01599,-9.944865
Scinax x-signatus,-47.062317,-1.754372
Scinax x-signatus,-38.603362,-3.939775
Scinax x-signatus,-36.282544,-6.199077
Scinax x-signatus,-40.207596,-14.365143
Scinax x-signatus,-38.885369,-6.677343
Scinax x-signatus,-42.723106,-14.171216
Scinax x-signatus,-38.490319,-4.090806
Scinax x-signatus,-37.325929,-5.201809
Scinax x-signatus,-36.024911,-5.705457
Scinax x-signatus,-36.100003,-5.588492
Scinax x-signatus,-38.604163,-3.93809
Scinax x-signatus,-38.6062,-3.936764
