scientific_name,decimalLongitude,decimalLatitude
Sechium edule,-51.819458,-23.361889
Sechium edule,-51.17517,-26.255175
Sechium edule,-49.808686,-25.416693
Sechium edule,-43.163107,-22.43848
Sechium edule,-49.115037,-26.850367
Sechium edule,-49.283853,-25.568406
Sechium edule,-46.65032,-23.702883
Sechium edule,-46.621555,-23.505139
Sechium edule,-42.994965,-22.498114
Sechium edule,-50.869094,-29.733084
Sechium edule,-49.012545,-27.673475
Sechium edule,-39.108611,-12.123889
Sechium edule,-45.272197,-21.66392
Sechium edule,-49.253806,-25.382044
Sechium edule,-48.404847,-27.417867
Sechium edule,-53.647473,-25.777248
Sechium edule,-48.503265,-24.166731
Sechium edule,-47.949436,-24.175923
Sechium edule,-48.84883,-26.162807
Sechium edule,-46.738492,-23.435989
Sechium edule,-46.738511,-23.436419
Sechium edule,-46.629819,-23.456003
Sechium edule,-52.349722,-24.009167
Sechium edule,-52.481111,-24.578056
Sechium edule,-52.34975,-24.009389
Sechium edule,-52.481306,-24.578111
Sechium edule,-49.082909,-26.924172
Sechium edule,-48.875523,-27.399866
Sechium edule,-46.299437,-18.997658
Sechium edule,-50.797614,-29.774212
Sechium edule,-45.558452,-22.731978
Sechium edule,-46.140557,-23.48036
Sechium edule,-36.685478,-9.48367
Sechium edule,-46.305232,-23.778737
Sechium edule,-49.254938,-25.3888
Sechium edule,-49.19083,-25.562374
Sechium edule,-49.136882,-16.756886
Sechium edule,-49.287415,-25.528973
Sechium edule,-46.93625,-21.363798
Sechium edule,-48.676757,-26.769785
Sechium edule,-49.385732,-26.874982
Sechium edule,-39.695,-15.444167
Sechium edule,-43.241553,-22.910807
Sechium edule,-48.4709,-27.642416
Sechium edule,-49.354472,-25.443195
Sechium edule,-44.534746,-23.014771
Sechium edule,-49.573836,-25.477316
Sechium edule,-49.573836,-25.477316
Sechium edule,-43.088371,-22.825169
Sechium edule,-43.307232,-22.578874
Sechium edule,-40.837,-20.129722
Sechium edule,-43.508056,-20.2875
Sechium edule,-43.416111,-20.377778
Sechium edule,-45.0475,-23.1
Sechium edule,-43.223222,-20.307556
Sechium edule,-39.4,-15.55
Sechium edule,-39.4,-15.55
Sechium edule,-53.124167,-25.571389
Sechium edule,-49.283246,-25.377181
Sechium edule,-39.334167,-15.429444
Sechium edule,-53.296111,-25.698611
Sechium edule,-43.293611,-20.230278
Sechium edule,-49.036944,-26.773333
Sechium edule,-49.036944,-26.773333
Sechium edule,-49.2394,-25.4469
Sechium edule,-57.231611,-15.648028
Sechium edule,-53.866944,-25.203889
Sechium edule,-53.867028,-25.203889
Sechium edule,-54.48524,-25.612295
Sechium edule,-39.038056,-14.840278
Sechium edule,-41.862222,-17.069444
Sechium edule,-43.5025,-20.381667
Sechium edule,-49.031944,-26.776667
Sechium edule,-49.031944,-26.776667
Sechium edule,-39.240278000000004,-14.76
Sechium edule,-39.42,-15.48
Sechium edule,-49.114722,-27.021944
Sechium edule,-49.114722,-27.021944
Sechium edule,-38.883333,-12.883333
Sechium edule,-38.883333,-12.366667
Sechium edule,-49.411389,-26.784167
Sechium edule,-49.411389,-26.784167
Sechium edule,-43.302778000000004,-20.230833
Sechium edule,-56.086111,-15.620528
Sechium edule,-46.869722,-23.869722
Sechium edule,-49.151833,-25.340472
Sechium edule,-47.85,-21.166667
Sechium edule,-39.344167,-13.378611
Sechium edule,-39.292222,-13.905278
Sechium edule,-39.292222,-13.905278
Sechium edule,-39.344167,-13.378611
Sechium edule,-51.717222,-17.923056
Sechium edule,-52.326667,-24.103889
Sechium edule,-52.326667,-24.104
Sechium edule,-37.79,-11.273889
Sechium edule,-45.1761,-22.6136
Sechium edule,-43.178611,-22.505
Sechium edule,-43.1786,-22.505
Sechium edule,-43.178611,-22.505
Sechium edule,-45.1764884,-22.6140787
Sechium edule,-45.31,-23.2217
Sechium edule,-47.459167,-20.259167
Sechium edule,-47.459167,-20.259167
Sechium edule,-47.387222,-20.161389
Sechium edule,-47.387222,-20.161389
Sechium edule,-46.6577974,-23.586877
Sechium edule,-46,-22
Sechium edule,-46,-22
Sechium edule,-43.4875,-19.946389
Sechium edule,-43.4875,-19.946389
Sechium edule,-43.4875,-19.946389
Sechium edule,-43.4875,-19.946389
Sechium edule,-40.601944,-19.906111
Sechium edule,-40.601944,-19.906111
Sechium edule,-51.118389,-30.046583
Sechium edule,-50.4224,-27.3006
Sechium edule,-43.938056,-19.921389
