scientific_name,decimalLongitude,decimalLatitude
Selaginella kraussiana,-51.665747,-26.124635
Selaginella kraussiana,-38.213117,-11.124692
Selaginella kraussiana,-43.293611,-20.230278
Selaginella kraussiana,-38.057222,-11.442778
Selaginella kraussiana,-38.057278,-11.442639
Selaginella kraussiana,-38.225556,-11.058889
Selaginella kraussiana,-38.225611,-11.058972
Selaginella kraussiana,-48.525278,-27.602778
Selaginella kraussiana,-46.56,-23.69
Selaginella kraussiana,-45.5903324,-22.7338533
Selaginella kraussiana,-46.622222,-23.642778
Selaginella kraussiana,-46.622105,-23.64266
Selaginella kraussiana,-46.63,-23.54
Selaginella kraussiana,-46.63,-23.540278
Selaginella kraussiana,-46.63,-23.54
Selaginella kraussiana,-46.6304064,-23.5441636
Selaginella kraussiana,-52.8731,-10.8339
Selaginella kraussiana,-46.621944,-23.654444
Selaginella kraussiana,-46.621883,-23.654505
Selaginella kraussiana,-48.8461717,-26.3082961
Selaginella kraussiana,-48.8461717,-26.3082961
Selaginella kraussiana,-53.08982,-10.773109
Selaginella kraussiana,-45.59,-22.73
Selaginella kraussiana,-48.845556,-26.304444
Selaginella kraussiana,-48.845556,-26.304444
