scientific_name,decimalLongitude,decimalLatitude
Senecio madagascariensis,-51.12702,-30.060098
Senecio madagascariensis,-51.177306,-30.053083
Senecio madagascariensis,-46.532587,-23.676888
Senecio madagascariensis,-51.121758,-30.065908
Senecio madagascariensis,-51.104242,-30.005458
Senecio madagascariensis,-51.10242,-30.004439
Senecio madagascariensis,-52.039213,-32.041702
Senecio madagascariensis,-46.57069,-22.747293
Senecio madagascariensis,-50.524006,-29.837353
Senecio madagascariensis,-49.112172,-27.650406
Senecio madagascariensis,-57.5531,-30.209004
Senecio madagascariensis,-50.79212,-29.396913
Senecio madagascariensis,-49.478683,-26.742783
Senecio madagascariensis,-46.317304,-23.508903
Senecio madagascariensis,-51.112373,-30.027231
Senecio madagascariensis,-52.484646,-31.542264
Senecio madagascariensis,-51.15824,-30.156726
Senecio madagascariensis,-49.727143,-25.298978
Senecio madagascariensis,-51.158248,-30.159002
Senecio madagascariensis,-50.994753,-29.939811
Senecio madagascariensis,-50.840633,-30.138367
Senecio madagascariensis,-43.510762,-20.396704
Senecio madagascariensis,-48.484976,-27.685984
Senecio madagascariensis,-51.218136,-30.037454
Senecio madagascariensis,-52.319529,-31.802086
Senecio madagascariensis,-45.531276,-22.756529
Senecio madagascariensis,-51.681389,-30.100278
Senecio madagascariensis,-57.488033,-30.202375
Senecio madagascariensis,-49.377656,-25.606426
Senecio madagascariensis,-46.529269,-23.676301
Senecio madagascariensis,-50.256117,-29.903039
Senecio madagascariensis,-49.355886,-28.715615
Senecio madagascariensis,-49.477222,-25.299167
Senecio madagascariensis,-50.776389,-30.1075
Senecio madagascariensis,-49.477222,-25.299167
Senecio madagascariensis,-50.265833,-29.886389
Senecio madagascariensis,-49.235648,-25.446739
Senecio madagascariensis,-51.684217,-30.107428
Senecio madagascariensis,-51.684217,-30.107428
Senecio madagascariensis,-50.507629,-30.146485
Senecio madagascariensis,-49.516111,-25.459722
Senecio madagascariensis,-51.065233,-30.037346
Senecio madagascariensis,-49.640002,-25.47423
Senecio madagascariensis,-52.224792,-31.775425
Senecio madagascariensis,-51.233489,-30.045838
Senecio madagascariensis,-52.224747,-31.775392
Senecio madagascariensis,-49.191667,-25.480833
Senecio madagascariensis,-49.191667,-25.480833
Senecio madagascariensis,-57.846944,-30.339167
Senecio madagascariensis,-50.507339,-30.146783
Senecio madagascariensis,-50.281883,-29.94937
Senecio madagascariensis,-50.278595,-29.948926
Senecio madagascariensis,-50.891836,-30.090907
Senecio madagascariensis,-50.869979,-30.081289
Senecio madagascariensis,-50.262032,-29.892234
Senecio madagascariensis,-49.317797,-28.697776
Senecio madagascariensis,-48.438333,-22.859722
Senecio madagascariensis,-50.127173,-25.126948
Senecio madagascariensis,-52.225833,-31.778611
Senecio madagascariensis,-49.217222,-25.421389
Senecio madagascariensis,-49.150833,-27.686389
Senecio madagascariensis,-50.255624,-29.903774
Senecio madagascariensis,-51.38816,-30.667871
Senecio madagascariensis,-51.295833,-30.570278
Senecio madagascariensis,-49.775,-29.309444
Senecio madagascariensis,-50.158333,-29.691111
Senecio madagascariensis,-50.369444,-30.017222
Senecio madagascariensis,-52.913056,-30.041111
Senecio madagascariensis,-50.599906,-25.252708
Senecio madagascariensis,-51.499444,-30.950833
Senecio madagascariensis,-49.6391,-25.4534
Senecio madagascariensis,-50.110053,-28.154928
Senecio madagascariensis,-50.11005,-28.154925
Senecio madagascariensis,-50.110047,-28.154922
Senecio madagascariensis,-49.2375,-25.443611
Senecio madagascariensis,-46.625,-22.956944
Senecio madagascariensis,-52.908611,-31.979444
Senecio madagascariensis,-49.191389,-25.482222
Senecio madagascariensis,-50.090469,-29.403306
Senecio madagascariensis,-51.361667,-30.527222
Senecio madagascariensis,-50.273889,-24.632222
Senecio madagascariensis,-50.273889,-24.632222
Senecio madagascariensis,-49.2375,-25.443611
Senecio madagascariensis,-56.52,-29.52
Senecio madagascariensis,-50.212778,-29.976944
Senecio madagascariensis,-50.212778,-29.976944
Senecio madagascariensis,-50.212778,-29.976944
Senecio madagascariensis,-50.221944,-29.898611
Senecio madagascariensis,-50.221944,-29.898611
Senecio madagascariensis,-50.221944,-29.898611
Senecio madagascariensis,-50.221944,-29.898611
Senecio madagascariensis,-50.212778,-29.973611
Senecio madagascariensis,-50.221944,-29.898611
Senecio madagascariensis,-50.222028,-29.898639
Senecio madagascariensis,-52.402984,-26.883502
Senecio madagascariensis,-49.638889,-25.471944
Senecio madagascariensis,-49.638889,-25.471944
Senecio madagascariensis,-49.1426,-25.2652
Senecio madagascariensis,-48.953333,-26.036667
Senecio madagascariensis,-48.953333,-26.036667
Senecio madagascariensis,-51.363333,-30.529444
Senecio madagascariensis,-49.999167,-25.233333
Senecio madagascariensis,-51.363056,-30.529444
Senecio madagascariensis,-51.361667,-30.527222
Senecio madagascariensis,-51.363333,-30.529444
Senecio madagascariensis,-49.013889,-25.516111
Senecio madagascariensis,-49.013889,-25.516111
Senecio madagascariensis,-49.013889,-25.516111
Senecio madagascariensis,-51.363333,-30.529444
Senecio madagascariensis,-50.701944,-29.890278
Senecio madagascariensis,-50.213056,-29.751389
