scientific_name,decimalLongitude,decimalLatitude
Serrasalmus maculatus,-51.96945,-22.572768
Serrasalmus maculatus,-51.181828,-23.321613
Serrasalmus maculatus,-56.810899,-29.470116
Serrasalmus maculatus,-51.181796,-23.321565
Serrasalmus maculatus,-60.182638,-3.343008
Serrasalmus maculatus,-53.991451,-21.778604
Serrasalmus maculatus,-56.153126,-19.578289
Serrasalmus maculatus,-56.613179,-20.085318
Serrasalmus maculatus,-56.5986,-20.0982
Serrasalmus maculatus,-57.059695,-20.535607
Serrasalmus maculatus,-47.596667,-23.424167
Serrasalmus maculatus,-48.697963,-23.407174
Serrasalmus maculatus,-47.596944,-23.423889
Serrasalmus maculatus,-56.388333,-20.263056
Serrasalmus maculatus,-57.018333,-19.577222
Serrasalmus maculatus,-57.018333,-19.577222
Serrasalmus maculatus,-57.018333,-19.577222
Serrasalmus maculatus,-48.413301,-14.008115
Serrasalmus maculatus,-49.9306689,-22.9141315
Serrasalmus maculatus,-57.038056,-19.576389
Serrasalmus maculatus,-55.826182,-20.460187
Serrasalmus maculatus,-49.440278,-22.16
Serrasalmus maculatus,-53.096128,-22.559525
Serrasalmus maculatus,-54.897475,-22.256519
Serrasalmus maculatus,-47.221969,-21.88437
Serrasalmus maculatus,-54.549444,-25.446944
Serrasalmus maculatus,-53.275833,-22.710556
Serrasalmus maculatus,-49.1932008,-21.7643862
Serrasalmus maculatus,-56.081389,-19.790833
Serrasalmus maculatus,-56.153611,-19.581111
Serrasalmus maculatus,-53.014222,-22.522778
Serrasalmus maculatus,-53.014222,-22.522778
Serrasalmus maculatus,-47.5304851,-21.7976044
Serrasalmus maculatus,-47.3678593,-21.9270812
Serrasalmus maculatus,-47.7981443,-22.6713224
Serrasalmus maculatus,-53.035,-27.083333
Serrasalmus maculatus,-56.655556,-29.424722
Serrasalmus maculatus,-57.05389,-19.31667
Serrasalmus maculatus,-58.507028,-3.086639
Serrasalmus maculatus,-57.018333,-19.576667
Serrasalmus maculatus,-55.216667,-19.75
Serrasalmus maculatus,-53.891364,-27.16169
Serrasalmus maculatus,-56.86813,-16.751457
Serrasalmus maculatus,-57.018056,-19.576667
Serrasalmus maculatus,-55.628611,-19.507778
Serrasalmus maculatus,-55.612222,-19.504167
Serrasalmus maculatus,-59.928333,-3.156111
Serrasalmus maculatus,-47.3678593,-21.9270812
Serrasalmus maculatus,-46.9595176,-22.2690132
