scientific_name,decimalLongitude,decimalLatitude
Sesbania virgata,-52.681944,-32.120556
Sesbania virgata,-57.453961,-19.615586
Sesbania virgata,-57.453889,-19.615556
Sesbania virgata,-48.4325,-22.911389
Sesbania virgata,-48.4325,-22.911389
Sesbania virgata,-48.4325,-22.911389
Sesbania virgata,-48.764685,-28.396196
Sesbania virgata,-48.604683,-27.0022
Sesbania virgata,-48.740475000000004,-28.351094
Sesbania virgata,-57.773333,-21.552778
Sesbania virgata,-51.977862,-29.511514
Sesbania virgata,-45.789203,-23.760247
Sesbania virgata,-57.615556,-18.994167
Sesbania virgata,-55.606667,-29.755278
Sesbania virgata,-41.297956,-21.738735
Sesbania virgata,-41.290462,-21.82817
Sesbania virgata,-41.291247,-21.828405
Sesbania virgata,-43.470559,-22.454951
Sesbania virgata,-56.283056,-30.443333
Sesbania virgata,-56.283056,-30.443333
Sesbania virgata,-56.283056,-30.443333
Sesbania virgata,-48.642971,-26.897973
Sesbania virgata,-52.740833,-32.074444
Sesbania virgata,-48.801902,-28.554733
Sesbania virgata,-49.226,-25.53704
Sesbania virgata,14,-14.983333
Sesbania virgata,-57.001667,-19.559722
Sesbania virgata,-39.066667,-15.433333
Sesbania virgata,-52.134444,-29.276944
Sesbania virgata,-48.84819,-28.601711
Sesbania virgata,-53.469391,-33.692043
Sesbania virgata,-48.609296,-27.088733
Sesbania virgata,-51.954875,-29.484918
Sesbania virgata,-52.099444,-29.319444
Sesbania virgata,-48.650073,-26.816027
Sesbania virgata,-41.030297,-21.747357
Sesbania virgata,-54.583333,-20.45
Sesbania virgata,-54.581944,-20.457222
Sesbania virgata,-54.583333,-20.45
Sesbania virgata,-53.637494,-28.727724
Sesbania virgata,-53.657222,-25.36
Sesbania virgata,-53.657361,-25.360111
Sesbania virgata,-48.581111,-27.150833
Sesbania virgata,-46.559694,-21.837333
Sesbania virgata,-46.559694,-21.837333
Sesbania virgata,-44.937778,-23.0675
Sesbania virgata,-44.937778,-23.0675
Sesbania virgata,-53.657222,-25.36
Sesbania virgata,-41.220278,-19.351111
Sesbania virgata,-41.220278,-19.351111
Sesbania virgata,-48.476104,-27.655176
Sesbania virgata,-57.388055,-19.558333
Sesbania virgata,-39.71,-19.190278
Sesbania virgata,-40.890278,-19.491944
Sesbania virgata,-36.996389,-8.468611
Sesbania virgata,-39.22,-8.168611
Sesbania virgata,-46.559694,-21.837333
Sesbania virgata,-39.709722,-19.190278
