Species,decimalLongitude,decimalLatitude
Sicyos edulis,-51.819458,-23.361889
Sicyos edulis,-51.17517,-26.255175
Sicyos edulis,-49.808686,-25.416693
Sicyos edulis,-43.163107,-22.43848
Sicyos edulis,-49.115037,-26.850367
Sicyos edulis,-49.283853,-25.568406
Sicyos edulis,-46.65032,-23.702883
Sicyos edulis,-46.621555,-23.505139
Sicyos edulis,-42.994965,-22.498114
Sicyos edulis,-50.869094,-29.733084
Sicyos edulis,-49.012545,-27.673475
Sicyos edulis,-39.108611,-12.123889
Sicyos edulis,-45.272197,-21.66392
Sicyos edulis,-49.253806,-25.382044
Sicyos edulis,-48.404847,-27.417867
Sicyos edulis,-53.647473,-25.777248
Sicyos edulis,-48.503265,-24.166731
Sicyos edulis,-47.949436,-24.175923
Sicyos edulis,-48.84883,-26.162807
Sicyos edulis,-46.738492,-23.435989
Sicyos edulis,-46.738511,-23.436419
Sicyos edulis,-46.629819,-23.456003
Sicyos edulis,-52.349722,-24.009167
Sicyos edulis,-52.481111,-24.578056
Sicyos edulis,-52.34975,-24.009389
Sicyos edulis,-52.481306,-24.578111
Sicyos edulis,-49.082909,-26.924172
Sicyos edulis,-48.875523,-27.399866
Sicyos edulis,-46.299437,-18.997658
Sicyos edulis,-50.797614,-29.774212
Sicyos edulis,-45.558452,-22.731978
Sicyos edulis,-46.140557,-23.48036
Sicyos edulis,-36.685478,-9.48367
Sicyos edulis,-46.305232,-23.778737
Sicyos edulis,-49.254938,-25.3888
Sicyos edulis,-49.19083,-25.562374
Sicyos edulis,-49.136882,-16.756886
Sicyos edulis,-49.287415,-25.528973
Sicyos edulis,-46.93625,-21.363798
Sicyos edulis,-48.676757,-26.769785
Sicyos edulis,-49.385732,-26.874982
Sicyos edulis,-43.241553,-22.910807
Sicyos edulis,-48.4709,-27.642416
Sicyos edulis,-49.354472,-25.443195
Sicyos edulis,-44.534746,-23.014771
Sicyos edulis,-49.573836,-25.477316
Sicyos edulis,-49.573836,-25.477316
Sicyos edulis,-43.088371,-22.825169
Sicyos edulis,-43.307232,-22.578874
Sicyos edulis,-40.837,-20.129722
Sicyos edulis,-45.0475,-23.1
Sicyos edulis,-43.223222,-20.307556
Sicyos edulis,-39.4,-15.55
Sicyos edulis,-39.4,-15.55
Sicyos edulis,-53.124167,-25.571389
Sicyos edulis,-49.283246,-25.377181
Sicyos edulis,-53.296111,-25.698611
Sicyos edulis,-49.2394,-25.4469
Sicyos edulis,-53.866944,-25.203889
Sicyos edulis,-53.867028,-25.203889
Sicyos edulis,-54.48524,-25.612295
Sicyos edulis,-47.85,-21.166667
Sicyos edulis,-51.717222,-17.923056
Sicyos edulis,-52.326667,-24.103889
Sicyos edulis,-52.326667,-24.104
Sicyos edulis,-43.938056,-19.921389
