Species,decimalLongitude,decimalLatitude
Sorubim lima,-57.018333,-19.577222
Sorubim lima,-57.018333,-19.577222
Sorubim lima,-57.018333,-19.577222
Sorubim lima,-57.018333,-19.577222
Sorubim lima,-57.018333,-19.577222
Sorubim lima,-57.018333,-19.577222
Sorubim lima,-57.018333,-19.577222
Sorubim lima,-57.018333,-19.577222
Sorubim lima,-57.018333,-19.577222
Sorubim lima,-56.807613,-29.465651
Sorubim lima,-67.498212,-8.788655
Sorubim lima,-59.006111,-3.228889
Sorubim lima,-53.566111,-22.830556
Sorubim lima,-68.418154,-9.091595
Sorubim lima,-48.038892,-21.503897
Sorubim lima,-53.014222,-22.522778
Sorubim lima,-51.790953,-21.596653
Sorubim lima,-56.655556,-29.424722
Sorubim lima,-51.631611,-22.660278
Sorubim lima,-56.754165,-29.410556
Sorubim lima,-54.743611,-18.558889
Sorubim lima,-58.992778,-3.231944
Sorubim lima,-58.998611,-3.231389
Sorubim lima,-54.355833,-24.854167
Sorubim lima,-56.776111,-29.414444
Sorubim lima,-55.429167,-28.080278
Sorubim lima,-67.596389,-1.775833
Sorubim lima,-49.931944,-5.2775
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.018333,-19.576944
Sorubim lima,-70.2859,-4.61246
Sorubim lima,-49.584444,-6.138611
Sorubim lima,-55.431944,-28.088889000000002
Sorubim lima,-50.582778,-6.331944
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-54.85775,-2.191472
Sorubim lima,-54.854167,-2.187806
Sorubim lima,-44.869833,-3.465083
Sorubim lima,-44.869833,-3.465083
Sorubim lima,-55.039806,-2.186083
Sorubim lima,-45.430978,-3.653989
Sorubim lima,-45.430978,-3.653989
Sorubim lima,-59.10095,-3.98859
Sorubim lima,-59.10095,-3.98859
Sorubim lima,-57.035833,-19.605833
Sorubim lima,-57.017778,-19.576389
Sorubim lima,-57.035833,-19.605833
Sorubim lima,-57.017778,-19.576389
Sorubim lima,-54.52002,-2.428447
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.033333,-19.634417
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.033333,-19.634417
Sorubim lima,-58.992778,-3.231944
Sorubim lima,-53.293889,-22.756667
Sorubim lima,-55.039722,-2.186111
Sorubim lima,-56.960833,-5.321667
Sorubim lima,-57.35,-5.1
Sorubim lima,-56.961111,-5.321944
Sorubim lima,-64.557,-6.533417
Sorubim lima,-57.701111,-6.182778
Sorubim lima,-62.191225,-8.890606
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-57.018056,-19.576667
Sorubim lima,-55.212778,-3.361111
Sorubim lima,-45.968056,-8.976667
Sorubim lima,-53.9621,-23.4334
Sorubim lima,-57.06,-5.37
Sorubim lima,-57.16,-6.16
Sorubim lima,-57.43,-5.93
Sorubim lima,-57.43,-5.93
Sorubim lima,-56.7,-4.8
Sorubim lima,-63.375556,-6.687778
Sorubim lima,-58.915278,-3.538056
Sorubim lima,-58.991944,-3.494722
Sorubim lima,-58.881111,-3.399722
Sorubim lima,-55.171389,-2.106111
Sorubim lima,-61.748833,-9.033861
Sorubim lima,-62.201861,-8.837194
Sorubim lima,-62.993889,-4.997222
Sorubim lima,-63.016389,-5.041667
Sorubim lima,-57.039778,-19.541247
Sorubim lima,-57.039778,-19.541247
Sorubim lima,-50.36,-23.07
Sorubim lima,-50.36,-23.07
Sorubim lima,-50.36,-23.07
Sorubim lima,-50.36,-23.07
Sorubim lima,-50.53,-22.95
Sorubim lima,-50.36,-23.07
Sorubim lima,-50.36,-23.07
Sorubim lima,-50.36,-23.07
Sorubim lima,-50.36,-23.07
Sorubim lima,-50.36,-23.07
Sorubim lima,-50.36,-23.07
Sorubim lima,-50.36,-23.07
Sorubim lima,-50.36,-23.07
Sorubim lima,-58.168889,-6.894444
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.362,-23.071
Sorubim lima,-50.528,-22.953
Sorubim lima,-54.475353,-25.631531
Sorubim lima,-54.475353,-25.631531
Sorubim lima,-52.475556,-5.254444
Sorubim lima,-65.377222,-10.425556
