Species,decimalLongitude,decimalLatitude
Spartium junceum,-49.236828,-25.446922
Spartium junceum,-49.246583,-25.37625
Spartium junceum,-51.126411,-29.142889
Spartium junceum,-49.942222,-27.334444
Spartium junceum,-49.942222,-27.334444
Spartium junceum,-49.183333,-25.516667
Spartium junceum,-49.183333,-25.516667
Spartium junceum,-50.91475,-26.295889
Spartium junceum,-51.1,-29.1
Spartium junceum,-49.370278,-28.678333
Spartium junceum,-49.370278,-28.678333
Spartium junceum,-51.118389,-30.046583
Spartium junceum,-51.118389,-30.046583
Spartium junceum,-51.118389,-30.046583
Spartium junceum,-51.118389,-30.046583
Spartium junceum,-51.118389,-30.046583
Spartium junceum,-43.506389,-20.386667
Spartium junceum,-48.483333,-22.883333
Spartium junceum,-47.533333,-22.383333
Spartium junceum,-51.124635,-30.053181
Spartium junceum,-49,-22
Spartium junceum,-46.63,-23.54
Spartium junceum,-51.124635,-30.053181
Spartium junceum,-47.0608,-22.9056
Spartium junceum,-47.0608,-22.9056
Spartium junceum,-51.124635,-30.053181
Spartium junceum,-57.083144,-29.768142
