Species,decimalLongitude,decimalLatitude
Sus scrofa,-42.895922,-16.818809
Sus scrofa,-51.180315,-27.566198
Sus scrofa,-47.261528,-5.436337
Sus scrofa,-42.224408,-14.495454
Sus scrofa,-49.404206,-19.166831
Sus scrofa,-48.895042,-19.858089
Sus scrofa,-48.758328,-22.36087
Sus scrofa,-47.528128,-22.411511
Sus scrofa,-50.076582,-29.107664
Sus scrofa,-53.682702,-29.22935
Sus scrofa,-56.954353,-16.800219
Sus scrofa,-45.409827,-17.98751
Sus scrofa,-56.71956,-16.537185
Sus scrofa,-48.656741,-20.471832
Sus scrofa,-56.015635,-20.098376
Sus scrofa,-43.128407,-2.485938
Sus scrofa,-56.081981,-19.574092
Sus scrofa,-48.191883,-21.141879
Sus scrofa,-55.925649,-20.108173
Sus scrofa,-55.965622,-20.095461
Sus scrofa,-45.132702,-6.546198
Sus scrofa,-47.463322,-21.951703
Sus scrofa,-58.438531,-3.135041
Sus scrofa,-48.363803,-20.77137
Sus scrofa,-46.315358,-22.880342
Sus scrofa,-50.245399,-29.530591
Sus scrofa,-46.759933,-18.249696
Sus scrofa,-55.965176,-20.09559
Sus scrofa,-49.820972,-27.399747
Sus scrofa,-50.245399,-29.530584
Sus scrofa,-55.274538,-19.245063
Sus scrofa,-47.577996,-11.137757
Sus scrofa,-47.158788,-22.25096
Sus scrofa,-55.965176,-20.09559
Sus scrofa,-56.711769,-16.51224
Sus scrofa,-56.735314,-16.620696
Sus scrofa,-50.316612,-29.583884
Sus scrofa,-49.858005,-21.566913
Sus scrofa,-43.865355,-2.858614
Sus scrofa,-46.975598,-22.886636
Sus scrofa,-55.98074,-20.110928
Sus scrofa,-55.785999,-20.439847
Sus scrofa,-47.649965,-22.180144
Sus scrofa,-50.978515,-28.875501
Sus scrofa,-48.479092,-21.257004
Sus scrofa,-57.068622,-19.250775
Sus scrofa,-46.102671,-22.839922
Sus scrofa,-51.554519,-26.156265
Sus scrofa,-48.509182,-21.394312
Sus scrofa,-56.836267,-19.466971
Sus scrofa,-48.590362,-21.203068
Sus scrofa,-48.51275,-23.087146
Sus scrofa,-47.997922,-21.954554
Sus scrofa,-48.650073,-26.816027
Sus scrofa,-48.453511,-20.14621
Sus scrofa,-46.086792,-21.772995
Sus scrofa,-54.1413,-21.5547
Sus scrofa,-46.071856,-18.017912
Sus scrofa,-55.589467,-20.526905
Sus scrofa,-48.194193,-21.086776
Sus scrofa,-54.960183,-21.780075
Sus scrofa,-46.066528,-22.851097
Sus scrofa,-54.014,-21.5917
Sus scrofa,-53.797,-21.6053
Sus scrofa,-55.216667,-19.75
Sus scrofa,-56.711559,-16.512083
Sus scrofa,-55.787847,-19.25935
Sus scrofa,-56.3232,-20.2736
Sus scrofa,-55.965176,-20.09559
Sus scrofa,-54.785153,-20.772229
Sus scrofa,-55.548,-20.5527
Sus scrofa,-56.698907,-16.519195
Sus scrofa,-55.5594,-20.5396
Sus scrofa,-55.5189,-20.5535
Sus scrofa,-51.553307,-26.998944
Sus scrofa,-56.152959,-19.573608
Sus scrofa,-56.0387,-20.4305
Sus scrofa,-46.480615,-20.226471
Sus scrofa,-55.963269,-20.133245
Sus scrofa,-53.9131,-21.5859
Sus scrofa,-55.4419,-20.5404
Sus scrofa,-50.550695,-18.967087
Sus scrofa,-57.427969,-17.675059
Sus scrofa,-57.427969,-17.675059
Sus scrofa,-56.087017,-19.588499
Sus scrofa,-55.799172,-16.275011
Sus scrofa,-46.388615,-21.923412
Sus scrofa,-47.41423,-23.716976
Sus scrofa,-55.96487,-20.095665
Sus scrofa,-56.00732,-20.102545
Sus scrofa,-56.917564,-19.48122
Sus scrofa,-55.966805,-20.113111
Sus scrofa,-55.967098,-20.112715
Sus scrofa,-50.548076,-18.996523
Sus scrofa,-50.550459,-18.966608
Sus scrofa,-50.550695,-18.967087
Sus scrofa,-50.550468,-18.966617
Sus scrofa,-56.812379,-19.841636
Sus scrofa,-57.432597,-17.655786
Sus scrofa,-56.278,-19.886
Sus scrofa,-56.919588,-19.482353
Sus scrofa,-50.448858,-29.159548
Sus scrofa,-41.97501,-20.837164
Sus scrofa,-48.91,-15.29
Sus scrofa,-47.893928,-22.262075
Sus scrofa,-43.710339,-22.609993
Sus scrofa,-55.781848,-20.459327
Sus scrofa,-49.144686,-22.150872
Sus scrofa,-55.754302,-19.051335
Sus scrofa,-48.893858,-21.580437
Sus scrofa,-47.7652044,-22.4239717
Sus scrofa,-47.8448016,-22.2991711
Sus scrofa,-47.7661044,-22.4142707
Sus scrofa,-48.4631767,-23.3450846
Sus scrofa,-48.1800116,-24.2075757
Sus scrofa,-48.2172393,-21.6913404
Sus scrofa,-56.378333,-20.240833
