scientific_name,decimalLongitude,decimalLatitude
Swietenia macrophylla,-47.834633,-15.982911
Swietenia macrophylla,-58.44701,-3.19906
Swietenia macrophylla,-47.958492,-15.907931
Swietenia macrophylla,-47.566724,-14.044028
Swietenia macrophylla,-48.298889,-21.243611
Swietenia macrophylla,-50.08323,-6.11157
Swietenia macrophylla,22,47
Swietenia macrophylla,-47.6475,-22.725
Swietenia macrophylla,-47.902789,-15.611552
Swietenia macrophylla,-72.775629,-7.467795
Swietenia macrophylla,-35.183056,-6.083333
Swietenia macrophylla,-43.918432,-19.880568
Swietenia macrophylla,-63.662222,-10.790278
Swietenia macrophylla,-47.879167,-15.9475
Swietenia macrophylla,-47.879167,-15.9475
Swietenia macrophylla,-47.879167,-15.9475
Swietenia macrophylla,-52.570508,-23.683022
Swietenia macrophylla,-40.015012,-19.0879
Swietenia macrophylla,-43.374713,-22.832229
Swietenia macrophylla,-50.611944,-5.629722
Swietenia macrophylla,-36.506172,-9.570833
Swietenia macrophylla,-56.110528,-9.870778
Swietenia macrophylla,-55.292778,-10.298889
Swietenia macrophylla,-55.292861,-10.298972
Swietenia macrophylla,-47.91,-22.66
Swietenia macrophylla,-47.9128,-22.6661
Swietenia macrophylla,-47.912778,-22.666111
Swietenia macrophylla,-51.937222,-3.300556
Swietenia macrophylla,-55.023611,-9.650833
Swietenia macrophylla,-64.144056,-11.899944
Swietenia macrophylla,-47.9375,-15.8125
Swietenia macrophylla,-48.29063,-3.7313
Swietenia macrophylla,-47.85,-15.866667
Swietenia macrophylla,-47.85,-15.866667
Swietenia macrophylla,-56.85,-15.166667
Swietenia macrophylla,-56.85,-15.166667
Swietenia macrophylla,-56.85,-15.166667
Swietenia macrophylla,-68.504444,-10.651667
Swietenia macrophylla,-68.5061281,-10.6552313
Swietenia macrophylla,-68.5061281,-10.6552313
Swietenia macrophylla,-39.133333,-16.383333
Swietenia macrophylla,-59.97,-2.883333
Swietenia macrophylla,-49.273056,-25.427778
Swietenia macrophylla,-62.63,-11.12
Swietenia macrophylla,-62.63,-11.12
Swietenia macrophylla,-62.63,-11.12
Swietenia macrophylla,-62.63,-11.12
Swietenia macrophylla,-62.63,-11.12
Swietenia macrophylla,-62.63,-11.12
Swietenia macrophylla,-47.883611,-15.736111
Swietenia macrophylla,-40.069722,-19.150833
Swietenia macrophylla,-44.981111,-20.718889
Swietenia macrophylla,-5.31,50.13
Swietenia macrophylla,-47.533333,-22.383333
Swietenia macrophylla,-70.7674432,-8.1651736
Swietenia macrophylla,-70,-8
Swietenia macrophylla,-70,-8
Swietenia macrophylla,-69.87,-8.45
Swietenia macrophylla,-69.87,-8.45
Swietenia macrophylla,-70.765556,-8.161667
Swietenia macrophylla,-70.765556,-8.161667
Swietenia macrophylla,-70,-8
Swietenia macrophylla,-70.7674432,-8.1651736
Swietenia macrophylla,-70,-8
Swietenia macrophylla,-70,-8
Swietenia macrophylla,-70,-8
Swietenia macrophylla,-70,-8
Swietenia macrophylla,-70,-8
Swietenia macrophylla,-70,-8.75
Swietenia macrophylla,-70,-8.75
Swietenia macrophylla,-59.97,-2.883333
Swietenia macrophylla,-63.05,-11.2
Swietenia macrophylla,-63.05,-11.2
