scientific_name,decimalLongitude,decimalLatitude
Syngonium angustatum,-46.363053,-23.96517
Syngonium angustatum,-40.336377,-20.364465
Syngonium angustatum,-52.42573,-29.6433
Syngonium angustatum,-49.282553,-26.803581
Syngonium angustatum,-35.608298,-6.908793
Syngonium angustatum,-49.357217,-28.788697
Syngonium angustatum,-46.760386,-23.541189
Syngonium angustatum,-47.880464,-21.983828
Syngonium angustatum,-34.994977,-7.988648
Syngonium angustatum,-48.441648,-27.450448
Syngonium angustatum,-48.263671,-18.921415
Syngonium angustatum,-43.238428999999996,-22.915664
Syngonium angustatum,-42.190002,-21.416613
Syngonium angustatum,-49.228772,-26.855058
Syngonium angustatum,-48.920907,-27.078373
Syngonium angustatum,-49.280409,-26.803513
Syngonium angustatum,-49.282678,-26.803859
Syngonium angustatum,-49.282857,-26.823246
Syngonium angustatum,-49.078747,-26.899178
Syngonium angustatum,-48.854572,-27.08794
Syngonium angustatum,-49.087003,-26.889541
Syngonium angustatum,-46.694064,-23.617243
Syngonium angustatum,-48.538875,-27.702365
Syngonium angustatum,-51.098161,-29.963212
Syngonium angustatum,-48.651958,-26.902172
Syngonium angustatum,-48.627187,-26.932908
Syngonium angustatum,-49.635712,-29.155097
Syngonium angustatum,-48.489642,-27.67852
Syngonium angustatum,-39.256352,-17.734278
Syngonium angustatum,-42.545625,-19.50715
Syngonium angustatum,-43.011721,-22.262507
Syngonium angustatum,-43.357756,-22.990004
Syngonium angustatum,-49.078993,-26.904408
Syngonium angustatum,-49.079015,-26.904451
Syngonium angustatum,-51.203225,-30.060896
Syngonium angustatum,-48.925715,-27.098494
Syngonium angustatum,-48.925328,-27.098682
Syngonium angustatum,-48.892747,-27.098919
Syngonium angustatum,-48.893377,-27.09978
Syngonium angustatum,-48.893377,-27.09978
Syngonium angustatum,-48.916701,-27.106867
Syngonium angustatum,-49.114962,-26.801099
Syngonium angustatum,-38.989427,-14.27965
Syngonium angustatum,-49.048692,-26.928047
Syngonium angustatum,-49.04895,-26.928213
Syngonium angustatum,-49.278921,-26.794102
Syngonium angustatum,-51.159958,-29.89938
Syngonium angustatum,-51.187064,-30.175499
Syngonium angustatum,-41.638409,-21.807046
Syngonium angustatum,-46.590645,-23.574313
Syngonium angustatum,-46.590662,-23.5743
Syngonium angustatum,-48.939787,-15.843812
Syngonium angustatum,-40.379989,-19.753203
Syngonium angustatum,-40.379969,-19.753208
Syngonium angustatum,-42.918831,-21.124725
Syngonium angustatum,-43.5463,-23.022336
Syngonium angustatum,-43.225278,-22.97
Syngonium angustatum,-36.490425,-8.892633
Syngonium angustatum,-49.27768,-26.79772
Syngonium angustatum,-43.546875,-22.885637
Syngonium angustatum,-49.282998,-26.80352
Syngonium angustatum,-46.655021,-23.807617
Syngonium angustatum,-49.080137,-26.906171
Syngonium angustatum,-56.062702,-9.891974
Syngonium angustatum,-44.799981,-22.543175
Syngonium angustatum,-51.479373,-25.38073
Syngonium angustatum,-51.202813,-30.065705
Syngonium angustatum,-47.062633,-22.909845
Syngonium angustatum,-48.410384,-27.448003
Syngonium angustatum,-49.079044,-26.904475
Syngonium angustatum,-49.079044,-26.904475
Syngonium angustatum,-49.281922,-26.803595
Syngonium angustatum,-49.281884,-26.803613
Syngonium angustatum,-48.636511,-26.831675
Syngonium angustatum,-49.282155,-26.803533
Syngonium angustatum,-49.282681,-26.803869
Syngonium angustatum,-49.282783,-26.803724
Syngonium angustatum,-34.861022,-7.136478
Syngonium angustatum,-48.642971,-26.897973
Syngonium angustatum,-47.590278,-23.487222
Syngonium angustatum,-34.940338,-7.94045
Syngonium angustatum,-48.958575,-26.930196
Syngonium angustatum,-49.114248,-26.92413
Syngonium angustatum,-34.992017,-7.974833
Syngonium angustatum,-34.991655,-7.973949
Syngonium angustatum,-35.00421,-7.967126
Syngonium angustatum,-35.00421,-7.967126
Syngonium angustatum,-34.991718,-7.974814
Syngonium angustatum,-34.992775,-7.972742
Syngonium angustatum,-49.287535,-26.807521
Syngonium angustatum,-35.00421,-7.967126
Syngonium angustatum,-34.991772,-7.974774
Syngonium angustatum,-48.650073,-26.816027
Syngonium angustatum,-50.033382,-29.77331
Syngonium angustatum,-50.033382,-29.77331
Syngonium angustatum,-34.84746,-7.932892
Syngonium angustatum,-37.431952,-10.542768
Syngonium angustatum,-34.991785,-7.974797
Syngonium angustatum,-34.99277,-7.972503
Syngonium angustatum,-39.146892,-15.259088
Syngonium angustatum,-35.165012,-7.923776
Syngonium angustatum,-51.943318,-23.43217
Syngonium angustatum,-51.930018,-23.426756
Syngonium angustatum,-49.134586,-26.922115
Syngonium angustatum,-49.134405,-26.933004
Syngonium angustatum,-49.134477,-26.932998
Syngonium angustatum,-49.134298,-26.933053
Syngonium angustatum,-49.061918,-26.818093
Syngonium angustatum,-34.993011,-7.972544
Syngonium angustatum,-51.932194,-23.428917
Syngonium angustatum,-37.210556,-10.461944
Syngonium angustatum,-37.351667,-10.771944
Syngonium angustatum,-49.048783,-26.928037
Syngonium angustatum,-35.226944,-5.848611
Syngonium angustatum,-35.226944,-5.848611
Syngonium angustatum,-43.417069,-22.590644
Syngonium angustatum,-48.680833,-28.104722
Syngonium angustatum,-48.680833,-28.104722
Syngonium angustatum,-48.520556,-27.600833
Syngonium angustatum,-48.520556,-27.600833
Syngonium angustatum,-48.525278,-27.611667
Syngonium angustatum,-48.525278,-27.611667
Syngonium angustatum,-49.369722,-26.928333
Syngonium angustatum,-49.369722,-26.928333
Syngonium angustatum,-49.080671,-26.906651
Syngonium angustatum,-49.363296,-26.918887
Syngonium angustatum,-49.050278,-26.9275
Syngonium angustatum,-49.050278,-26.9275
Syngonium angustatum,-49.062222,-26.930833
Syngonium angustatum,-49.062222,-26.930833
Syngonium angustatum,-34.881111,-8.054167
Syngonium angustatum,-37.2106,-10.4619
