scientific_name,decimalLongitude,decimalLatitude
Syngonium podophyllum,-46.191137,-23.528293
Syngonium podophyllum,-47.884595,-22.016828
Syngonium podophyllum,-47.875334,-21.984742
Syngonium podophyllum,-46.455758,-23.770279
Syngonium podophyllum,-41.635033,-21.810603
Syngonium podophyllum,-41.631237,-21.810051
Syngonium podophyllum,-41.631237,-21.810051
Syngonium podophyllum,-49.279711,-26.802603
Syngonium podophyllum,-42.966001,-22.452436
Syngonium podophyllum,-46.692461,-23.475262
Syngonium podophyllum,-49.10004,-27.206919
Syngonium podophyllum,-46.75458,-23.572853
Syngonium podophyllum,-51.451077,-22.12286
Syngonium podophyllum,-46.564331,-23.726675
Syngonium podophyllum,-49.507749,-28.490378
Syngonium podophyllum,-47.88042,-21.984133
Syngonium podophyllum,-43.368444,-21.79225
Syngonium podophyllum,-44.005469,-19.804578
Syngonium podophyllum,-43.971772,-19.874018
Syngonium podophyllum,-43.972548,-19.87366
Syngonium podophyllum,-40.599865,-19.937255
Syngonium podophyllum,-43.998862,-19.888105
Syngonium podophyllum,-43.913317,-19.892207
Syngonium podophyllum,-43.161843,-22.435206
Syngonium podophyllum,-40.60083,-19.936912
Syngonium podophyllum,-43.933742,-19.921762
Syngonium podophyllum,-43.991508,-19.92275
Syngonium podophyllum,-43.972489,-19.874277
Syngonium podophyllum,-43.938669,-19.919012
Syngonium podophyllum,-35.46112,-8.193022
Syngonium podophyllum,-43.96215,-19.864492
Syngonium podophyllum,-46.56506,-23.5858
Syngonium podophyllum,-40.340253,-20.365195
Syngonium podophyllum,-46.56506,-23.5858
Syngonium podophyllum,-46.07343,-23.803543
Syngonium podophyllum,-52.890827,-26.656296
Syngonium podophyllum,-49.260674,-25.490147
Syngonium podophyllum,-44.828555,-23.344099
Syngonium podophyllum,-46.587955,-23.477671
Syngonium podophyllum,-49.419722,-28.616944
Syngonium podophyllum,-46.886559,-23.19298
Syngonium podophyllum,-46.886308,-23.193077
Syngonium podophyllum,-49.283446,-26.804138
Syngonium podophyllum,-40.056109,-19.133434
Syngonium podophyllum,-49.250689,-25.37472
Syngonium podophyllum,-46.566703,-23.584772
Syngonium podophyllum,-46.729797,-23.565958
Syngonium podophyllum,-46.600267,-23.68234
Syngonium podophyllum,-46.637122,-23.559545
Syngonium podophyllum,-49.297189,-26.808917
Syngonium podophyllum,-48.8653,-27.067414
Syngonium podophyllum,-48.919894,-27.078029
Syngonium podophyllum,-43.161882,-22.435221
Syngonium podophyllum,-49.282857,-26.823246
Syngonium podophyllum,-46.721369,-23.631181
Syngonium podophyllum,-46.73697,-23.601496
Syngonium podophyllum,-46.652577,-23.552057
Syngonium podophyllum,-46.639557,-23.555575
Syngonium podophyllum,-48.63678,-26.968312
Syngonium podophyllum,-46.783092,-23.434528
Syngonium podophyllum,-46.631259,-23.559917
Syngonium podophyllum,-46.638778,-23.456291
Syngonium podophyllum,-46.628551,-23.574686
Syngonium podophyllum,-46.636577,-23.561087
Syngonium podophyllum,-54.579181,-25.552269
Syngonium podophyllum,-46.642964,-23.636427
Syngonium podophyllum,-43.22721,-22.967046
Syngonium podophyllum,-44.170567,-21.129181
Syngonium podophyllum,-46.587001,-23.403409
Syngonium podophyllum,-53.733203,-29.709942
Syngonium podophyllum,-43.210963,-22.951922
Syngonium podophyllum,-43.21217,-22.960995
Syngonium podophyllum,-46.545563,-23.480395
Syngonium podophyllum,-54.4468,-25.684011
Syngonium podophyllum,-53.714755,-29.720888
Syngonium podophyllum,-54.484528,-27.881453
Syngonium podophyllum,-43.472142,-22.230722
Syngonium podophyllum,-43.162204,-22.435397
Syngonium podophyllum,-53.786723,-29.657177
Syngonium podophyllum,-46.397481,-23.934359
Syngonium podophyllum,-38.928611,-12.232778
Syngonium podophyllum,-38.928056,-12.233333
Syngonium podophyllum,-46.635048,-23.629273
Syngonium podophyllum,-47.109734,-22.950014
Syngonium podophyllum,-46.8214,-23.227234
Syngonium podophyllum,-50.519755,-29.845827
Syngonium podophyllum,-48.925344,-27.098668
Syngonium podophyllum,-48.930831,-27.114549
Syngonium podophyllum,-43.16161,-22.436479
Syngonium podophyllum,-43.161647,-22.435242
Syngonium podophyllum,-43.162198,-22.435253
Syngonium podophyllum,-49.5633,-27.171003
Syngonium podophyllum,-49.563342,-27.171005
Syngonium podophyllum,-41.29766,-21.738512
Syngonium podophyllum,-46.513701,-23.743972
Syngonium podophyllum,-44.218978,-20.124511
Syngonium podophyllum,-51.121772,-29.932584
Syngonium podophyllum,-41.287579,-21.761503
Syngonium podophyllum,-42.094105,-18.77104
Syngonium podophyllum,-46.361825,-23.30053
Syngonium podophyllum,-46.363159,-23.958274
Syngonium podophyllum,-41.999442,-22.308737
Syngonium podophyllum,-46.437622,-23.599648
Syngonium podophyllum,-47.434216,-23.768168
Syngonium podophyllum,-47.923988,-15.831925
Syngonium podophyllum,-44.245788,-21.123875
Syngonium podophyllum,-48.939683,-15.843922
Syngonium podophyllum,-48.42157,-22.957537
Syngonium podophyllum,-51.918859,-23.484789
Syngonium podophyllum,-48.748508,-17.77475
Syngonium podophyllum,-43.211798,-22.545085
Syngonium podophyllum,-40.540278,-20.278889
Syngonium podophyllum,-43.43648,-22.969472
Syngonium podophyllum,-46.657452,-23.561981
Syngonium podophyllum,-40.304677,-20.276955
Syngonium podophyllum,-40.492598,-20.669321
Syngonium podophyllum,-40.340253,-20.365195
Syngonium podophyllum,-43.417069,-22.590644
Syngonium podophyllum,-53.483577,-24.946157
Syngonium podophyllum,-43.229167,-22.967222
Syngonium podophyllum,-39.581389,-16.973611
Syngonium podophyllum,-53.093776,-23.466296
Syngonium podophyllum,-46.545361,-23.480362
Syngonium podophyllum,-49.24612,-25.398695
Syngonium podophyllum,-43.57758,-22.947267
Syngonium podophyllum,-49.278172,-26.796592
Syngonium podophyllum,-48.844992,-26.669687
Syngonium podophyllum,-46.633156,-23.459164
Syngonium podophyllum,-46.629742,-23.46125
Syngonium podophyllum,-46.597205,-23.746018
Syngonium podophyllum,-40.340253,-20.365195
Syngonium podophyllum,-47.864714,-15.737629
Syngonium podophyllum,-43.436036,-22.585445
Syngonium podophyllum,-52.35,-24.008056
Syngonium podophyllum,-52.350167,-24.008139
Syngonium podophyllum,-43.226667,-22.966944
Syngonium podophyllum,-49.247813,-25.487538
Syngonium podophyllum,-46.654293,-23.803831
Syngonium podophyllum,-46.729519,-23.641345
Syngonium podophyllum,-46.729929,-23.583427
Syngonium podophyllum,-59.974414,-3.101083
Syngonium podophyllum,-46.383227,-23.985442
Syngonium podophyllum,-47.873887,-15.761112
Syngonium podophyllum,-44.102895,-22.501725
Syngonium podophyllum,-46.633954,-23.566814
Syngonium podophyllum,-47.884718,-15.741054
Syngonium podophyllum,-46.260941,-23.553144
Syngonium podophyllum,-47.881554,-22.597947
Syngonium podophyllum,-47.948772,-21.194227
Syngonium podophyllum,-46.535706,-23.648017
Syngonium podophyllum,-46.587174,-23.578037
Syngonium podophyllum,-46.961861,-23.188592
Syngonium podophyllum,-43.221667,-22.967222
Syngonium podophyllum,-47.884655,-15.741516
Syngonium podophyllum,-43.037088,-22.652569
Syngonium podophyllum,-47.889206,-15.817547
Syngonium podophyllum,-43.348433,-4.869355
Syngonium podophyllum,-45.925919,-23.758294
Syngonium podophyllum,-43.967753,-19.865757
Syngonium podophyllum,-49.080455,-26.90672
Syngonium podophyllum,-48.639619,-26.87664
Syngonium podophyllum,-49.226587,-26.89765
Syngonium podophyllum,-49.269723,-25.370088
Syngonium podophyllum,-45.968447,-23.779164
Syngonium podophyllum,-47.08789,-22.8182
Syngonium podophyllum,-40.326408,-20.154758
Syngonium podophyllum,-40.340428,-20.368529
Syngonium podophyllum,-46.721308,-23.630971
Syngonium podophyllum,-48.052398,-23.603482
Syngonium podophyllum,-46.898451,-22.742483
Syngonium podophyllum,-34.990245,-7.976884
Syngonium podophyllum,-48.985311,-23.215865
Syngonium podophyllum,-52.772311,-29.922123
Syngonium podophyllum,-54.326753,-25.533267
Syngonium podophyllum,-48.642971,-26.897973
Syngonium podophyllum,-40.599911,-19.932035
Syngonium podophyllum,-46.671949,-23.553914
Syngonium podophyllum,-43.19977,-22.50169
Syngonium podophyllum,-47.631221,-22.714657
Syngonium podophyllum,-48.641976,-26.889336
Syngonium podophyllum,-49.334103,-25.463059
Syngonium podophyllum,-42.666389,-22.940555
Syngonium podophyllum,-70.335794,-8.179144
Syngonium podophyllum,-48.626041,-17.734916
Syngonium podophyllum,-42.540155,-21.77345
Syngonium podophyllum,-44.034125,-20.122117
Syngonium podophyllum,-49.404014,-28.717001
Syngonium podophyllum,-47.100025,-22.844077
Syngonium podophyllum,-47.313335,-22.780252
Syngonium podophyllum,-51.055017,-30.103595
Syngonium podophyllum,-43.741032,-18.445396
Syngonium podophyllum,-49.757258,-23.197924
