scientific_name,decimalLongitude,decimalLatitude
Syzygium aromaticum,-42.075,-16.055833
Syzygium aromaticum,-43.221808,-22.966666
Syzygium aromaticum,-43.222778,-22.966111
Syzygium aromaticum,-39.265278,-14.461389
Syzygium aromaticum,-39.866944,-14.368333
Syzygium aromaticum,-43.366667,-21.733333
Syzygium aromaticum,-39.8,-13.5
Syzygium aromaticum,-40.333333,-13.833333
Syzygium aromaticum,-39.133333,-13.833333
Syzygium aromaticum,-39.133333,-13.833333
Syzygium aromaticum,-39.06,-13.319444
Syzygium aromaticum,-39.569889,-13.742278
Syzygium aromaticum,-39.34116,-13.44322
Syzygium aromaticum,-39.57,-13.742222
Syzygium aromaticum,-39.661222,-13.84725
Syzygium aromaticum,-39.39404,-13.50501
Syzygium aromaticum,-43.937222,-22.696944
Syzygium aromaticum,-39.292222,-13.901111
Syzygium aromaticum,-39.207778,-13.905278
Syzygium aromaticum,-39.331389,-13.913889
Syzygium aromaticum,-49.347278,-25.825
Syzygium aromaticum,-39.5,-13.233333
Syzygium aromaticum,-39.133333,-13.716667
Syzygium aromaticum,-39.133333,-13.716667
Syzygium aromaticum,-53.328611,-22.726111
Syzygium aromaticum,-41.383333,-12.566667
Syzygium aromaticum,-47.870833,-15.738056
Syzygium aromaticum,-47.929722,-15.779722
Syzygium aromaticum,-47.85,-15.866667
Syzygium aromaticum,-47,-22.905556
Syzygium aromaticum,-40.598681,-19.935725
Syzygium aromaticum,-39.089167,-12.847222
Syzygium aromaticum,-39.098611,-12.843611
Syzygium aromaticum,-39.0890904,-12.8508627
Syzygium aromaticum,-39.089444,-12.847222
Syzygium aromaticum,-39.083333,-13.533333
Syzygium aromaticum,-43.24395,-22.976721
Syzygium aromaticum,-43.243889,-22.976667
Syzygium aromaticum,-47.0608,-22.9056
Syzygium aromaticum,-45.0711,-23.4339
Syzygium aromaticum,-45.0711,-23.4339
Syzygium aromaticum,-60,-3
