Species,decimalLongitude,decimalLatitude
Syzygium cumini,-35.223515,-5.930694
Syzygium cumini,-35.223515,-5.930694
Syzygium cumini,-42.104473,-21.723466
Syzygium cumini,-45.243853,-22.852946
Syzygium cumini,-43.927669,-19.953262
Syzygium cumini,-48.521069,-27.599758
Syzygium cumini,-42.356976,-22.841204
Syzygium cumini,-45.344444,-23.915
Syzygium cumini,-60.631225,-3.292015
Syzygium cumini,-35.111423,-7.40737
Syzygium cumini,-43.435334,-22.585967
Syzygium cumini,-47.923328,-15.886711
Syzygium cumini,-48.073333,-16.018056
Syzygium cumini,-40.970278,-21.171667
Syzygium cumini,-40.970278,-21.171667
Syzygium cumini,-40.702778,-13.402222
Syzygium cumini,-48.444167,-19.533611
Syzygium cumini,-41.346028,-21.833195
Syzygium cumini,-40.40785,-2.855708
Syzygium cumini,-44.52646,-22.442883
Syzygium cumini,-47.134415,-22.960571
Syzygium cumini,-38.582647,-6.912253
Syzygium cumini,-38.780015,-3.588943
Syzygium cumini,-38.426361,-3.876611
Syzygium cumini,-35.276689,-6.412808
Syzygium cumini,-41.389875,-12.586922
Syzygium cumini,-41.389903,-12.586942
Syzygium cumini,-44.057028,-16.500157
Syzygium cumini,-35.223515,-5.930694
Syzygium cumini,13,-13.01
Syzygium cumini,-41.600556,-21.797778
Syzygium cumini,-36.444074,-8.522382
Syzygium cumini,-42.816667,-5.083333
Syzygium cumini,-42.864722,-6.255556
Syzygium cumini,-37.053611,-10.943888
Syzygium cumini,-39.971944,-7.237222
Syzygium cumini,-48.425425,-1.445704
Syzygium cumini,-44.821389,-2.695833
Syzygium cumini,-38.470796,-3.831286
Syzygium cumini,-48.733056,-1.578333
Syzygium cumini,-43.2275,-22.967778
Syzygium cumini,-40.926049,-16.281947
Syzygium cumini,-49.468742,-16.790356
Syzygium cumini,-53.034254,-24.198626
Syzygium cumini,-43.926473,-19.953062
Syzygium cumini,-40.07042,-19.151594
Syzygium cumini,-48.167577,-18.828615
Syzygium cumini,-34.843903,-7.872738
Syzygium cumini,-34.843534,-7.872416
Syzygium cumini,-47.868333,-15.946667
Syzygium cumini,-47.868889,-15.946944
Syzygium cumini,-51.233203,-30.059305
Syzygium cumini,-38.485697,-3.748662
Syzygium cumini,-35.204167,-5.871944
Syzygium cumini,-40.338889,-20.366944
Syzygium cumini,-40.338889,-20.366944
Syzygium cumini,-39.348147,-8.250475
Syzygium cumini,-49.307732,-16.736592
Syzygium cumini,-46.351788,-23.965164
Syzygium cumini,-51.2675,-21.5675
Syzygium cumini,-50.819722,-21.858056
Syzygium cumini,-39.577778,-16.349167
Syzygium cumini,-44.78925,-3.449139
Syzygium cumini,-51.2675,-21.5675
Syzygium cumini,-50.819722,-21.858056
Syzygium cumini,-48.321389,-10.208611
Syzygium cumini,-43.233333,-22.98
Syzygium cumini,-47.023043,-22.906119
Syzygium cumini,-47.023053,-22.906129
Syzygium cumini,-35.348517,-5.886695
Syzygium cumini,-35.243056,-7.486667
Syzygium cumini,-35.592856,-8.088547
Syzygium cumini,-40.456993,-2.8718
Syzygium cumini,-44.305472,-2.553694
Syzygium cumini,-49.727944,-2.435944
Syzygium cumini,-51.201572,-30.027193
Syzygium cumini,-51.200942,-30.027371
Syzygium cumini,-47.974106,-15.835754
Syzygium cumini,-51.243023,-30.074409
Syzygium cumini,-34.948056,-8.019722
Syzygium cumini,-49.225174,-16.646854
Syzygium cumini,-35.897222,-9.233333
Syzygium cumini,-54.561389,-25.442222
Syzygium cumini,-38.485697,-3.748662
Syzygium cumini,-34.991754,-7.974572
Syzygium cumini,-49.101227,-16.76251
Syzygium cumini,-54.580556,-25.441667
Syzygium cumini,-38.44,-3.785278
Syzygium cumini,-43.655833,-22.991111
Syzygium cumini,-42.259492,-17.083345
Syzygium cumini,-47.023018,-22.906167
Syzygium cumini,-43.229874,-22.990316
Syzygium cumini,-47.07434,-22.811175
Syzygium cumini,-41.096265,-20.516884
Syzygium cumini,-47.93,-15.736111
Syzygium cumini,-47.93,-15.736111
Syzygium cumini,-39.0775,-16.438889
Syzygium cumini,-59.983056,-3.076111
Syzygium cumini,-35.361562,-9.240903
Syzygium cumini,-54.665278,-20.480278
Syzygium cumini,-54.691667,-20.459722
Syzygium cumini,-54.690556,-20.460278
Syzygium cumini,-54.665833,-20.480833
Syzygium cumini,-54.691667,-20.459722
Syzygium cumini,-54.690555,-20.460278
Syzygium cumini,-54.665833,-20.480833
Syzygium cumini,-54.665278,-20.480278
Syzygium cumini,-52.007778,-29.599722
Syzygium cumini,-38.471118,-3.831221
Syzygium cumini,-36.397692,-10.102748
Syzygium cumini,-49.965655,-16.470546
Syzygium cumini,-48.637222,-23.047222
Syzygium cumini,-48.637222,-23.047222
Syzygium cumini,-48.637222,-23.047222
Syzygium cumini,-48.637222,-23.047222
Syzygium cumini,-40.754692,-10.074533
Syzygium cumini,-54.57,-20.454367
Syzygium cumini,-54.569792,-20.45436
Syzygium cumini,-46.794304,-18.172863
Syzygium cumini,-48.330833,-10.185556
Syzygium cumini,-51.930018,-23.426756
Syzygium cumini,-54.565,-25.481667
Syzygium cumini,-54.565,-25.481667
Syzygium cumini,-51.930444,-23.427278
Syzygium cumini,-47.077171,-22.87025
Syzygium cumini,-51.309722,-1.868889
Syzygium cumini,-35.208333,-5.838889
Syzygium cumini,-35.208333,-5.838889
Syzygium cumini,-36.838975,-10.326814
Syzygium cumini,-73.012611,-7.52225
Syzygium cumini,-39.08552,-16.542363
Syzygium cumini,-40.552222,-4.445278
Syzygium cumini,-40.9225,-4.747778
Syzygium cumini,-43.508056,-20.2875
Syzygium cumini,-38.553464,-3.789769
Syzygium cumini,-43.416111,-20.377778
Syzygium cumini,-52.065556,-23.726389
Syzygium cumini,-52.065278,-23.726389
Syzygium cumini,-52.065472,-23.726444
Syzygium cumini,-52.065278,-23.726389
Syzygium cumini,-38.8207,-4.253839
Syzygium cumini,-51.714444,-17.881389
Syzygium cumini,-38.211667,-4.134722
Syzygium cumini,-38.354367,-4.229928
Syzygium cumini,-51.714444,-17.881389
Syzygium cumini,-40.836639,-20.1305
Syzygium cumini,-39.310089,-8.520578
Syzygium cumini,-58.566667,-12.35
Syzygium cumini,-47.535833,-1.366111
Syzygium cumini,-38.846196,-4.178722
Syzygium cumini,-44.282889,-2.539083
Syzygium cumini,-37.123612,-8.505093
Syzygium cumini,-44.314167,-2.565833
Syzygium cumini,-44.282889,-2.539083
Syzygium cumini,-44.314167,-2.565833
Syzygium cumini,-44.282889,-2.539083
Syzygium cumini,-44.314167,-2.565833
Syzygium cumini,-48.602778,-26.999167
Syzygium cumini,-55.872222,-1.755833
Syzygium cumini,-55.865889,-1.755847
Syzygium cumini,-38.554722,-3.787222
Syzygium cumini,-38.929431,-4.320444
Syzygium cumini,-44.038889,-2.863889
Syzygium cumini,-56.154722,-21.059444
Syzygium cumini,-51.717222,-17.923056
Syzygium cumini,-55.482778,-11.866667
Syzygium cumini,-51.717222,-17.923056
Syzygium cumini,-55.956128,-15.663753
Syzygium cumini,-56.154722,-21.059444
Syzygium cumini,-51.95,-23.416667
Syzygium cumini,-46.682607,-22.69004
Syzygium cumini,-41.765,-2.904444
Syzygium cumini,-39.273018,-7.557511
Syzygium cumini,-39.273056,-7.5575
Syzygium cumini,-48.327778,-10.175
Syzygium cumini,-51.717222,-17.923056
Syzygium cumini,-35.180556,-7.741111
Syzygium cumini,-51.717222,-17.923056
Syzygium cumini,-47.815556,-14.176944
Syzygium cumini,-37.160833,-10.823056
Syzygium cumini,-47.124864,-23.376547
Syzygium cumini,-52.212222,-3.198611
Syzygium cumini,-39.484389,-7.513806
Syzygium cumini,-39.414972,-7.238778
Syzygium cumini,-53.076944,-26.068333
Syzygium cumini,-44.82,-11.699722
Syzygium cumini,-38.016667,-10.926972
Syzygium cumini,-41.996944,-22.753889
Syzygium cumini,-48.591303,-25.671292
Syzygium cumini,-41.996944,-22.753889
Syzygium cumini,-41.996944,-22.753889
Syzygium cumini,-51.369444,-20.392222
Syzygium cumini,-46.069167,-20.347778
Syzygium cumini,-38.966667,-12.25
Syzygium cumini,-38.966667,-12.25
Syzygium cumini,-48.444583,-1.410833
Syzygium cumini,-36.231389,-10.116111
Syzygium cumini,-36.387192,-10.200308
Syzygium cumini,-61.159259,-3.067095
Syzygium cumini,-37.264444,-10.014444
Syzygium cumini,-37.571111,-11.513056
Syzygium cumini,-37.953039,-11.858586
Syzygium cumini,-36,-9.18
Syzygium cumini,-43.961778,-19.865917
Syzygium cumini,-47.778333,-1.916667
Syzygium cumini,-43.2425,-22.979444
Syzygium cumini,-54.927778000000004,-3.050278
Syzygium cumini,-35.617508,-6.682516
Syzygium cumini,-54.927778000000004,-3.050278
Syzygium cumini,-51.166667,-23.366667
Syzygium cumini,-37.160833,-10.823056
Syzygium cumini,-37.355,-10.771944
Syzygium cumini,-51.1,-23.22
Syzygium cumini,-39.485639,-7.516722
Syzygium cumini,-51.166667,-23.366667
Syzygium cumini,-51.166667,-23.366667
Syzygium cumini,-37.171944,-10.181667
Syzygium cumini,-37.288861,-10.304333
Syzygium cumini,-51.745,-3.273611
Syzygium cumini,-46.566111,-23.676667
Syzygium cumini,-63.8779,-8.7651
Syzygium cumini,-48.335,-1.091944
Syzygium cumini,-37.050833,-10.563056
Syzygium cumini,-50.899167,-17.807778
Syzygium cumini,-37.085833,-10.941944
Syzygium cumini,-50.899167,-17.807778
Syzygium cumini,-44.874767,-3.171881
Syzygium cumini,-49.37,-20.82
Syzygium cumini,-38.440833,-4.125556
Syzygium cumini,-38.735333,-4.215667
Syzygium cumini,-54.929167,-3.348056
Syzygium cumini,-35.1125,-8.483611
Syzygium cumini,-63.383231,-4.138492
Syzygium cumini,-54.929167,-3.348055
Syzygium cumini,-46.435278,-23.333056
Syzygium cumini,-34.949583,-8.047389
Syzygium cumini,-46.56675,-23.677836
Syzygium cumini,-46.731222,-23.558778
Syzygium cumini,-48.680833,-28.104722
Syzygium cumini,-48.680833,-28.104722
Syzygium cumini,-48.687778,-27.973333
Syzygium cumini,-48.680833,-28.104722
Syzygium cumini,-48.3125,-22.573889
Syzygium cumini,-48.523611,-22.960556
Syzygium cumini,-36.231389,-10.116111
Syzygium cumini,-36.387192,-10.200308
Syzygium cumini,-44.306306,-2.553639
Syzygium cumini,-44.304833,-2.553472
Syzygium cumini,-44.314167,-2.565833
Syzygium cumini,-34.848611,-7.1375
Syzygium cumini,-55.583333,-15.5
Syzygium cumini,-47.868333,-15.767778
Syzygium cumini,-38.919444,-12.778333
Syzygium cumini,-39.419722,-15.480278
Syzygium cumini,-50.433333,-6.2
Syzygium cumini,-49.454722,-27.103611
Syzygium cumini,-34.849778,-7.271083
Syzygium cumini,-49.454722,-27.103611
Syzygium cumini,-39.779444,-16.019722
Syzygium cumini,-36.846944,-10.731389
Syzygium cumini,-36.846972,-10.731278
Syzygium cumini,-51.139631,-29.637994
Syzygium cumini,-48.012778,-15.906389
Syzygium cumini,-48.012778,-15.906389
Syzygium cumini,-48.012777,-15.906388
Syzygium cumini,-48.012777,-15.906388
Syzygium cumini,-48.012777,-15.906388
Syzygium cumini,-48.012777,-15.906388
Syzygium cumini,-40.295833,-18.54
Syzygium cumini,-40.32,-2.88
Syzygium cumini,-40.319986,-2.880008
Syzygium cumini,-39.213397,-8.120322
Syzygium cumini,-48.687778,-27.973333
Syzygium cumini,-40.82,-2.88
Syzygium cumini,-47.133333,-19.6
Syzygium cumini,-49.559167,-27.036944
Syzygium cumini,-49.559167,-27.036944
Syzygium cumini,-34.976944,-6.502222
Syzygium cumini,-37.474722,-11.031944
Syzygium cumini,-37.474722,-11.031944
Syzygium cumini,-38.775556,-8.845
Syzygium cumini,-61.56192,-1.139397
Syzygium cumini,-37.083056,-10.503333
Syzygium cumini,-37.141667,-10.842778
Syzygium cumini,-46.869722,-23.869722
Syzygium cumini,-51.655833,-23.164167
Syzygium cumini,-51.655833,-23.164167
Syzygium cumini,-53.17,-22.711944
Syzygium cumini,-40.639672,-9.346311
Syzygium cumini,-62.935033,-3.951047
Syzygium cumini,-62.935033,-3.951047
Syzygium cumini,-62.935033,-3.951047
Syzygium cumini,-36.855833,-10.737778
Syzygium cumini,-36.855833,-10.737778
Syzygium cumini,-40.006667,-19.003889
Syzygium cumini,-37.103056,-10.256944
Syzygium cumini,-37.175156,-10.435956
Syzygium cumini,-34.863056,-7.115
Syzygium cumini,-34.855222,-7.370472
Syzygium cumini,-34.85,-7.366667
Syzygium cumini,-34.863056,-7.115
Syzygium cumini,-34.863056,-7.115
Syzygium cumini,-34.863056,-7.115
Syzygium cumini,-48.089444,-21.453889
Syzygium cumini,-35.287222,-5.474444
Syzygium cumini,-35.287222,-5.474444
Syzygium cumini,-39.347778,-13.376944
Syzygium cumini,-39.347778,-13.376944
Syzygium cumini,-37.438056,-11.268611
Syzygium cumini,-55.659444,-20.436667
Syzygium cumini,-37.438056,-11.268611
Syzygium cumini,-55.659444,-20.436667
