Species,decimalLongitude,decimalLatitude
Syzygium jambos,-45.52961,-20.310752
Syzygium jambos,-41.22,-13.86
Syzygium jambos,-54.651008,-20.520855
Syzygium jambos,-43.770833,-19.866389
Syzygium jambos,-45.529865,-20.310147
Syzygium jambos,-45.529865,-20.310147
Syzygium jambos,-46.672205,-23.623713
Syzygium jambos,-48.709869,-27.894413
Syzygium jambos,-46.514778,-23.485198
Syzygium jambos,-45.528297,-20.311218
Syzygium jambos,-49.045633,-22.272402
Syzygium jambos,-37.08403,-10.931113
Syzygium jambos,-46.411536,-23.928486
Syzygium jambos,-46.413387,-23.929071
Syzygium jambos,-46.412306,-23.928317
Syzygium jambos,-46.411304,-23.928703
Syzygium jambos,-46.595325,-24.073978
Syzygium jambos,-51.216075,-30.036767
Syzygium jambos,-46.550614,-23.635619
Syzygium jambos,-51.218784,-30.036741
Syzygium jambos,-47.466667,-14.083333
Syzygium jambos,-43.855447,-20.241421
Syzygium jambos,-47.174653,-22.903166
Syzygium jambos,-35.200883,-5.770081
Syzygium jambos,-35.200883,-5.770062
Syzygium jambos,-42.357222,-22.862778
Syzygium jambos,-39.104722,-14.843611
Syzygium jambos,-44.674333,-23.213413
Syzygium jambos,-48.539265,-27.750287
Syzygium jambos,-45.529755,-20.311343
Syzygium jambos,-47.015634,-22.824741
Syzygium jambos,-43.016944,-22.569167
Syzygium jambos,-46.51971,-23.494938
Syzygium jambos,-45.529708,-20.311337
Syzygium jambos,-43.48346,-19.942531
Syzygium jambos,-43.483371,-19.942413
Syzygium jambos,-39.104722,-14.843611
Syzygium jambos,-47.868333,-15.946667
Syzygium jambos,-47.365556,-23.016667
Syzygium jambos,-43.765164,-21.220245
Syzygium jambos,-43.765164,-21.220245
Syzygium jambos,-49.735676,-20.302004
Syzygium jambos,-46.536036,-23.117234
Syzygium jambos,-41.34177,-12.992405
Syzygium jambos,-42.889614,-20.403961
Syzygium jambos,-47.85,-22.139444
Syzygium jambos,-47.827712,-21.19322
Syzygium jambos,-48.575,-24.299444
Syzygium jambos,-48.574722,-24.299444
Syzygium jambos,-48.574972,-24.299472
Syzygium jambos,-48.574972,-24.299472
Syzygium jambos,-48.575,-24.299444
Syzygium jambos,-43.892914,-19.991574
Syzygium jambos,-43.483268,-19.942611
Syzygium jambos,-47.88484,-22.03208
Syzygium jambos,-46.466832,-22.530066
Syzygium jambos,-43.940612,-19.891693
Syzygium jambos,-49.201945,-21.110749
Syzygium jambos,-46.896342,-23.686553
Syzygium jambos,-46.56771,-23.617074
Syzygium jambos,-46.366111,-22.714722
Syzygium jambos,-46.519442,-23.495176
Syzygium jambos,-46.55264,-23.683708
Syzygium jambos,-42.352779,-19.476315
Syzygium jambos,-49.186861,-23.294125
Syzygium jambos,-44.281389,-19.926111
Syzygium jambos,-46.529485,-23.515829
Syzygium jambos,-46.557238,-23.627371
Syzygium jambos,-47.140761,-22.766111
Syzygium jambos,-47.140796,-22.766122
Syzygium jambos,-47.308784,-22.812571
Syzygium jambos,-46.808235,-23.616575
Syzygium jambos,-46.600353,-20.753727
Syzygium jambos,-46.583737,-23.672587
Syzygium jambos,-44.002338,-19.913952
Syzygium jambos,-47.47669,-23.493389
Syzygium jambos,-46.899346,-23.178399
Syzygium jambos,-46.899271,-23.178175
