scientific_name,decimalLongitude,decimalLatitude
Tecoma stans,-48.248439,-18.92624
Tecoma stans,-48.150651,-21.784206
Tecoma stans,-48.244104,-18.927184
Tecoma stans,-48.150661,-21.784299
Tecoma stans,-49.124164,-26.445933
Tecoma stans,-45.161223,-10.356313
Tecoma stans,-47.890826,-22.012321
Tecoma stans,-44.533218,-14.182459
Tecoma stans,-49.171111,-26.537222
Tecoma stans,-42.79768,-5.076414
Tecoma stans,-40.675864,-19.805157
Tecoma stans,-40.600208,-19.9358
Tecoma stans,-43.985722,-19.80443
Tecoma stans,-47.921202,-15.773179
Tecoma stans,-43.934923,-19.92883
Tecoma stans,-48.635253,-26.972663
Tecoma stans,-47.807174,-15.803686
Tecoma stans,-38.288492,-7.989878
Tecoma stans,-51.444084,-22.106081
Tecoma stans,-42.879842,-20.759995
Tecoma stans,-42.497062,-22.310076
Tecoma stans,-48.633668,-26.971444
Tecoma stans,-46.594865,-23.605259
Tecoma stans,-46.750078,-23.475725
Tecoma stans,-46.619495,-23.650198
Tecoma stans,-46.619495,-23.650192
Tecoma stans,-47.136457,-22.952879
Tecoma stans,-43.839528,-19.803417
Tecoma stans,-47.889758,-15.794637
Tecoma stans,-47.134742,-22.959733
Tecoma stans,-38.400372,-12.951412
Tecoma stans,-51.162409,-0.044342
Tecoma stans,-39.108611,-12.123889
Tecoma stans,-35.222778,-7.747222
Tecoma stans,-48.633717,-26.97148
Tecoma stans,-43.243836,-22.880134
Tecoma stans,-34.980908,-8.43105
Tecoma stans,-43.385732,-22.983528
Tecoma stans,-52.357222,-24.005833
Tecoma stans,-34.950007,-8.014063
Tecoma stans,-47.43515,-21.97795
Tecoma stans,-40.297988,-20.276792
Tecoma stans,-42.2246,-14.494603
Tecoma stans,-34.878827,-7.956506
Tecoma stans,-38.015448,-5.135573
Tecoma stans,-39.50915,-7.522439
Tecoma stans,-48.298889,-21.243611
Tecoma stans,-42.611824,-21.200946
Tecoma stans,-48.100498,-15.888275
Tecoma stans,-36.585556,-10.286667
Tecoma stans,-47.597563,-23.420937
Tecoma stans,-43.421123,-22.628998
Tecoma stans,13,-13.01
Tecoma stans,-43.871464,-16.695602
Tecoma stans,-46.468954,-23.545965
Tecoma stans,-42.859444,-6.248055
Tecoma stans,-46.670534,-23.485788
Tecoma stans,-40.297735,-20.276567
Tecoma stans,-47.909405,-15.801913
Tecoma stans,-47.59153,-23.456997
Tecoma stans,-36.444074,-8.522382
Tecoma stans,-41.348056,-21.37
Tecoma stans,-41.441389,-21.833056
Tecoma stans,-47.062633,-22.909845
Tecoma stans,-67.830932,-9.933224
Tecoma stans,-46.665008,-23.537557
Tecoma stans,-43.238055,-22.915833
Tecoma stans,-52.145056,-24.322889
Tecoma stans,-43.344313,-21.756372
Tecoma stans,-39.265819,-6.392661
Tecoma stans,-53.55307,-29.695846
Tecoma stans,-40.096218,-19.196688
Tecoma stans,-59.991198,-3.096535
Tecoma stans,-48.639619,-26.87664
Tecoma stans,-48.293611,-21.243889
Tecoma stans,-48.002778,-21.121667
Tecoma stans,-53.758431,-29.709174
Tecoma stans,-48.531402,-27.78524
Tecoma stans,-48.531298,-27.785358
Tecoma stans,-36.231383,-10.116194
Tecoma stans,-36.226906,-10.032183
Tecoma stans,-47.938777,-15.793038
Tecoma stans,-46.550672,-23.664554
Tecoma stans,-50.920457,-17.789506
Tecoma stans,-38.966667,-12.183333
Tecoma stans,-47.93137,-15.779695
Tecoma stans,-47.491936,-5.523676
Tecoma stans,-46.141371,-5.818697
Tecoma stans,-46.682682,-23.544352
Tecoma stans,-43.420877,-23.004215
Tecoma stans,-48.045833,-15.753056
Tecoma stans,-51.852472,-24.444472
Tecoma stans,-48.045833,-15.753055
Tecoma stans,-68.446061,-10.593811
Tecoma stans,-48.865721,-26.278683
Tecoma stans,-46.550435,-23.664623
Tecoma stans,-47.934097,-15.785252
Tecoma stans,-50.901111,-21.770833
Tecoma stans,-49.241833,-16.653389
Tecoma stans,-52.045111,-24.40625
Tecoma stans,-50.901111,-21.770833
Tecoma stans,-40.117828,-19.195109
Tecoma stans,-53.283389,-29.459694
Tecoma stans,-47.903796,-15.874665
Tecoma stans,-43.607975,-19.31977
Tecoma stans,-53.633623,-25.78046
Tecoma stans,-43.67921,-19.390586
Tecoma stans,-43.667625,-19.885366
Tecoma stans,-48.345509,-18.895543
Tecoma stans,-42.546582,-19.50677
Tecoma stans,-51.717222,-17.923056
Tecoma stans,-50.050556,-23.339444
Tecoma stans,-50.050556,-23.339167
Tecoma stans,-50.050556,-23.339306
Tecoma stans,-51.717222,-17.923056
Tecoma stans,-50.050556,-23.339167
Tecoma stans,-50.050556,-23.339306
Tecoma stans,-56.074311,-9.876603
Tecoma stans,-47.921202,-15.773179
Tecoma stans,-54.949701,-28.407401
Tecoma stans,-46.687282,-23.552244
Tecoma stans,-46.993787,-22.943258
Tecoma stans,-47.976762,-15.846816
Tecoma stans,-47.87732,-15.779442
Tecoma stans,-54.580157,-20.476515
Tecoma stans,-47.89042,-15.75075
Tecoma stans,-47.903889,-15.755556
Tecoma stans,-47.900278,-15.7525
Tecoma stans,-47.981544,-15.844664
Tecoma stans,-47.986112,-15.836432
Tecoma stans,-47.967317,-15.837425
Tecoma stans,-47.903888,-15.755555
Tecoma stans,-47.903889,-15.755556
Tecoma stans,-47.55,-22.399
Tecoma stans,-47.874817,-15.757362
Tecoma stans,-47.55,-22.399
Tecoma stans,-47.55,-22.399
Tecoma stans,-47.55,-22.399
Tecoma stans,-47.55,-22.399
Tecoma stans,-47.55,-22.399015
Tecoma stans,-56.433333,-15.655278
Tecoma stans,-52.574356,-23.680989
Tecoma stans,-51.232774,-30.043512
Tecoma stans,-48.41628,-27.49038
Tecoma stans,-48.126944,-22.677222
Tecoma stans,-56.837829,-29.512344
Tecoma stans,-43.688611,-22.773056
Tecoma stans,-47.860431,-15.76891
Tecoma stans,-51.12,-22.499722
Tecoma stans,-46.959857,-22.883998
Tecoma stans,-47.982818,-15.846132
Tecoma stans,-51.948517,-23.403122
Tecoma stans,-60.03582,-2.992242
Tecoma stans,-46.559694,-21.837333
Tecoma stans,-51.12,-22.499722
